coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
0x,15 Aug 2017,15 Sep 2017,31.0,266.0,1,saas,6,24000000.0,24000000.0,1.0,0.07,N/A,7,45306,N/A,N/A,2.206,5232600,0.23,0.12,1.97,1.97,-0.255,-1.107,0.015,0.01
siacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,301,0,N/A,N/A,N/A,0.0,25580,0.05,0.04,0.66,0.66,0.087,-1.464,0.012,0.004
bytom,20 Jun 2017,20 Jul 2017,30.0,323.0,3,saas,5,22554000.0,N/A,N/A,0.05,N/A,0,17937,N/A,N/A,1.256,7543670,0.18,0.05,0.77,0.77,-0.085,-1.893,0.013,0.009
steem,N/A,N/A,N/A,N/A,12,other,4,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,28820,-0.1,0.0,0.0,0.0,-0.028,2.179,0.01,0.001
verge,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,707,0.07,0.11,1.68,1.68,-0.289,-0.75,0.028,0.003
bitshares,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,19494,-0.2,0.16,2.46,2.46,-0.028,0.357,0.005,0.005
nano,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,7,0,N/A,N/A,N/A,0.0,23600,0.08,0.19,3.03,3.03,-0.291,-1.357,0.025,-0.009
waves,N/A,N/A,N/A,N/A,12,saas,1,N/A,N/A,N/A,N/A,N/A,0,127986,N/A,N/A,0.0,83734,-0.28,-0.15,-2.34,-2.34,-0.01,-0.821,0.005,-0.001
maker,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,13325,0.23,0.15,2.34,2.34,-0.037,0.321,0.059,0.001
rchain,N/A,N/A,N/A,N/A,1,blockchain,6,N/A,15000000.0,N/A,2.4,2478,0,10161,N/A,N/A,-0.916,22131,0.01,0.19,3.01,3.01,-0.073,-0.679,0.017,0.0
golem,13 Nov 2016,13 Nov 2016,0.0,572.0,5,saas,15,8000000.0,8000000.0,1.0,0.01,593,0,140331,N/A,N/A,70.057,30652400,-0.26,-2.07,-4.14,-4.14,0.65,2.532,-0.003,-0.004
wanchain,01 Oct 2017,01 Nov 2017,31.0,219.0,3,other,42,35990000.0,35990000.0,1.0,0.34,47045,0,105550,0.54,N/A,11.382,189439000,0.18,0.06,0.96,1.14,-0.574,-5.681,0.003,-0.021
dogecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,48,0,N/A,N/A,N/A,0.0,0.0,0.11,0.16,2.54,2.58,-0.235,-1.043,0.005,-0.011
bitcoin-diamond,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,23322800,-0.1,-0.01,-0.2,-0.11,-0.436,-1.872,0.01,-0.018
augur,17 Aug 2015,1 Oct 2015,45.0,981.0,1,saas,13,5000000.0,6250000.0,0.8,0.6,N/A,0,436,N/A,N/A,1.45,728,0.09,0.14,2.18,2.42,0.026,-0.489,0.009,-0.001
stratis,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,48504,0.2,0.16,2.54,2.66,-0.009,-3.511,0.014,-0.019
populous,24 Jul 2017,24 Jul 2017,0.0,319.0,4,fintech,5,10220400.0,1022040000.0,0.01,0.25,N/A,0,23313,0.82,N/A,12.32,2704070,0.2,0.11,1.69,1.78,-0.059,-5.34,0.012,-0.022
bitcoin-private,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,290526,-0.37,-0.03,-0.51,-0.41,-0.314,-8.638,-0.006,-0.017
waltonchain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,10689000,0.2,0.21,3.3,3.35,-0.046,-5.596,0.019,-0.01
mixin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,4,0,N/A,N/A,N/A,0.0,824201,-0.05,-0.19,-3.08,-2.92,-0.094,-5.723,-0.002,-0.015
digibyte,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,27811,-0.81,-0.11,-1.79,-1.7,-0.083,-3.936,0.009,-0.012
digixdao,29 Mar 2016,30 Mar 2016,1.0,800.0,7,saas,N/A,55000004.0,N/A,N/A,4.2,N/A,0,15489,N/A,N/A,6.543,1900,-0.05,-0.01,-0.14,-0.03,0.033,-0.957,0.006,-0.013
iost,N/A,N/A,N/A,N/A,12,blockchain,N/A,31255000.0,31255000.0,1.0,0.01,40545,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
status,20 Jun 2017,20 Jun 2017,0.0,353.0,6,saas,12,10000000.0,N/A,N/A,0.04,N/A,0,102631,N/A,N/A,0.404,13747700,-0.21,0.04,0.66,0.75,0.157,-0.957,0.008,-0.016
waykichain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2845660,-0.26,-0.09,-1.47,-1.31,-0.233,-2.681,0.009,-0.008
hshare,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,6789300,0.07,0.05,0.8,0.87,0.043,-1.106,0.005,-0.015
aion,24 Nov 2017,24 Dec 2017,30.0,166.0,12,other,8,N/A,N/A,N/A,1.0,11387,0,66020,N/A,N/A,-0.374,20958,0.12,0.22,3.46,3.52,-0.133,-5.468,0.017,-0.018
nebulas,8 Dec 2017,16 Dec 2017,8.0,174.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12024,0,22937,0.76,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
loopring,1 Aug 2017,16 Aug 2017,15.0,296.0,3,saas,3,45000000.0,45000000.0,1.0,0.06,N/A,0,42882,0.6,N/A,0.747,200829,-0.05,0.12,1.93,2.02,-0.147,-0.213,0.014,-0.014
huobi-token,N/A,N/A,N/A,N/A,12,fintech,N/A,300000000.0,300000000.0,1.0,1.52,32783,0,N/A,N/A,N/A,-0.059,80901800,0.23,0.06,0.93,1.11,-0.114,2.0,0.014,0.03
basic-attenti...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
komodo,15 Oct 2016,16 Nov 2016,32.0,569.0,12,saas,N/A,1983781.0,N/A,N/A,0.38,N/A,0,90376,N/A,N/A,-0.708,22487,0.02,0.12,1.88,1.9,-0.004,-3.404,0.021,-0.013
aelf,N/A,N/A,N/A,N/A,12,saas,8,24750000.0,24750000.0,1.0,0.099,74914,0,89983,N/A,N/A,10.313,83836700,0.26,0.09,1.39,1.5,-0.162,1.0,0.005,-0.01
ark,05 Nov 2016,09 Dec 2016,34.0,546.0,12,blockchain,N/A,22000000.0,N/A,N/A,0.1,44,0,N/A,N/A,N/A,-0.657,133793,0.32,0.26,4.19,4.29,-0.167,-2.319,0.017,-0.012
gxchain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,19932900,-0.42,0.01,0.13,0.24,0.095,-3.043,0.005,-0.001
ardor,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,36,-0.22,-0.16,-2.56,-2.39,0.583,-0.809,0.005,-0.013
elastos,01 Jan 2018,22 Jan 2018,21.0,137.0,3,other,58,94073200.0,94073200.0,1.0,18.09,17224,0,22911,0.62,N/A,1.259,33745700,0.19,-0.02,-0.34,-0.19,-0.443,1.83,0.004,-0.006
bancor,12 Jun 2017,12 Jun 2017,0.0,361.0,12,saas,6,15300000.0,N/A,N/A,3.92,6673,0,839,N/A,N/A,4.097,16871,-0.16,-0.07,-1.04,-0.94,-0.004,-1.83,0.001,-0.007
moac,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,973829,0.04,0.04,0.64,0.76,0.11,-0.872,-0.002,-0.021
maidsafecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,21809,-0.01,0.05,0.76,0.93,-0.092,-1.553,0.005,0.011
cybermiles,21 Nov 2017,21 Dec 2017,30.0,169.0,1,saas,9,30881582.0,30881582.0,1.0,0.1,68841,0,242455,0.62,N/A,0.806,12580000,-0.09,0.01,0.22,0.31,-0.015,-4.277,0.006,-0.001
pivx,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,641,0.4,0.16,2.49,2.55,-0.232,-3.021,0.019,-0.017
skycoin,N/A,N/A,N/A,N/A,12,saas,6,N/A,N/A,N/A,N/A,9973,0,12316,N/A,N/A,0.0,3733,0.33,0.21,3.32,3.39,-0.059,-6.404,0.017,-0.0
cryptonex,01 Sep 2017,30 Sep 2017,29.0,251.0,12,other,N/A,N/A,N/A,N/A,N/A,2292,0,N/A,N/A,N/A,0.0,79554,-0.03,0.12,1.88,1.98,-0.222,1.17,0.009,-0.007
monacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,557,-0.05,-0.06,-0.89,-0.76,0.001,-1.723,0.007,-0.012
gas,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,121304,0.2,0.2,3.12,3.19,0.026,-0.191,0.016,-0.017
dentacoin,1 Oct 2017,1 Nov 2017,31.0,219.0,5,insurance services,19,1923507.0,27478671.0,0.07,0.0,1462,0,110,0.6,N/A,0.0,228296,0.04,0.06,0.94,1.01,-0.19,-0.638,0.024,-0.004
reddcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,6529,0,N/A,N/A,N/A,0.0,7925,0.2,0.04,0.64,0.71,0.05,-2.362,0.016,-0.013
cortex,N/A,N/A,N/A,N/A,12,other,N/A,34870400.0,34870400.0,1.0,0.58,75829,0,N/A,N/A,N/A,0.449,28409300,0.37,2.92,5.85,5.97,-0.107,-1.809,0.013,-0.01
kyber-network,15 Sep 2017,17 Sep 2017,2.0,264.0,7,other,7,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,16343900,-0.15,-0.08,-1.21,-0.99,-0.128,-2.553,0.004,-0.016
syscoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,611,0,N/A,N/A,N/A,0.0,84067,-0.16,-0.19,-3.02,-2.88,-0.056,-2.234,0.011,-0.014
ethos,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,0,N/A,N/A,N/A,0.0,61497,0.28,0.25,3.99,4.05,0.011,-4.0,0.02,-0.017
loom-network,N/A,N/A,N/A,N/A,12,blockchain,N/A,45808270.0,57260338.0,0.8,0.076,15029,0,N/A,N/A,N/A,0.041,4774280,0.19,0.29,4.54,4.65,-0.258,-3.34,0.023,-0.022
mithril,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,8672250,0.4,0.22,3.47,3.52,-1.788,-3.617,0.055,-0.024
polymath,N/A,N/A,N/A,N/A,12,saas,28,N/A,N/A,N/A,0.4,46011,0,26516,0.78,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
qash,N/A,N/A,N/A,N/A,7,fintech,60,106400000.0,106400000.0,1.0,0.24,18237,0,N/A,N/A,N/A,1.098,9608310,0.14,0.18,2.89,2.98,0.101,-2.532,0.005,-0.016
fusion,1 Feb 2018,10 Feb 2018,9.0,118.0,7,fintech,20,42185216.0,42185216.0,1.0,2.06,10891,0,8042,0.4,N/A,0.592,1440790,-0.04,0.12,1.87,2.03,-0.207,-4.574,0.01,-0.013
centrality,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,165758,-0.05,0.02,0.34,0.48,-0.357,-0.702,-0.004,-0.018
funfair,N/A,N/A,N/A,N/A,4,other,35,20000000.0,20000000.0,1.0,N/A,4982,0,36819,N/A,N/A,0.0,8783,0.17,0.13,2.05,2.08,-0.27,-0.809,0.018,-0.017
bibox-token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,5272610,0.36,0.11,1.7,1.77,0.258,-0.553,0.015,0.024
veritaseum,25 Apr 2017,26 May 2017,31.0,378.0,1,blockchain,2,6480882.0,N/A,N/A,12.0,1819,0,23382,N/A,N/A,3.047,450758,0.22,0.13,2.02,2.02,-259.652,-0.468,189.928,-0.004
nuls,N/A,N/A,N/A,N/A,3,blockchain,10,N/A,N/A,N/A,N/A,6769,0,19181,N/A,N/A,0.0,26708,0.32,0.22,3.55,3.6,-0.174,1.915,0.031,0.005
substratum,14 Aug 2017,14 Sep 2017,31.0,267.0,1,blockchain,6,13800000.0,44516129.0,0.31,0.07,12628,0,1159,0.4,N/A,-0.333,41819,0.29,0.28,4.47,4.57,-0.246,-5.106,0.017,-0.022
theta-token,07 Jan 2018,07 Jan 2018,0.0,152.0,12,blockchain,N/A,20000000.0,20000000.0,1.0,0.12,13416,0,N/A,0.6,N/A,0.527,10023000,0.05,0.06,0.99,1.11,-0.119,8.894,0.009,0.022
enigma,N/A,N/A,N/A,N/A,1,fintech,5,45000000.0,45000000.0,1.0,0.6,14604,0,N/A,N/A,N/A,-0.983,4088,0.0,0.2,3.2,3.21,0.057,-6.468,0.083,-0.018
electroneum,14 Sep 2017,20 Oct 2017,36.0,231.0,4,blockchain,15,39934610.0,39934610.0,1.0,0.01,49486,0,125454,0.44,N/A,6.736,2464330,-0.13,0.08,1.26,1.34,0.092,-1.66,0.001,-0.011
zcoin,N/A,N/A,N/A,N/A,1,other,5,N/A,N/A,N/A,N/A,1209,0,N/A,N/A,N/A,0.0,1290,0.42,0.13,2.03,2.07,-0.073,-0.553,0.018,-0.013
nxt,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,22,0,N/A,N/A,N/A,0.0,0.0,0.28,0.2,3.14,3.19,-0.042,-1.043,0.006,-0.014
dragonchain,2 Oct 2017,2 Nov 2017,31.0,218.0,1,saas,8,13700000.0,16707317.0,0.82,0.07,N/A,0,75624,0.3,N/A,2.853,1142060,0.37,0.26,4.08,4.17,0.107,-3.298,0.012,-0.018
all-sports,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,12451100,-0.01,-0.19,-2.95,-2.82,-0.06,6.383,0.008,-0.004
dropil,7 Feb 2018,7 Mar 2018,28.0,93.0,1,fintech,6,60000000.0,N/A,N/A,N/A,729,0,6860,N/A,N/A,0.0,78904,-0.05,0.06,0.99,1.15,0.036,2.298,0.006,0.015
holo,29 Mar 2018,28 Apr 2018,30.0,41.0,7,telecommunications,8,20388500.0,20388500.0,1.0,0.0002,8041,0,5201,N/A,N/A,2.84,5764530,0.26,2.05,4.1,4.21,0.588,-5.17,0.017,-0.02
scry.info,N/A,N/A,N/A,N/A,12,blockchain,N/A,42294000.0,42294000.0,1.0,0.15,12968,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kin,12 Sep 2017,26 Sep 2017,14.0,255.0,1,saas,7,48594816.0,74761255.0,0.65,0.0,N/A,0,24994,0.58,N/A,0.0,372049,-0.08,-0.01,-0.17,-0.02,-0.143,-1.298,0.012,0.005
storm,07 Nov 2017,07 Dec 2017,30.0,183.0,1,fintech,8,30716420.0,30716420.0,1.0,0.0113,9923,0,27350,N/A,N/A,0.43,330757,0.68,0.15,2.39,2.47,-0.24,-2.574,0.017,-0.02
factom,N/A,N/A,N/A,N/A,1,other,4,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,29947,-0.05,-0.06,-0.92,-0.78,-0.079,1.404,0.01,-0.007
bnktothefuture,16 Feb 2018,16 Mar 2018,28.0,84.0,12,fintech,10,33000000.0,N/A,N/A,0.1,N/A,0,N/A,0.58,N/A,-0.22,40890,0.31,0.2,3.11,3.25,0.01,1.489,0.018,-0.012
power-ledger,8 Sep 2017,6 Oct 2017,28.0,245.0,9,energy,17,13232290.0,N/A,N/A,0.09,16476,0,937,0.4,N/A,-0.381,1017460,0.51,0.32,5.09,5.16,0.055,-2.532,0.016,-0.016
deepbrain-chain,15 Dec 2017,15 Dec 2017,0.0,175.0,7,other,N/A,11755200.0,11755200.0,1.0,0.0158,12806,0,N/A,N/A,N/A,4.813,18387700,0.29,0.09,1.36,1.45,-0.286,-0.66,0.008,-0.008
nexus,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,7268,-0.12,0.03,0.49,0.57,-0.035,-8.255,0.015,-0.008
gifto,14 Dec 2017,14 Dec 2017,0.0,176.0,3,entertainment,13,10000000.0,10000000.0,1.0,0.1,55411,0,17116,0.48,N/A,2.489,44959800,0.32,0.12,1.93,2.01,-0.074,-2.681,0.007,-0.021
blocknet,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4234,-0.24,-0.1,-1.61,-1.41,0.141,4.511,0.014,0.022
matrix-ai-net...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wax,N/A,N/A,N/A,N/A,12,gaming,N/A,9600000.0,9600000.0,1.0,0.32,15773,0,N/A,N/A,N/A,13.406,11963300,0.09,-0.03,-0.43,-0.37,-0.144,-2.574,-0.004,-0.02
iexec-rlc,17 Apr 2017,10 May 2017,23.0,394.0,12,other,8,12000000.0,N/A,N/A,0.178,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
salt,01 Aug 2017,15 Aug 2017,14.0,297.0,12,fintech,N/A,48500000.0,48500000.0,1.0,0.89,801,0,N/A,N/A,N/A,3.876,4174650,-0.17,0.0,0.08,0.2,-0.083,-3.809,0.0,-0.02
chainlink,N/A,N/A,N/A,N/A,1,blockchain,N/A,32000000.0,32000000.0,1.0,0.11,295,0,N/A,0.36,N/A,0.72,2718640,0.36,0.06,0.95,1.08,-0.086,-3.064,0.009,-0.021
decentraland,8 Aug 2017,8 Aug 2017,0.0,304.0,10,entertainment,13,24137000.0,24137000.0,1.0,0.02,N/A,0,3,0.7,N/A,0.237,688849,-0.21,-0.01,-0.19,-0.08,-0.12,-0.489,0.015,-0.011
high-performa...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
monaco,18 May 2017,18 Jun 2017,31.0,355.0,6,fintech,4,26700000.0,267000000.0,0.1,2.88,7401,0,65303,0.78,N/A,-0.142,1549870,-0.1,0.2,3.1,3.15,0.048,-1.596,0.014,-0.017
true-chain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,352020,0.05,-0.04,-0.59,-0.46,-0.052,-8.426,0.013,-0.007
emercoin,N/A,N/A,N/A,N/A,12,other,11,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,23,0.3,0.2,3.13,3.16,-0.021,-2.106,0.019,-0.012
storj,19 May 2017,25 May 2017,6.0,379.0,1,saas,15,30000000.0,30000000.0,1.0,0.5,N/A,0,83838,N/A,N/A,0.097,211542,0.08,0.11,1.71,1.78,-0.015,0.0,0.009,-0.01
civic,21 Jun 2017,22 Jun 2017,1.0,351.0,1,saas,2,33000000.0,33000000.0,1.0,0.1,8904,0,87681,N/A,N/A,0.767,9750800,0.18,0.14,2.26,2.36,-0.244,-1.426,0.009,-0.01
achain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,12713,0,N/A,N/A,N/A,0.0,4030040,-0.07,0.08,1.28,1.36,0.007,0.66,0.01,-0.016
paypex,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,14801,0.14,0.16,2.6,2.69,-0.197,-6.298,0.031,0.015
