coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
storiqa,28 Nov 2017,29 Jan 2018,62,134,3,saas,11,25000000,25000000,1,0,34979,1,13150,0.2,0,271889,-0.097,0.108,1.718,1.812,-0.034,12.865,0.016,0.029
arcblock,3 Feb 2018,3 Feb 2018,0,129,1,blockchain,4,45000000,45000000,1,0.5,37991,5,34593,0.72,1.54,94865600,-0.366,0.071,1.132,1.253,-0.136,-4.097,-0.003,-0.021
cindicator,12 Sep 2017,12 Oct 2017,30,243,2,blockchain,12,15000000,15000000,1,0.01,7934,5,39405,0.68,1.258,971989,-0.447,0.056,0.882,0.966,-0.143,-4.241,0.012,-0.025
bluzelle,18 Jan 2018,2 Feb 2018,15,130,7,saas,12,19500000,19500000,1,0.12,23035,4,33374,0.96,4.648,41214300,0.11,0,0.007,0.163,-0.628,-2.822,0.002,-0.042
thekey,15 Jan 2018,15 Jan 2018,0,148,3,other,15,22000000,22000000,1,0.0352,72796,2,30241,0.7,-0.186,9008350,0,-0.072,-1.148,-0.947,-0.269,-5.883,-0.004,-0.04
crypterium,31 Oct 2017,14 Jan 2018,75,149,5,fintech,15,51656963,51656963,1,1.5,33727,10,16550,0.82,0.54,183715,-0.374,-0.045,-0.708,-0.573,-0.295,-3.597,-0.003,-0.021
credits,15 Feb 2018,28 Feb 2018,13,104,7,saas,9,22570394,22570394,1,0.17,70603,6,50375,0.88,1.4,3014620,0.283,0.168,2.664,2.798,0.032,-4.149,0.008,-0.051
sophiatx,7 Dec 2017,17 Dec 2017,10,177,6,saas,8,23470356,80932262,0.29,0.46,5459,2,16070,0.72,-0.01,2148170,0.353,0.076,1.202,1.32,-0.118,-2.411,0.002,-0.05
blockv,19 Oct 2017,25 Oct 2017,6,230,1,saas,4,21599100,39998333,0.54,0.42,3732,1,6515,0.6,-0.948,492028,0.345,0.231,3.671,3.771,-0.013,-0.394,0.008,-0.038
genesis-vision,15 Oct 2017,15 Nov 2017,31,209,2,fintech,10,2836732,23639433,0.12,1,8089,8,19530,0.5,1.68,683667,0.386,0.27,4.287,4.384,-0.046,-9.887,0.016,-0.051
origintrail,15 Jan 2018,17 Jan 2018,2,146,5,saas,11,21513600,21513600,1,0.1,10095,5,549,0.42,1.364,3901170,0.193,0.058,0.915,1.034,-0.159,-1.765,0.005,-0.054
bread,16 Dec 2017,24 Dec 2017,8,170,6,blockchain,6,20021300,20021300,1,0.78,45751,2,54174,0.6,1.423,56455400,0.228,-0.03,-0.48,-0.332,-0.077,-6.197,-0.003,-0.039
jibrel-network,27 Nov 2017,1 Jan 2018,35,162,6,blockchain,9,30000000,30000000,1,0.25,2158,5,6544,0.68,0.689,10089800,0.06,-0.099,-1.565,-1.392,-0.503,-6.179,0,-0.052
ethlend,25 Nov 2017,30 Nov 2017,5,194,5,blockchain,25,17860000,17860000,1,0.02,19002,4,46873,0.5,-0.069,728686,0.427,0.258,4.09,4.176,-0.293,-6.806,0.013,-0.045
telcoin,11 Dec 2017,30 Dec 2017,19,164,8,blockchain,10,25000000,25000000,1,0.001,20956,2,25614,0.4,5.031,842193,0.036,-0.051,-0.816,-0.696,-0.273,-2.033,-0.004,-0.039
zebi,05 Mar 2018,31 Mar 2018,26,73,7,fintech,7,8561100,8561100,1,0.0333,15006,2,16921,0.46,2.483,5412550,0.139,1.104,2.209,2.365,-0.583,-12.871,-0.012,-0.07
babb,6 Feb 2018,6 Mar 2018,28,98,4,fintech,13,20000000,20000000,1,0,14262,2,10739,0.66,0,286765,-0.014,0.229,3.632,3.752,-0.371,-6.339,0.017,-0.057
havven,28 Feb 2018,7 Mar 2018,7,97,9,blockchain,15,30000000,30000000,1,0.5,3969,8,11066,0.26,-0.039,1203240,-0.089,0.11,1.739,1.938,-0.221,-13.176,0.002,-0.046
medibloc,27 Nov 2017,15 Dec 2017,18,179,7,saas,7,21271251,29959508,0.71,0.02,5620,2,10908,0.6,-0.006,645796,0.529,0.125,1.986,2.066,-0.391,-10.071,0.004,-0.073
datx,11 Feb 2018,11 Mar 2018,28,93,7,other,10,44150000,44150000,1,0.0353,25917,1,47901,0.46,-0.22,612568,-0.302,0.088,1.392,1.596,0.296,-0.948,0.001,-0.039
wepower,1 Feb 2018,2 Feb 2018,1,130,7,saas,20,40000000,40000000,1,0.13,51021,4,36259,0.84,0.35,782690,-0.003,-0.05,-0.787,-0.573,-0.037,-5.649,-0.007,-0.057
appcoins,13 Dec 2017,20 Dec 2017,7,174,7,saas,18,15300000,15300000,1,0.1,11732,3,27442,0.58,34.3,124119000,-0.078,-0.122,-1.939,-1.767,-0.112,-4.966,-0.01,-0.048
utrust,2 Nov 2017,20 Nov 2017,18,204,6,saas,26,21000000,21000000,1,0.07,12985,9,28550,0.92,1.993,3956620,0.338,0.077,1.227,1.366,-0.541,-4.011,-0.001,-0.051
universa,27 Oct 2017,27 Nov 2017,31,197,2,saas,20,28559233,98480114,0.29,0.01,14203,8,1138,0.62,4.161,763454,-0.516,-0.131,-2.082,-1.773,-0.29,-2.996,-0.01,-0.022
wabi,28 Nov 2017,1 Dec 2017,3,193,2,ecommerce,10,11500000,11500000,1,0.25,8335,2,35410,0.42,4.56,26744800,0.207,0.094,1.497,1.624,-0.19,-9.157,0.001,-0.06
odyssey,21 Jan 2018,22 Jan 2018,1,141,7,blockchain,9,50000000,50000000,1,0.0119,47567,1,894,0.54,1.093,12284200,0.09,0.014,0.223,0.357,-0.189,-10.757,0.004,-0.068
modum,1 Sep 2017,22 Oct 2017,51,233,6,saas,17,13350000,16481481,0.81,1,2350,1,14544,0.4,-0.373,119265,0.355,0.248,3.94,4.097,-0.164,-9.429,0.011,-0.044
cashaa,6 Nov 2017,6 Dec 2017,30,188,4,fintech,11,11110000,31742857,0.35,0.1,7503,1,390,0.58,0.182,34753,-0.226,-0.13,-2.056,-1.833,0.146,-7.358,0.001,-0.036
datawallet,5 Feb 2018,7 Mar 2018,30,97,1,other,13,39436870,39835222,0.99,0.18,6183,1,5945,0.42,-0.226,122971,-0.14,-0.141,-2.246,-2.022,0.342,1.802,0,-0.037
etherparty,1 Oct 2017,29 Oct 2017,28,226,1,blockchain,26,33732274,64869758,0.52,0.1,6093,6,2,0.68,-0.565,180346,0.135,0.235,3.734,3.865,0.022,-1.97,0.009,-0.036
qlink,27 Dec 2017,27 Jan 2018,31,136,7,transportation,7,19270800,19270800,1,0.1,19821,1,356,0.64,1.901,9911000,0.182,0.031,0.485,0.639,-0.405,-5.332,-0.003,-0.05
karma,29 Nov 2017,15 Dec 2017,16,179,2,fintech,17,10000000,10000000,1,0.01,1233,1,4219,0.44,5.911,150439,-0.01,-0.167,-2.648,-2.49,-0.427,-20.858,-0.006,-0.007
banca,26 Feb 2018,26 Feb 2018,0,106,7,other,9,20000000,20000000,1,0.002,9119,1,7395,0.42,-0.655,856596,0.049,0.264,4.192,4.343,-0.69,-12.336,0.019,-0.106
envion,15 Dec 2017,14 Jan 2018,30,149,6,blockchain,8,100000000,149253731,0.67,1,22043,5,21494,0.66,-0.036,168394,-0.223,-0.125,-1.981,-1.655,-0.282,3.724,-0.011,0.042
cobinhood,13 Sep 2017,22 Oct 2017,39,233,12,blockchain,5,13078406,25150781,0.52,0.07,12323,7,46173,0.2,-0.262,41446,0.213,0.243,3.854,4.009,0.173,8.049,0.011,-0.016
viberate,5 Sep 2017,5 Sep 2017,0,280,5,entertainment,19,12000000,12000000,1,0.1,5703,7,33574,0.56,1.75,1490480,-0.187,-0.078,-1.245,-1.006,-0.151,-1.784,0.003,-0.036
datum,29 Oct 2017,29 Nov 2017,31,195,6,saas,12,7581120,29158154,0.26,0.02,7865,4,36722,0.34,0.397,160521,0.607,0.185,2.929,3.114,-0.133,-8.858,0.004,-0.045
maecenas,7 Sep 2017,8 Oct 2017,31,247,4,saas,8,15375432,18982015,0.81,0.64,1121,2,2402,0.38,-0.279,11868,0.081,0.166,2.628,2.726,-0.224,5.056,0.023,0.042
bankex,28 Nov 2017,28 Dec 2017,30,166,1,fintech,9,70600000,103823529,0.68,1.47,6216,4,7760,0.82,0.932,371912,-0.431,-0.221,-3.507,-3.297,-0.138,-5.873,-0.013,-0.045
refereum,12 Feb 2018,12 Mar 2018,28,92,1,saas,14,32252400,32252400,1,0.01,99999,3,54908,0.32,1.043,1161020,-0.257,-0.034,-0.54,-0.31,0.016,-7.015,-0.007,-0.072
blackmoon,12 Sep 2017,12 Oct 2017,30,243,12,blockchain,6,30000000,30000000,1,1.1,3467,1,6480,0.46,-0.235,592273,0.008,-0.109,-1.732,-1.409,-0.108,-16.403,0.004,-0.015
stox,2 Aug 2017,4 Aug 2017,2,312,7,fintech,20,33000000,33000000,1,1.1,9742,6,14099,0.48,0.1,1294120,0.386,0.039,0.626,0.796,-0.082,-6.888,0.001,-0.061
selfkey,14 Jan 2018,14 Jan 2018,0,149,7,fintech,48,21776392,21776392,1,0.02,11224,1,0,0.74,2.327,31248100,-0.512,-0.254,-4.034,-3.809,-0.262,-0.466,-0.014,-0.011
cappasity,22 Feb 2018,22 Mar 2018,28,82,1,saas,5,2301451,19178758,0.12,0.01,57967,7,37694,0.62,2.315,887638,0.122,0.169,2.681,2.754,0.468,0.198,0.012,-0.026
aeron,19 Sep 2017,30 Oct 2017,41,225,10,transportation,11,4897723,30610769,0.16,0.5,19489,1,30228,0.5,-0.189,8757,0.124,0.162,2.578,2.615,0.119,-3.507,0.026,-0.05
dmarket,14 Nov 2017,01 Dec 2017,17,193,2,entertainment,4,19026768,52852133,0.36,0.63,3463,3,7307,0.68,0.542,18992,-0.025,0.065,1.026,1.096,0.108,-5.981,0.005,-0.059
monetha,31 Aug 2017,31 Aug 2017,0,285,5,fintech,11,35910000,35910000,1,0.19,4779,1,19175,0.68,0.502,2743890,-0.145,-0.105,-1.659,-1.448,-0.162,-6.854,0.002,-0.054
morpheus-network,22 Mar 2018,22 Apr 2018,31,51,12,other,12,9883347,17969722,0.55,0.45,12166,0,6042,0.64,-0.104,193829,0.054,0.426,0.852,1.025,-0.572,-11.922,-0.004,-0.081
dadi,29 Jan 2018,29 Jan 2018,0,134,4,fintech,16,29000000,29000000,1,0.5,21996,1,32593,0.38,-0.112,2381560,-0.204,-0.044,-0.701,-0.411,0.005,-5.22,-0.008,-0.048
the-abyss,18 Apr 2018,16 May 2018,28,27,5,saas,12,15362418,18073433,0.85,0.11,40441,1,17270,0.74,-0.339,1355170,-2.062,-3.572,-7.143,-6.88,-1.102,-10,-0.059,-0.059
latoken,22 Aug 2017,10 Oct 2017,49,245,7,fintech,26,18880673,40171645,0.47,0.3,5569,1,8174,0.44,-0.058,163778,-0.051,0.11,1.747,1.944,-0.047,-2.061,0.005,-0.027
covesting,24 Nov 2017,15 Jan 2018,52,148,7,saas,12,18750000,18750000,1,2.56,8972,9,10296,0.82,0.207,328108,-0.206,-0.123,-1.948,-1.694,-0.24,-4.832,-0.006,-0.057
daostack,8 May 2018,7 Jun 2018,30,5,7,transportation,9,30000000,30000000,1,1,23681,9,5854,0.66,0.31,1927100,-0.357,-2.83,-5.66,-5.333,0.066,-4.959,-0.036,-0.047
sureremit,10 Jan 2018,10 Feb 2018,31,122,1,saas,6,10000000,10000000,1,1,2080,1,4456,0.34,-0.963,35294,-0.212,0.02,0.312,0.55,-0.53,-8.47,0.001,-0.059
smartlands,2 Nov 2017,20 Nov 2017,18,204,12,fintech,12,1753698,25052829,0.07,1,1702,1,2010,0.68,-0.803,102013,0.243,0.159,2.518,2.579,0.209,-2.144,0.044,-0.026
sentinel-chain,1 Mar 2018,10 Mar 2018,9,94,7,fintech,13,14400000,14400000,1,0.08,9127,1,4107,0.36,-0.184,1945280,0.53,0.112,1.771,2.084,-0.033,-0.652,0.001,-0.076
swissborg,7 Dec 2017,10 Jan 2018,34,153,6,blockchain,13,50000000,50000000,1,0.1,4737,10,11250,0.3,0.028,115322,-0.349,-0.192,-3.045,-2.712,-0.238,-5.376,-0.01,-0.056
lala-world,5 Jan 2018,5 Feb 2018,31,127,7,saas,5,20191350,20191350,1,0.13,825,0,10212,0.34,-0.253,28433,-0.45,-0.002,-0.026,0.123,0.103,-14.906,0.003,-0.118
indahash,29 Nov 2017,20 Dec 2017,21,174,5,saas,16,42715825,66743477,0.64,0.24,11543,9,9946,0.84,1.561,3113160,-0.199,-0.108,-1.711,-1.511,-0.331,-7.786,-0.014,-0.084
remme,13 Feb 2018,22 Feb 2018,9,110,7,saas,11,20000000,20000000,1,0.04,16229,2,6506,0.74,-0.209,587552,-0.338,0.001,0.022,0.339,-0.003,-10.816,-0.002,-0.075
bitclave,29 Nov 2017,29 Nov 2017,0,195,1,saas,19,25547000,25547000,1,0.1,10541,6,22790,0.66,0.505,957302,0.12,-0.013,-0.208,-0.04,-0.004,-1.334,-0.004,-0.026
unibright,20 Apr 2018,20 May 2018,30,23,5,fintech,7,13542375,13542375,1,0.14,10086,0,5373,0.24,0.384,2400200,-0.305,-2.42,-4.839,-4.598,-0.409,1.538,-0.045,-0.046
te-food,22 Feb 2018,22 Mar 2018,28,82,6,fintech,19,19100000,19100000,1,0.05,10141,1,10307,0.5,-0.448,302268,-0.042,0.087,1.374,1.674,-0.18,-2.554,-0.002,-0.06
rivetz,10 Aug 2017,10 Sep 2017,31,275,1,saas,16,18653920,20057978,0.93,0.89,1582,1,9791,0.5,-0.446,31436,-0.003,-0.035,-0.558,-0.339,-0.004,-9.059,0.006,-0.072
leverj,7 Nov 2017,7 Dec 2017,30,187,12,saas,6,13049080,50188769,0.26,0.15,3606,1,5152,0.6,0.817,47085,-0.136,-0.139,-2.207,-1.99,-0.001,8.342,-0.001,0.074
domraider,12 Sep 2017,9 Oct 2017,27,246,5,saas,33,67200000,67200000,1,0.12,364,2,151,0.62,-0.461,13888,0.025,0.086,1.368,1.536,-0.034,-6.448,0.005,-0.045
bitdegree,1 Dec 2017,29 Dec 2017,28,165,5,social services,22,22127834,22127834,1,0.08,16797,1,20481,0.72,5.711,693702,-0.199,0.049,0.786,0.837,-0.991,-3.501,0.008,-0.038
airtoken,19 Sep 2017,19 Oct 2017,30,236,1,telecommunications,6,15000000,15000000,1,0.02,904,1,6530,0.72,-0.313,303295,-0.244,0.028,0.44,0.66,0.004,-10.203,0.004,-0.07
axpire,8 Jan 2018,12 Jan 2018,4,151,1,other,4,20000000,20000000,1,0.1,8079,1,6518,0.44,0.324,292608,-0.233,-0.15,-2.381,-2.18,-0.616,-14.847,-0.011,-0.086
flixxo,24 Oct 2017,24 Nov 2017,31,200,10,saas,5,4731021,12130823,0.39,0.12,3741,2,6318,0.6,-0.038,106293,-0.04,0.169,2.68,2.808,0.063,-5.095,0.01,-0.05
insurepal,16 Jan 2018,16 Jan 2018,0,147,5,saas,10,18000000,18000000,1,0.1,6434,7,11097,0.78,2.178,2442080,-0.206,-0.241,-3.829,-3.512,-0.219,-0.861,-0.013,-0.022
polyswarm,20 Feb 2018,22 Mar 2018,30,82,1,saas,7,25940000,49884615,0.52,0.0165,7642,7,16,0.72,-0.643,25413,0.401,0.049,0.77,1.087,-0.015,-6.098,0.002,-0.077
matryx,13 Sep 2017,12 Oct 2017,29,243,1,saas,15,1984347,9019759,0.22,0.29,1626,1,108,0.22,1.498,1031,0.206,0.114,1.803,1.881,-0.264,-25.613,0.015,-0.099
lendingblock,15 Apr 2018,22 Apr 2018,7,51,4,blockchain,6,10000000,10000000,1,0.02,7592,5,6267,0.4,0.548,458040,-0.225,-1.789,-3.579,-3.247,-0.347,-1.131,-0.023,-0.015
playkey,1 Nov 2017,1 Dec 2017,30,193,2,entertainment,6,10512361,105123610,0.1,1.76,9981,3,10081,0.76,-0.682,9317,0.438,0.137,2.177,2.312,-0.182,8.638,0.008,-0.022
adbank,15 Dec 2017,14 Jan 2018,30,149,1,saas,5,13962900,13962900,1,0.05,6734,1,6411,0.64,-0.167,1033600,-0.129,-0.151,-2.394,-2.1,-0.305,-6.306,-0.006,-0.046
biocoin,1 Nov 2017,18 Feb 2018,109,114,2,other,9,16000000,16000000,1,16,324,5,1263,0.38,-0.999,41016,-0.108,-0.187,-2.965,-2.58,0.062,-10.64,-0.003,-0.051
snovio,30 Oct 2017,30 Nov 2017,31,194,2,fintech,13,2129106,10138600,0.21,0.01,19780,3,10580,0.44,-0.73,12041,0.477,0.233,3.704,3.775,0.032,-12.154,0.028,-0.077
ink-protocol,01 Feb 2018,28 Feb 2018,27,104,1,other,11,15000000,15000000,1,0.13,10166,1,4916,0.42,-0.303,280064,-0.225,-0.041,-0.655,-0.363,-0.244,-8.789,-0.008,-0.067
privatix,19 Oct 2017,16 Nov 2017,28,208,12,saas,11,2391939,14949619,0.16,3.3,1937,3,710,0.48,-0.055,99333,0.112,0.152,2.41,2.491,-0.1,17.345,0.023,0.005
auctus,10 Apr 2018,20 Apr 2018,10,53,7,blockchain,12,3865575,3904621,0.99,0.28,8477,3,9879,0.72,1.642,1413630,0.165,1.31,2.62,2.846,0.105,-6.477,-0.01,-0.051
devery,18 Jan 2018,19 Jan 2018,1,144,12,ecommerce,3,10000000,10000000,1,0.19,5227,4,2903,0.24,0.741,862413,-0.271,-0.127,-2.009,-1.789,0.299,1.7,-0.001,-0.059
hoqu,27 Nov 2017,26 Feb 2018,91,106,4,fintech,5,18782400,32951579,0.57,0.17,14667,3,6189,0.84,-0.564,29097,-0.146,-0.038,-0.608,-0.34,-0.014,-3.92,-0.008,0.025
opus,24 Jul 2017,24 Aug 2017,31,292,12,entertainment,11,5737250,19783621,0.29,0.04,1651,1,3697,0.86,0.299,37435,-0.076,0,0.006,0.153,-0.035,36.906,0.032,0.111
peculium,21 Dec 2017,24 Jan 2018,34,139,5,fintech,5,9917634,9917634,1,0.01,8631,3,16532,0.64,-0.583,69616,0.004,0.051,0.804,1.029,0.146,1.222,0.005,-0.036
adhive,28 Feb 2018,14 Mar 2018,14,90,5,entertainment,10,17491749,17491749,1,0.17,15855,1,5592,0.82,-0.675,772548,0.127,1.012,2.023,2.229,-1.24,-4.997,-0.006,-0.033
fidentiax,6 Nov 2017,5 Dec 2017,29,189,7,saas,8,1566283,2900524,0.54,0.93,2448,1,3977,0.22,-0.701,77268,0.26,0.068,1.082,1.202,-0.186,2.129,0.001,-0.035
fundrequest,20 Nov 2017,01 Dec 2017,11,193,5,blockchain,11,12121040,14964247,0.81,0.48,11351,0,13253,0.54,-0.491,55032,-0.253,-2.007,-4.015,-3.631,0.999,7.563,-0.026,-0.041
dether,7 Feb 2018,9 Feb 2018,2,123,5,saas,8,13444650,13444650,1,0.2,2883,1,1313,0.5,-0.237,40103,-0.321,-0.105,-1.667,-1.424,0.501,-14.671,0,-0.069
atlant,7 Sep 2017,1 Nov 2017,55,223,2,real estate,12,6663530,66635300,0.1,0.57,5092,5,4083,0.56,-0.308,323580,-0.27,0.043,0.675,0.863,-0.223,-3.367,0.004,-0.038
experty,25 Jan 2018,25 Feb 2018,31,107,6,telecommunications,15,9468000,9468000,1,0.83,13767,7,15708,0.82,-0.207,1742640,-0.596,-0.117,-1.851,-1.59,-0.14,-14.431,-0.011,-0.011
naviaddress,1 Mar 2018,31 Mar 2018,30,73,7,saas,6,16900000,20119048,0.84,0.05,99752,1,198,0.38,-0.518,194240,-2.171,-3.76,-7.52,-7.201,0.763,-9.287,-0.04,-0.118
invacio,12 Mar 2018,30 Apr 2018,49,43,4,fintech,14,1912074,31867900,0.06,1,975,0,4242,0.3,-0.857,336316,-0.21,-1.667,-3.334,-3.191,-0.176,-1.223,-0.044,-0.103
amlt,11 Dec 2017,29 Jan 2018,49,134,12,blockchain,15,19042042,19042042,1,0.39,4907,0,6646,0.38,-0.798,263017,-0.156,-0.009,-0.139,0.138,0.033,-4.083,-0.004,-0.058
gatcoin,17 Dec 2017,5 Jan 2018,19,158,3,saas,17,14500000,14500000,1,0.2,3961,1,4423,0.54,-0.604,681451,-0.298,-0.233,-3.693,-3.429,-0.028,-1.906,-0.015,-0.064
iungo,7 Dec 2017,31 Jan 2018,55,132,5,saas,9,45978800,45978800,1,1.15,10593,1,5006,0.72,-0.587,885373,-0.158,-0.192,-3.049,-2.761,-0.06,-3.471,-0.012,-0.047
cryptopay,2 Oct 2017,30 Oct 2017,28,225,4,blockchain,3,18148220,64815071,0.28,0.31,391,5,8673,0.48,0.243,380453,0.097,0.062,0.986,1.107,-0.323,6.48,0.003,-0.037
sense,7 Nov 2017,21 Nov 2017,14,203,1,telecommunications,7,15000000,15000000,1,0.1,2411,1,9051,0.44,-0.433,13019,0.027,-0.161,-2.557,-2.317,-0.264,-0.772,-0.004,-0.042
lampix,9 Aug 2017,18 Aug 2017,9,298,1,saas,13,14200000,59166667,0.24,0.26,1683,1,3399,0.4,-0.634,29039,0.073,0.059,0.935,1.174,-0.124,-5.067,0.005,-0.031
vezt,4 Nov 2017,3 Dec 2017,29,191,1,entertainment,12,1378806,15320067,0.09,0.5,2793,1,5385,0.54,5.32,2379180,-0.141,-0.126,-2.002,-1.852,-0.53,-12.067,-0.011,-0.068
tokenbox,14 Nov 2017,28 Nov 2017,14,196,2,saas,8,8000000,20000000,0.4,1,1954,1,2451,0.76,0.5,116601,-0.152,-0.126,-1.995,-1.731,0.104,4.624,-0.008,-0.04
parkgene,15 Jan 2018,19 Mar 2018,63,85,7,fintech,5,24335000,34764286,0.7,0.1,6752,4,775,0.6,-0.874,58791,-0.128,-1.019,-2.038,-1.71,-0.317,-3.317,-0.02,-0.056
aigang,15 Nov 2017,15 Dec 2017,30,179,7,fintech,7,4228920,30206571,0.14,0.31,4805,1,7877,0.7,12.097,16206500,-0.222,-0.257,-4.084,-3.873,-0.235,-9.323,-0.02,-0.087
coinlancer,14 Oct 2017,15 Nov 2017,32,209,12,saas,16,11860153,49417304,0.24,0.25,7162,5,2316,0.5,0.691,3536710,0.027,-0.093,-1.484,-1.323,-0.213,-0.577,-0.009,-0.03
chainium,25 Dec 2017,12 Jan 2018,18,151,5,fintech,6,3434946,5540235,0.62,0.07,485,1,88,0.54,0.512,70198,0.07,0.553,1.106,1.254,0.505,-3.513,-0.013,-0.066
obsidian,12 Aug 2017,26 Aug 2017,14,290,4,saas,7,1566332,8701844,0.18,0.15,795,4,8965,0.62,1.49,262223,0.121,0.156,2.472,2.659,-0.032,1.287,0.004,-0.012
fabric-token,15 Feb 2018,1 Apr 2018,45,72,5,blockchain,3,1035986,8633217,0.12,0.1125,5337,0,1592,0.42,-0.172,83004,0.081,0.644,1.288,1.436,-2.852,-13.19,-0.01,-0.064
goldmint,20 Sep 2017,11 Nov 2017,52,213,2,fintech,11,7300000,40555556,0.18,7,11095,10,2618,0.46,-0.634,74776,0.24,0.155,2.458,2.626,0.093,-10.281,0.008,0.009
live-stars,15 Jan 2018,15 Feb 2018,31,117,5,saas,5,2518564,5037128,0.5,0.2,2696,1,7668,0.5,-0.602,144179,-0.051,-0.402,-0.803,-0.552,-0.296,-7.513,-0.024,-0.073
soma,27 Sep 2017,14 Nov 2017,48,210,5,ecommerce,11,6049621,40330807,0.15,0.74,5920,2,5174,0.54,-0.686,6114,0.393,0.15,2.379,2.469,-0.233,-7.206,0.021,-0.096
nitro,30 Nov 2017,26 Dec 2017,26,168,3,saas,11,2694156,53883120,0.05,0.97,15881,1,3866,0.84,0.577,131540,0.072,0.073,1.166,1.233,-0.329,0.658,0.024,-0.06
real,31 Aug 2017,30 Sep 2017,30,255,7,real estate,6,10604571,33139284,0.32,1.38,1992,7,4541,0.52,-0.268,13785,0.004,-0.019,-0.308,-0.127,0.079,-29.945,0.014,-0.095
mercury-protocol,23 Oct 2017,23 Nov 2017,31,201,1,saas,15,4749479,19789496,0.24,0.043,745,1,5489,0.68,-0.07,42740,0.143,0.088,1.404,1.561,-0.034,-6.168,0.015,-0.091
skrumble-network,05 May 2018,07 May 2018,2,36,12,fintech,25,16472800,16472800,1,0.0515,53923,1,2041,0.3,0.873,32789700,-0.173,-1.373,-2.747,-2.459,-0.479,-2.955,-0.032,-0.115
traxia,1 May 2018,2 Jun 2018,32,10,6,fintech,11,15000000,15151515,0.99,0.06,4405,1,2421,0.58,-0.075,622114,-5.023,-8.7,-17.399,-16.994,-1.1,-10.111,-0.116,-0.117
bankera,27 Nov 2017,27 Feb 2018,92,105,5,fintech,7,150949194,215641706,0.7,0.02,20688,10,25572,0.48,-0.481,2604320,-3.378,-5.85,-11.701,-10.781,-1.595,-12.769,-0.079,-0.046
patron,27 Mar 2018,9 May 2018,43,34,8,saas,7,40000000,40000000,1,0.5,14333,0,21662,0.64,-0.864,933787,0.033,0.26,0.519,0.724,-1.929,-15.538,-0.013,-0.104
blockmesh,28 Feb 2018,31 Mar 2018,31,73,12,blockchain,10,3486451,9961289,0.35,0.05,5054,0,13542,0.42,-0.289,87339,-0.321,-2.548,-5.096,-4.469,-1.693,-47.615,-0.038,-0.126
