coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
power-ledger,8 Sep 2017,6 Oct 2017,28,244,9,energy,17,13232290,N/A,N/A,0.09,16508,3,919,0.4,-0.381,1017460,0.51,0.32,5.09,5.16,0.055,-2.426,0.016
iexec-rlc,17 Apr 2017,10 May 2017,23,393,12,other,8,12000000,N/A,N/A,0.178,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gifto,14 Dec 2017,14 Dec 2017,0,175,3,entertainment,13,10000000,10000000,1,0.1,55527,4,16702,0.48,2.489,44959800,0.32,0.12,1.93,2.01,-0.073,-2.745,0.007
dropil,7 Feb 2018,7 Mar 2018,28,92,1,fintech,6,60000000,N/A,N/A,N/A,728,1,6751,N/A,0,78904,-0.05,0.06,0.99,1.15,0.036,2.234,0.005
deepbrain-chain,15 Dec 2017,15 Dec 2017,0,174,7,other,N/A,11755200,11755200,1,0.0158,12801,N/A,N/A,N/A,4.813,18387700,0.29,0.09,1.36,1.45,-0.286,-0.723,0.008
salt,01 Aug 2017,15 Aug 2017,14,296,12,fintech,N/A,48500000,48500000,1,0.89,799,N/A,N/A,N/A,3.876,4174650,-0.17,0,0.08,0.2,-0.083,-3.936,0
decentraland,8 Aug 2017,8 Aug 2017,0,303,10,entertainment,13,24137000,24137000,1,0.02,N/A,1,3,0.7,0.237,688849,-0.21,-0.01,-0.19,-0.08,-0.12,-0.511,0.015
monaco,18 May 2017,18 Jun 2017,31,354,6,fintech,4,26700000,267000000,0.1,2.88,7410,4,64713,0.78,-0.142,1549870,-0.1,0.2,3.1,3.15,0.047,-1.681,0.014
storj,19 May 2017,25 May 2017,6,378,1,saas,15,30000000,30000000,1,0.5,N/A,1,83137,N/A,0.097,211542,0.08,0.11,1.71,1.78,-0.015,-0.021,0.009
civic,21 Jun 2017,22 Jun 2017,1,350,1,saas,2,33000000,33000000,1,0.1,8901,6,86743,N/A,0.767,9750800,0.18,0.14,2.26,2.36,-0.244,-1.362,0.009
neblio,6 Aug 2017,20 Aug 2017,14,291,1,fintech,2,14834923,211927471,0.07,0.2,N/A,1,N/A,0.44,2.146,257746,0.2,0.24,3.77,3.86,-0.11,1.149,0.022
tenx,24 Jun 2017,24 Jun 2017,0,348,7,fintech,10,80000000,N/A,N/A,0.87,116,3,1720,0.74,53.943,303595,0.05,0.16,2.47,2.53,-0.136,-0.638,0.007
singularitynet,19 Dec 2017,19 Dec 2017,0,170,6,saas,9,32847814,32847814,1,0.1,15780,2,16938,N/A,14.2,17465100,0.09,0,0.08,0.14,-0.146,-11.17,0.003
quantstamp,17 Nov 2017,16 Dec 2017,29,173,1,fintech,10,31320000,31320000,1,0.07,24031,1,N/A,0.56,0.304,28481900,0.18,0.23,3.59,3.67,-0.326,-5.043,0.013
dent,12 Jul 2017,26 Jul 2017,14,316,3,telecommunications,8,1923507,27478671,0.07,0,1459,1,36088,N/A,0,71565,0.16,0.1,1.65,1.71,-0.163,-2.511,0.03
nexo,17 Mar 2018,15 Apr 2018,29,53,6,fintech,18,52500000,52500000,1,0.1,63543,1,N/A,0.7,0.85,3226150,0.04,0.34,0.68,0.8,-0.7,-3.362,0.001
request-network,13 Oct 2017,17 Oct 2017,4,233,5,fintech,7,33600000,33600000,1,0.06,13863,1,766,0.36,0.013,5914220,0.13,0.27,4.23,4.35,-0.19,-2.936,0.01
time-new-bank,18 Nov 2017,23 Nov 2017,5,196,7,saas,10,14360000,14360000,1,0.02,27102,0,14847,N/A,0.761,10625600,0.34,0.2,3.17,3.25,-0.149,-1.149,0.009
iconomi,25 Aug 2016,29 Sep 2016,35,616,5,saas,26,10000000,11764706,0.85,0.11,N/A,2,921,N/A,1.433,14652,0.13,0.1,1.6,1.67,-0.096,-0.66,0.01
arcblock,3 Feb 2018,3 Feb 2018,0,124,1,blockchain,4,45000000,45000000,1,0.5,38181,5,33320,0.72,1.54,94865600,-0.38,0.07,1.09,1.29,-0.076,-1.447,0
enjin-coin,3 Oct 2017,31 Oct 2017,28,219,7,entertainment,8,22959609,24956097,0.92,0.03,13106,1,N/A,N/A,-0.332,742008,0.02,0.28,4.4,4.5,-0.146,-0.511,0.014
lympo,17 Feb 2018,28 Feb 2018,11,99,5,entertainment,11,16857899,16857899,1,0.0217,13193,3,6668,N/A,-0.258,176692,0.26,0.21,3.41,3.53,-0.121,-0.043,0.027
cindicator,12 Sep 2017,12 Oct 2017,30,238,2,blockchain,12,15000000,15000000,1,0.01,7928,5,38945,0.68,1.258,971989,-0.44,0.06,0.89,1.02,-0.143,-2.319,0.014
revain,21 Aug 2017,4 Sep 2017,14,276,2,saas,11,12513346,12513346,1,0.05,2356,1,6414,0.46,0.558,107140,0.26,0.38,6,6.12,0.089,0.234,0.014
bottos,31 Dec 2017,30 Jan 2018,30,128,12,other,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,0.42,2.296,18592600,-0.1,-0.12,-1.97,-1.83,-0.167,-3.383,0.001
aragon,17 May 2017,17 May 2017,0,386,5,saas,2,25000000,N/A,N/A,0.74,N/A,1,6806,N/A,1.054,2745280,0.28,0.09,1.43,1.55,0.01,0.021,0.006
bluzelle,18 Jan 2018,2 Feb 2018,15,125,7,saas,10,19500000,19500000,1,0.12,23139,4,32661,0.96,4.648,41214300,0.11,0,-0.02,0.12,-0.643,-5.106,0.005
gnosis,24 Apr 2017,24 Apr 2017,0,409,5,saas,10,12500000,12500000,1,29.85,N/A,2,68318,N/A,-1,22984,-0.01,-0.02,-0.32,-0.27,0.152,-25.915,0.005
poa-network,17 Nov 2017,17 Nov 2017,0,202,1,saas,19,12500000,12500000,1,0.07,10781,1,306,N/A,8.064,79376200,-0.34,0.06,0.99,1.12,-0.353,-0.191,-0.001
thekey,15 Jan 2018,15 Jan 2018,0,143,3,other,15,22000000,22000000,1,0.0352,74065,2,29578,0.7,-0.186,9008350,0,-0.07,-1.09,-0.91,-0.282,-2.745,0
smartmesh,29 Nov 2017,28 Dec 2017,29,161,7,saas,9,15691200,16872258,0.93,0.02,21556,1,3740,N/A,0.56,1131310,0.39,0.15,2.32,2.4,0.047,1.383,0.013
storiqa,28 Nov 2017,29 Jan 2018,62,129,3,saas,11,25000000,25000000,1,0,34966,1,12677,0.2,0,271889,-0.09,0.11,1.8,1.96,-0.029,15.17,0.02
metal,9 Jun 2017,9 Jun 2017,0,363,1,blockchain,7,N/A,N/A,1,0.18,204,0,32736,N/A,8.278,2843520,0.35,0.3,4.71,4.81,-0.237,-0.043,0.01
particl,16 Mar 2017,12 Apr 2017,27,421,12,other,N/A,750000,N/A,N/A,1,N/A,1,N/A,N/A,5.95,983921,-0.06,0.08,1.26,1.41,-0.211,-1.723,0.007
sonm,15 Jun 2017,19 Jun 2017,4,353,2,saas,13,42000000,N/A,N/A,0.59,7979,9,273,N/A,-0.116,86186,-0.56,-0.1,-1.66,-1.55,-0.081,-2.979,0.005
docademic,29 Jan 2018,15 Apr 2018,76,53,10,insurance services,13,1100000,N/A,N/A,N/A,7097,1,14320,0.26,0,716822,0.42,3.36,6.72,6.76,2.949,5.574,0.135
ignis,5 Aug 2017,14 Oct 2017,70,236,5,other,3,15000000,21739130,0.69,1.05,N/A,2,27068,0.52,1.2,18762,0.26,0.07,1.16,1.19,-1.217,-3.298,0.007
sophiatx,7 Dec 2017,17 Dec 2017,10,172,6,saas,21,23470356,80932262,0.29,0.46,5476,2,15676,0.72,-0.01,2148170,0.35,0.08,1.19,1.3,-0.123,-1.064,0.004
pillar,15 Jul 2017,17 Jul 2017,2,325,4,saas,30,20000000,N/A,N/A,0.1,757,1,12610,N/A,-0.256,101274,0.24,0.07,1.03,1.03,-0.152,-5,0.012
boscoin,09 May 2017,10 May 2017,1,393,12,blockchain,17,17920000,N/A,N/A,0.044,N/A,5,N/A,N/A,18.93,27934,0.19,0.19,3.05,3.05,-0.052,-6,0.002
genesis-vision,15 Oct 2017,15 Nov 2017,31,204,2,fintech,10,2836732,23639433,0.12,1,8082,8,19138,0.5,1.68,683667,0.39,0.27,4.32,4.32,-0.042,-6.5,0.019
credits,15 Feb 2018,28 Feb 2018,13,99,7,saas,9,22570394,22570394,1,0.17,27428,6,18914,0.88,1.4,3014620,0.28,0.17,2.64,2.64,0.029,-4,0.011
blockv,19 Oct 2017,25 Oct 2017,6,225,1,saas,18,21599100,39998333,0.54,0.42,3731,1,6433,0.6,-0.948,492028,0.34,0.23,3.6,3.6,-0.021,-7,0.01
crypterium,31 Oct 2017,14 Jan 2018,75,144,5,fintech,15,51656963,51656963,1,1.5,33935,10,16339,0.82,0.54,183715,-0.38,-0.05,-0.75,-0.75,-0.298,-11,-0.003
ambrosus,22 Sep 2017,22 Oct 2017,30,228,6,insurance services,20,32507330,97800000,0.33,0.29,4226,5,17117,0.82,-0.45,35697,0.1,0.12,1.92,1.88,0.213,0.883,0.011
origintrail,15 Jan 2018,17 Jan 2018,2,141,5,saas,11,21513600,21513600,1,0.1,10070,5,550,0.42,1.364,3901170,0.19,0.06,0.93,0.93,-0.189,-3.5,0.009
jibrel-network,27 Nov 2017,1 Jan 2018,35,157,6,blockchain,9,30000000,30000000,1,0.25,2166,5,6419,0.68,0.689,10089800,0.06,-0.1,-1.64,-1.64,-0.509,-4.5,0.002
crypto20,16 Oct 2017,30 Nov 2017,45,189,1,fintech,6,37698373,75000000,0.5,1.1,N/A,1,9642,0.6,2.373,5672340,-0.21,-0.19,-3.06,-3.15,-0.105,-0.862,-0.005
apex,01 Jan 2018,28 Jan 2018,27,130,12,blockchain,N/A,25000000,25000000,1,0.16,15799,1,N/A,0.4,0.055,9262900,0.4,3.21,6.42,6.42,-0.423,-7.5,-0.002
tokenpay,7 Dec 2017,17 Jan 2018,41,141,7,blockchain,10,40948500,40948500,1,6,17607,1,N/A,N/A,-0.66,1515520,0.43,0.16,2.5,2.5,-0.375,-8.5,0.027
cube,16 Feb 2018,15 Mar 2018,27,84,4,saas,12,N/A,N/A,N/A,N/A,1625,0,5960,0.26,0,6757530,-0.13,0,0.04,0.04,-0.137,-3.5,-0.005
eximchain,01 Feb 2018,13 Feb 2018,12,114,12,blockchain,16,20000000,20000000,1,0.33,10928,N/A,N/A,0.34,1.01,185434,1.21,2.1,4.19,4.19,-0.194,-5,0.023
bread,16 Dec 2017,24 Dec 2017,8,165,6,blockchain,6,20021300,20021300,1,0.78,46071,2,53848,0.6,1.423,56455400,0.23,-0.03,-0.47,-0.47,-0.066,-5.5,-0.002
ethlend,25 Nov 2017,30 Nov 2017,5,189,5,blockchain,25,17860000,17860000,1,0.02,18980,4,46030,0.5,-0.069,728686,0.43,0.26,4.09,4.09,-0.299,-7.5,0.015
telcoin,11 Dec 2017,30 Dec 2017,19,159,8,blockchain,19,25000000,25000000,1,0.001,20965,2,25124,0.4,5.031,842193,0.04,-0.05,-0.81,-0.81,-0.291,-8,-0.002
red-pulse,8 Oct 2017,8 Oct 2017,0,242,3,fintech,11,14508923,14508923,1,0.03,6382,2,32763,N/A,0.849,5395350,-0.05,0.23,3.57,3.57,-0.242,-8.5,0.011
adex,30 Jun 2017,30 Jun 2017,0,342,2,fintech,16,10000000,10000000,1,0.24,4555,2,56026,N/A,2.873,3127370,-0.39,-3.11,-6.22,-6.22,-0.008,-6,-0.014
eidoo,4 Oct 2017,16 Oct 2017,12,234,6,saas,5,27676992,51253689,0.54,2.3,5414,3,25522,N/A,0.035,39128,-0.02,0.15,2.37,2.37,-0.164,-7.5,0.004
paypie,15 Oct 2017,16 Oct 2017,1,234,1,saas,11,26000000,26000000,1,0.37,4228,1,7729,N/A,-0.02,256062,0.06,0.15,2.35,2.35,0.008,-25,0.013
edgeless,28 Feb 2017,21 Mar 2017,21,443,12,saas,0,2000000,N/A,N/A,0.04,1275,1,39757,N/A,-0.23,18692,0.26,0.18,2.87,2.87,0.03,-5,0.014
bitrent,1 Dec 2017,31 Mar 2018,120,68,4,saas,19,14627210,N/A,N/A,0.06,12859,1,6445,0.74,-0.336,156399,0.27,0.05,0.75,0.75,-0.119,-1,0.008
airswap,10 Oct 2017,10 Nov 2017,31,209,1,fintech,4,12600000,12600000,1,0.3,4375,3,N/A,N/A,0.345,3654270,-0.15,0.06,0.95,0.95,-0.067,-7,0.005
babb,6 Feb 2018,6 Mar 2018,28,93,4,fintech,13,20000000,20000000,1,0,14280,2,10376,0.66,0,286765,-0.01,0.23,3.64,3.64,-0.377,-3.5,0.023
medibloc,27 Nov 2017,15 Dec 2017,18,174,7,saas,17,21271251,29959508,0.71,0.02,5610,2,10817,0.6,-0.006,645796,0.53,0.13,1.99,1.99,-0.389,-5.5,0.007
zebi,05 Mar 2018,31 Mar 2018,26,68,7,fintech,17,8561100,8561100,1,0.0333,15147,2,16436,0.46,2.483,5412550,0.14,1.11,2.22,2.22,-0.499,-7.5,-0.005
tokenomy,15 Jan 2018,5 Feb 2018,21,122,12,blockchain,17,22869000,N/A,N/A,N/A,2306,1,46,0.64,0,2372070,-0.57,-0.12,-1.94,-1.94,-0.02,-10,-0.003
singulardtv,2 Oct 2016,2 Oct 2016,0,613,1,saas,0,7500000,N/A,N/A,0.02,326,1,36801,N/A,-0.067,165271,-0.14,-0.11,-1.72,-1.72,-0.098,-7,0.009
wagerr,1 Jun 2017,25 Jun 2017,24,347,10,saas,6,10000000,N/A,N/A,0.06,N/A,1,17053,N/A,0.141,120805,0.14,0.12,1.87,1.87,-0.232,-1,0.011
tokencard,2 May 2017,2 May 2017,0,401,4,fintech,8,12782000,12782000,1,0.54,3,1,18788,N/A,0.926,416619,0.06,0.01,0.19,0.19,-0.105,-9,0.008
wings,18 Nov 2016,6 Jan 2017,49,517,6,saas,14,1706156,2274875,0.75,0.03,N/A,1,632,N/A,-0.287,1601,0.34,0.21,3.4,3.4,-0.02,-6,0.014
district0x,18 Jul 2017,1 Aug 2017,14,310,1,saas,8,9000000,N/A,N/A,0.02,N/A,1,58809,N/A,-0.22,30593,0.46,0.16,2.56,2.56,-0.163,-8,0.015
minexcoin,15 May 2017,13 Jun 2017,29,359,12,fintech,N/A,N/A,N/A,N/A,N/A,3010,N/A,N/A,N/A,0,17365,0.51,0.32,5.01,5.01,0.074,-1,0.016
legolas-exchange,1 Feb 2018,15 Feb 2018,14,112,5,blockchain,9,18856000,N/A,N/A,N/A,N/A,2,11719,N/A,0,682912,-0.21,-0.02,-0.3,-0.3,-0.234,-3,0.003
wepower,1 Feb 2018,2 Feb 2018,1,125,7,saas,20,40000000,40000000,1,0.13,51434,4,35807,0.84,0.35,782690,0,-0.04,-0.7,-0.7,-0.042,-1,-0.005
odem,17 Feb 2018,18 Mar 2018,29,81,6,social services,12,4000000,N/A,N/A,N/A,N/A,1,3095,N/A,0,18548,0.47,3.75,7.5,7.5,0.485,-0.5,0.024
odyssey,21 Jan 2018,22 Jan 2018,1,136,7,blockchain,21,50000000,50000000,1,0.0119,47909,1,859,0.54,1.093,12284200,0.09,0.01,0.2,0.2,-0.169,-17,0.007
wabi,28 Nov 2017,1 Dec 2017,3,188,2,ecommerce,10,11500000,11500000,1,0.25,8384,2,34849,0.42,4.56,26744800,0.21,0.1,1.56,1.56,-0.183,-8,0.004
utrust,2 Nov 2017,20 Nov 2017,18,199,6,saas,26,21000000,21000000,1,0.07,13068,9,28206,0.92,1.993,3956620,0.34,0.08,1.25,1.25,-0.547,-5.5,0.001
ins-ecosystem,04 Dec 2017,25 Dec 2017,21,164,2,other,11,41500000,41500000,1,2.54,17571,N/A,N/A,0.86,1.685,373749,-0.06,-0.1,-1.55,-1.55,-0.264,-4.5,-0.006
havven,28 Feb 2018,7 Mar 2018,7,92,9,blockchain,27,30000000,30000000,1,0.5,64841,8,10846,0.26,-0.039,1203240,-0.09,0.12,1.92,1.92,-0.123,-9,0.007
appcoins,13 Dec 2017,20 Dec 2017,7,169,7,saas,18,15300000,15300000,1,0.1,11798,3,27230,0.58,34.3,124119000,-0.07,-0.12,-1.97,-1.97,-0.11,-1.5,-0.008
loyalcoin,11 Dec 2017,10 Feb 2018,61,117,12,saas,10,40226964,40226964,1,0.01,N/A,N/A,6476,0.5,-0.359,60119,1.53,2.65,5.29,5.29,-0.6,nan,0.002
datawallet,5 Feb 2018,7 Mar 2018,30,92,1,other,13,39436870,39835222,0.99,0.18,6236,1,5677,0.42,-0.226,122971,-0.14,-0.14,-2.24,-2.24,0.308,nan,0.003
datx,11 Feb 2018,11 Mar 2018,28,88,7,other,9,44150000,44150000,1,0.0353,26040,1,47325,0.46,-0.22,612568,-0.28,0.09,1.45,1.45,0.29,nan,0.005
naga,1 Dec 2017,15 Dec 2017,14,174,12,fintech,28,45318896,45318896,1,1,13411,10,26,N/A,0.55,3010670,0.22,0.03,0.47,0.47,-0.051,nan,-0.001
tierion,27 Jul 2017,28 Jul 2017,1,314,1,saas,11,25000000,25000000,1,0.07,4313,1,N/A,0.94,2.332,1142210,-0.11,-0.15,-2.38,-2.38,-0.242,nan,0.004
zeepin,17 Jan 2018,17 Jan 2018,0,141,12,blockchain,N/A,62580000,62580000,1,0.13,20460,1,N/A,0.86,0.51,14383200,-0.01,-0.1,-1.55,-1.55,-0.234,nan,-0.003
universa,27 Oct 2017,27 Nov 2017,31,192,2,saas,25,28559233,98480114,0.29,0.01,14259,8,1128,0.62,4.161,763454,-0.49,-0.13,-1.99,-1.99,-0.289,nan,-0.008
decentbet,21 Sep 2017,19 Oct 2017,28,231,12,other,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,0.42,0.815,26234,-0.02,0.15,2.36,2.39,-0.388,-3.84,0.012
modum,1 Sep 2017,22 Oct 2017,51,228,6,saas,17,13350000,16481481,0.81,1,2333,1,14333,0.4,-0.373,119265,0.35,0.25,3.9,3.9,-0.159,nan,0.013
presearch,25 Jul 2017,31 Oct 2017,98,219,1,saas,10,16000000,N/A,N/A,0.25,9668,2,1190,N/A,-0.151,98499,0.26,0.13,2.08,2.08,0.149,nan,0.013
mobilego,25 Apr 2017,25 May 2017,30,378,1,saas,6,53000000,N/A,N/A,0.76,2558,2,316,N/A,2.539,187166,-0.05,-0.01,-0.2,-0.2,-0.144,nan,0.001
decent,11 Sep 2016,6 Nov 2016,56,578,6,telecommunications,31,24137000,24137000,1,0.024,N/A,7,29935,N/A,3.583,121,0.2,0.17,2.72,2.72,0.153,nan,0.025
qlink,27 Dec 2017,27 Jan 2018,31,131,7,transportation,14,19270800,19270800,1,0.1,19911,1,345,0.64,1.901,9911000,0.18,0.03,0.42,0.42,-0.409,nan,-0.001
lunyr,29 Mar 2017,28 Apr 2017,30,405,1,saas,3,3400000,N/A,N/A,1.61,N/A,1,33554,N/A,0.59,309766,0.07,0.08,1.22,1.22,-0.21,nan,0.015
banca,26 Feb 2018,26 Feb 2018,0,101,7,other,17,20000000,20000000,1,0.002,9066,1,7120,0.42,-0.655,856596,0.06,0.27,4.21,4.21,-0.706,nan,0.027
taas,27 Mar 2017,28 Apr 2017,32,405,7,fintech,4,7500000,10135135,0.74,1,N/A,4,140,N/A,-0.18,1571,0.08,0.22,3.54,3.54,0.053,nan,0.006
yoyow,21 May 2017,24 May 2017,3,379,3,saas,N/A,4364760,14549200,0.3,0.02,3294,1,N/A,N/A,5.154,8194,-0.04,-0.01,-0.09,-0.09,-0.003,nan,0.01
cashaa,6 Nov 2017,6 Dec 2017,30,183,4,fintech,11,11110000,31742857,0.35,0.1,7574,1,389,0.58,0.182,34753,-0.23,-0.13,-2.14,-2.14,0.196,nan,0.003
etherparty,1 Oct 2017,29 Oct 2017,28,221,1,blockchain,26,33732274,64869758,0.52,0.1,6095,6,2,0.68,-0.565,180346,0.13,0.24,3.75,3.75,0.021,nan,0.01
melon,15 Feb 2017,16 Feb 2017,1,476,6,other,2,N/A,N/A,N/A,N/A,42,1,N/A,N/A,0,57957,0.21,0.07,1.13,1.13,-0.099,nan,0.006
