coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
substratum,14 Aug 2017,14 Sep 2017,31,271,1,blockchain,6,13800000,44516129,0.31,0.07,12662,2,1157,-0.333,41819,0.285,0.278,4.417,4.482,-0.246,-5.16,0.015,-0.029
electroneum,14 Sep 2017,20 Oct 2017,36,235,4,blockchain,12,39934610,39934610,1,0.01,49382,1,125597,6.736,2464330,-0.137,0.079,1.255,1.304,0.089,-2.333,0,-0.017
bnktothefuture,16 Feb 2018,16 Mar 2018,28,88,12,fintech,10,33000000,N/A,N/A,0.1,N/A,4,N/A,-0.22,40890,0.32,0.198,3.136,3.222,-0.039,0.234,0.014,-0.015
decentraland,8 Aug 2017,8 Aug 2017,0,308,10,entertainment,12,24137000,24137000,1,0.02,N/A,1,3,0.237,688849,-0.21,-0.012,-0.183,-0.117,-0.118,-0.185,0.014,-0.011
power-ledger,8 Sep 2017,6 Oct 2017,28,249,9,energy,17,13232290,N/A,N/A,0.09,16425,3,940,-0.381,1017460,0.512,0.32,5.074,5.119,0.056,-2.097,0.015,-0.017
storm,07 Nov 2017,07 Dec 2017,30,187,1,fintech,8,30716420,30716420,1,0.0113,9837,1,27367,0.43,330757,0.67,0.151,2.39,2.439,-0.228,-1.259,0.015,-0.023
dragonchain,2 Oct 2017,2 Nov 2017,31,222,1,saas,8,13700000,16707317,0.82,0.07,N/A,8,75768,2.853,1142060,0.364,0.257,4.081,4.133,0.107,-1.889,0.01,-0.026
deepbrain-chain,15 Dec 2017,15 Dec 2017,0,179,7,other,N/A,11755200,11755200,1,0.0158,12804,1,N/A,4.813,18387700,0.288,0.086,1.362,1.416,-0.282,-2.547,0.006,-0.014
holo,29 Mar 2018,28 Apr 2018,30,45,7,telecommunications,10,20388500,20388500,1,0.0002,8076,4,5279,2.84,5764530,0.254,2.02,4.039,4.103,0.285,-4.626,0.007,-0.016
iexec-rlc,17 Apr 2017,10 May 2017,23,400,12,other,8,12000000,N/A,N/A,0.178,N/A,1,N/A,0.593,151637,0.29,0.168,2.662,2.612,-0.102,-1.359,0.009,0.009
gifto,14 Dec 2017,14 Dec 2017,0,180,3,entertainment,5,10000000,10000000,1,0.1,54846,4,17240,2.489,44959800,0.325,0.124,1.967,2.017,-0.072,-2.321,0.004,-0.024
storj,19 May 2017,25 May 2017,6,383,1,saas,15,30000000,30000000,1,0.5,N/A,1,83843,0.097,211542,0.08,0.104,1.645,1.689,-0.018,-1.516,0.008,-0.016
monaco,18 May 2017,18 Jun 2017,31,359,6,fintech,4,26700000,267000000,0.1,2.88,7383,4,65305,-0.142,1549870,-0.095,0.197,3.132,3.162,0.049,-1.428,0.013,-0.023
salt,01 Aug 2017,15 Aug 2017,14,301,12,fintech,N/A,48500000,48500000,1,0.89,819,1,N/A,3.876,4174650,-0.167,0.008,0.129,0.203,-0.08,-2.513,-0.001,-0.031
neblio,6 Aug 2017,20 Aug 2017,14,296,1,fintech,2,14834923,211927471,0.07,0.2,N/A,1,N/A,2.146,257746,0.201,0.237,3.757,3.811,-0.097,1.806,0.02,-0.026
civic,21 Jun 2017,22 Jun 2017,1,355,1,saas,2,33000000,33000000,1,0.1,8925,6,87753,0.767,9750800,0.18,0.142,2.247,2.303,-0.243,-2.968,0.007,-0.019
singularitynet,19 Dec 2017,19 Dec 2017,0,175,6,saas,9,32847814,32847814,1,0.1,15727,2,17336,14.2,17465100,0.093,0.004,0.071,0.109,-0.144,-10.859,0,-0.012
tenx,24 Jun 2017,24 Jun 2017,0,353,7,fintech,10,80000000,N/A,N/A,0.87,116,3,1726,53.943,303595,0.046,0.156,2.484,2.52,-0.138,-3.044,0.006,-0.021
iconomi,25 Aug 2016,29 Sep 2016,35,621,5,saas,26,10000000,11764706,0.85,0.11,N/A,2,922,1.433,14652,0.136,0.102,1.621,1.66,-0.092,-2.183,0.009,-0.021
nexo,17 Mar 2018,15 Apr 2018,29,58,6,fintech,14,52500000,52500000,1,0.1,63026,1,N/A,0.85,3226150,0.044,0.351,0.701,0.773,-0.48,-4.746,-0.007,-0.03
revain,21 Aug 2017,4 Sep 2017,14,281,2,saas,12,12513346,12513346,1,0.05,2358,1,6483,0.558,107140,0.26,0.379,6.016,6.089,0.092,0.247,0.012,-0.027
time-new-bank,18 Nov 2017,23 Nov 2017,5,201,7,saas,4,14360000,14360000,1,0.02,27739,0,15039,0.761,10625600,0.332,0.198,3.14,3.19,-0.137,-1.1,0.007,-0.018
quantstamp,17 Nov 2017,16 Dec 2017,29,178,1,fintech,10,31320000,31320000,1,0.07,23955,1,N/A,0.304,28481900,0.182,0.226,3.59,3.638,-0.324,-6.191,0.01,-0.021
dent,12 Jul 2017,26 Jul 2017,14,321,3,telecommunications,8,1923507,27478671,0.07,0,1492,1,36592,0,71565,0.162,0.104,1.654,1.691,-0.18,-2.833,0.029,-0.01
lympo,17 Feb 2018,28 Feb 2018,11,104,5,entertainment,11,16857899,16857899,1,0.0217,13221,3,7039,-0.258,176692,0.264,0.217,3.437,3.51,-0.106,-1.607,0.023,0.014
request-network,13 Oct 2017,17 Oct 2017,4,238,5,fintech,7,33600000,33600000,1,0.06,13831,1,772,0.013,5914220,0.117,0.262,4.163,4.237,-0.183,-3.293,0.008,-0.03
enjin-coin,3 Oct 2017,31 Oct 2017,28,224,7,entertainment,8,22959609,24956097,0.92,0.03,13224,1,N/A,-0.332,742008,0.026,0.278,4.415,4.474,-0.146,-1.527,0.013,-0.017
aragon,17 May 2017,17 May 2017,0,391,5,saas,2,25000000,N/A,N/A,0.74,2,1,6878,1.054,2745280,0.272,0.084,1.336,1.413,0.014,-0.984,0.005,-0.023
storiqa,28 Nov 2017,29 Jan 2018,62,134,3,saas,11,25000000,25000000,1,0,34979,1,13150,0,271889,-0.097,0.108,1.718,1.812,-0.034,12.865,0.016,0.029
bottos,31 Dec 2017,30 Jan 2018,30,133,12,other,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,2.296,18592600,-0.094,-0.121,-1.921,-1.837,-0.193,-4.52,-0.001,-0.025
arcblock,3 Feb 2018,3 Feb 2018,0,129,1,blockchain,4,45000000,45000000,1,0.5,37991,5,34593,1.54,94865600,-0.366,0.071,1.132,1.253,-0.136,-4.097,-0.003,-0.021
gnosis,24 Apr 2017,24 Apr 2017,0,414,5,saas,10,12500000,12500000,1,29.85,N/A,2,69139,-1,22984,-0.012,-0.021,-0.341,-0.31,0.536,-27.789,0.006,-0.055
cindicator,12 Sep 2017,12 Oct 2017,30,243,2,blockchain,12,15000000,15000000,1,0.01,7934,5,39405,1.258,971989,-0.447,0.056,0.882,0.966,-0.143,-4.241,0.012,-0.025
bluzelle,18 Jan 2018,2 Feb 2018,15,130,7,saas,12,19500000,19500000,1,0.12,23035,4,33374,4.648,41214300,0.11,0,0.007,0.163,-0.628,-2.822,0.002,-0.042
ignis,5 Aug 2017,14 Oct 2017,70,241,5,other,4,15000000,21739130,0.69,1.05,N/A,2,27292,1.2,18762,0.265,0.073,1.166,1.199,-1.188,-2.949,0.005,-0.035
thekey,15 Jan 2018,15 Jan 2018,0,148,3,other,15,22000000,22000000,1,0.0352,72796,2,30241,-0.186,9008350,0,-0.072,-1.148,-0.947,-0.269,-5.883,-0.004,-0.04
crypterium,31 Oct 2017,14 Jan 2018,75,149,5,fintech,15,51656963,51656963,1,1.5,33727,10,16550,0.54,183715,-0.374,-0.045,-0.708,-0.573,-0.295,-3.597,-0.003,-0.021
smartmesh,29 Nov 2017,28 Dec 2017,29,166,7,saas,6,15691200,16872258,0.93,0.02,21377,1,3793,0.56,1131310,0.39,0.148,2.343,2.426,0.043,-5.142,0.01,-0.05
metal,9 Jun 2017,9 Jun 2017,0,368,1,blockchain,7,N/A,N/A,1,0.18,201,0,33028,8.278,2843520,0.351,0.297,4.718,4.825,-0.237,-7.768,0.009,-0.052
poa-network,17 Nov 2017,17 Nov 2017,0,207,1,saas,15,12500000,12500000,1,0.07,10710,1,306,8.064,79376200,-0.336,0.061,0.971,1.119,-0.371,-7.903,-0.006,-0.063
particl,16 Mar 2017,12 Apr 2017,27,426,12,other,N/A,750000,N/A,N/A,1,N/A,1,N/A,5.95,983921,-0.058,0.079,1.258,1.427,-0.205,-2.986,0.006,-0.057
credits,15 Feb 2018,28 Feb 2018,13,104,7,saas,9,22570394,22570394,1,0.17,70603,6,50375,1.4,3014620,0.283,0.168,2.664,2.798,0.032,-4.149,0.008,-0.051
pillar,15 Jul 2017,17 Jul 2017,2,330,4,saas,30,20000000,N/A,N/A,0.1,765,1,12759,-0.256,101274,0.243,0.064,1.02,1.159,-0.149,-3.992,0.01,-0.028
docademic,29 Jan 2018,15 Apr 2018,76,58,10,insurance services,11,1100000,N/A,N/A,N/A,7383,1,23660,0,716822,0.424,3.363,6.726,6.771,1.957,-10.116,0.102,-0.055
crypto20,16 Oct 2017,30 Nov 2017,45,196,1,fintech,6,37698373,75396746,0.5,1.1,N/A,1,9624,2.373,5672340,-0.206,-0.204,-3.238,-3.326,-0.103,-0.463,-0.007,-0.007
boscoin,09 May 2017,10 May 2017,1,398,12,blockchain,17,17920000,N/A,N/A,0.044,N/A,5,N/A,18.93,27934,0.195,0.19,3.016,3.114,-0.05,-3.908,0,-0.053
sonm,15 Jun 2017,19 Jun 2017,4,358,2,saas,14,42000000,N/A,N/A,0.59,7973,9,273,-0.116,86186,-0.551,-0.097,-1.54,-1.423,-0.08,-5.955,0.004,-0.056
sophiatx,7 Dec 2017,17 Dec 2017,10,177,6,saas,8,23470356,80932262,0.29,0.46,5459,2,16070,-0.01,2148170,0.353,0.076,1.202,1.32,-0.118,-2.411,0.002,-0.05
tokenomy,15 Jan 2018,5 Feb 2018,21,127,12,blockchain,6,22869000,N/A,N/A,N/A,2424,1,46,0,2372070,-0.569,-0.13,-2.07,-1.718,-0.013,1.978,0,0.03
blockv,19 Oct 2017,25 Oct 2017,6,230,1,saas,4,21599100,39998333,0.54,0.42,3732,1,6515,-0.948,492028,0.345,0.231,3.671,3.771,-0.013,-0.394,0.008,-0.038
ambrosus,22 Sep 2017,22 Oct 2017,30,235,6,insurance services,20,32507330,98507061,0.33,0.29,4240,5,17208,-0.45,35697,0.095,0.119,1.895,1.933,0.209,-1.185,0.009,-0.004
genesis-vision,15 Oct 2017,15 Nov 2017,31,209,2,fintech,10,2836732,23639433,0.12,1,8089,8,19530,1.68,683667,0.386,0.27,4.287,4.384,-0.046,-9.887,0.016,-0.051
cube,16 Feb 2018,15 Mar 2018,27,89,4,saas,10,N/A,N/A,N/A,N/A,1611,0,5983,0,6757530,-0.13,0.001,0.013,0.166,-0.22,-14.566,-0.008,-0.052
tokenpay,7 Dec 2017,17 Jan 2018,41,146,7,blockchain,8,40948500,40948500,1,6,17560,1,N/A,-0.66,1515520,0.431,0.159,2.529,2.633,-0.313,-3.629,0.023,-0.026
eximchain,01 Feb 2018,13 Feb 2018,12,119,12,blockchain,16,20000000,20000000,1,0.33,2098,1,N/A,1.01,185434,-0.203,-0.352,-0.704,-0.484,0.158,-2.169,-0.003,-0.051
origintrail,15 Jan 2018,17 Jan 2018,2,146,5,saas,11,21513600,21513600,1,0.1,10095,5,549,1.364,3901170,0.193,0.058,0.915,1.034,-0.159,-1.765,0.005,-0.054
bread,16 Dec 2017,24 Dec 2017,8,170,6,blockchain,6,20021300,20021300,1,0.78,45751,2,54174,1.423,56455400,0.228,-0.03,-0.48,-0.332,-0.077,-6.197,-0.003,-0.039
jibrel-network,27 Nov 2017,1 Jan 2018,35,162,6,blockchain,9,30000000,30000000,1,0.25,2158,5,6544,0.689,10089800,0.06,-0.099,-1.565,-1.392,-0.503,-6.179,0,-0.052
odem,17 Feb 2018,18 Mar 2018,29,86,6,social services,10,4000000,N/A,N/A,N/A,N/A,1,3133,0,18548,0.471,0.215,3.406,3.533,0.408,4.69,0.028,0.064
apex,01 Jan 2018,28 Jan 2018,27,135,12,blockchain,N/A,25000000,25000000,1,0.16,5774,1,N/A,0.055,9262900,0.414,3.29,6.579,6.793,-0.25,3.041,-0.008,-0.043
ethlend,25 Nov 2017,30 Nov 2017,5,194,5,blockchain,25,17860000,17860000,1,0.02,19002,4,46873,-0.069,728686,0.427,0.258,4.09,4.176,-0.293,-6.806,0.013,-0.045
telcoin,11 Dec 2017,30 Dec 2017,19,164,8,blockchain,10,25000000,25000000,1,0.001,20956,2,25614,5.031,842193,0.036,-0.051,-0.816,-0.696,-0.273,-2.033,-0.004,-0.039
apis,4 Mar 2018,3 Apr 2018,30,70,7,blockchain,21,N/A,N/A,N/A,N/A,N/A,0,N/A,0,4766240,0.218,1.732,3.465,3.514,-3.29,-9.653,0.049,-0.057
wagerr,1 Jun 2017,25 Jun 2017,24,352,10,saas,6,10000000,N/A,N/A,0.06,N/A,1,17160,0.141,120805,0.137,0.109,1.729,1.879,-0.238,-10.565,0.01,-0.02
red-pulse,8 Oct 2017,8 Oct 2017,0,247,3,fintech,3,14508923,14508923,1,0.03,6362,2,33197,0.849,5395350,-0.044,0.223,3.541,3.646,-0.248,-5.673,0.009,-0.048
edgeless,28 Feb 2017,21 Mar 2017,21,448,12,saas,N/A,2000000,N/A,N/A,0.04,1286,1,40095,-0.23,18692,0.264,0.185,2.935,2.99,0.027,-6.643,0.014,-0.046
eidoo,4 Oct 2017,16 Oct 2017,12,239,6,saas,5,27676992,51253689,0.54,2.3,5458,3,25872,0.035,39128,-0.04,0.138,2.185,2.397,-0.16,-2.484,0.002,-0.042
adex,30 Jun 2017,30 Jun 2017,0,347,2,fintech,16,10000000,10000000,1,0.24,4555,2,56664,2.633,4984360,-0.238,-1.887,-3.774,-3.377,-0.2,-4.988,-0.022,-0.051
paypie,15 Oct 2017,16 Oct 2017,1,239,1,saas,11,26000000,26000000,1,0.37,4207,1,7815,-0.02,256062,0.065,0.149,2.368,2.439,0.014,-4.038,0.011,-0.047
tokencard,2 May 2017,2 May 2017,0,406,4,fintech,8,12782000,12782000,1,0.54,2,1,18991,0.926,416619,0.063,0.016,0.249,0.4,-0.106,-0.17,0.007,-0.02
zebi,05 Mar 2018,31 Mar 2018,26,73,7,fintech,7,8561100,8561100,1,0.0333,15006,2,16921,2.483,5412550,0.139,1.104,2.209,2.365,-0.583,-12.871,-0.012,-0.07
babb,6 Feb 2018,6 Mar 2018,28,98,4,fintech,13,20000000,20000000,1,0,14262,2,10739,0,286765,-0.014,0.229,3.632,3.752,-0.371,-6.339,0.017,-0.057
airswap,10 Oct 2017,10 Nov 2017,31,214,1,fintech,4,12600000,12600000,1,0.3,4356,3,N/A,0.345,3654270,-0.161,0.06,0.954,1.145,-0.062,-6.664,0.004,-0.062
havven,28 Feb 2018,7 Mar 2018,7,97,9,blockchain,15,30000000,30000000,1,0.5,3969,8,11066,-0.039,1203240,-0.089,0.11,1.739,1.938,-0.221,-13.176,0.002,-0.046
bitrent,1 Dec 2017,31 Mar 2018,120,73,4,saas,19,14627210,N/A,N/A,0.06,12795,1,6587,-0.336,156399,0.27,0.046,0.728,0.921,-0.206,-16.716,0.002,-0.01
legolas-exchange,1 Feb 2018,15 Feb 2018,14,117,5,blockchain,9,18856000,N/A,N/A,N/A,N/A,2,11870,0,682912,-0.2,-0.013,-0.209,0.023,-0.235,-5.085,0,-0.03
minexcoin,15 May 2017,13 Jun 2017,29,364,12,fintech,N/A,N/A,N/A,N/A,N/A,3037,2,N/A,0,17365,0.506,0.314,4.992,5.08,0.085,-1.156,0.014,-0.037
wings,18 Nov 2016,6 Jan 2017,49,522,6,saas,14,1706156,2274875,0.75,0.03,N/A,1,635,-0.287,1601,0.342,0.213,3.38,3.495,-0.019,-3.693,0.013,-0.039
medibloc,27 Nov 2017,15 Dec 2017,18,179,7,saas,7,21271251,29959508,0.71,0.02,5620,2,10908,-0.006,645796,0.529,0.125,1.986,2.066,-0.391,-10.071,0.004,-0.073
loyalcoin,11 Dec 2017,10 Feb 2018,61,122,12,saas,10,40226964,40226964,1,0.01,N/A,1,6709,-0.359,60119,-1.518,-2.629,-5.257,-4.997,-1.033,-9.067,-0.037,-0.036
singulardtv,2 Oct 2016,2 Oct 2016,0,618,1,saas,N/A,7500000,N/A,N/A,0.02,348,1,37896,-0.067,165271,-0.141,-0.109,-1.734,-1.422,-0.093,-3.474,0.008,-0.052
district0x,18 Jul 2017,1 Aug 2017,14,315,1,saas,8,9000000,N/A,N/A,0.02,N/A,1,59528,-0.22,30593,0.461,0.162,2.568,2.68,-0.156,-1.336,0.014,-0.047
atn,27 Apr 2018,20 May 2018,23,23,12,saas,11,N/A,N/A,N/A,N/A,15714,0,4904,0,603047,0.175,-0.006,-0.089,0.116,-0.075,-9.075,-0.005,-0.036
datx,11 Feb 2018,11 Mar 2018,28,93,7,other,10,44150000,44150000,1,0.0353,25917,1,47901,-0.22,612568,-0.302,0.088,1.392,1.596,0.296,-0.948,0.001,-0.039
presearch,25 Jul 2017,31 Oct 2017,98,224,1,saas,10,16000000,N/A,N/A,0.25,10689,2,1221,-0.151,98499,0.257,0.132,2.089,2.172,0.161,-2.933,0.012,-0.028
wepower,1 Feb 2018,2 Feb 2018,1,130,7,saas,20,40000000,40000000,1,0.13,51021,4,36259,0.35,782690,-0.003,-0.05,-0.787,-0.573,-0.037,-5.649,-0.007,-0.057
appcoins,13 Dec 2017,20 Dec 2017,7,174,7,saas,18,15300000,15300000,1,0.1,11732,3,27442,34.3,124119000,-0.078,-0.122,-1.939,-1.767,-0.112,-4.966,-0.01,-0.048
zeepin,17 Jan 2018,17 Jan 2018,0,146,12,blockchain,N/A,62580000,62580000,1,0.13,5055,1,N/A,0.51,14383200,-0.006,-0.104,-1.644,-1.433,-0.255,-13.254,-0.005,-0.051
utrust,2 Nov 2017,20 Nov 2017,18,204,6,saas,26,21000000,21000000,1,0.07,12985,9,28550,1.993,3956620,0.338,0.077,1.227,1.366,-0.541,-4.011,-0.001,-0.051
ins-ecosystem,04 Dec 2017,25 Dec 2017,21,169,2,other,11,41500000,41500000,1,2.54,17617,1,N/A,1.685,373749,-0.061,-0.096,-1.531,-1.346,-0.264,-5.026,-0.008,-0.05
universa,27 Oct 2017,27 Nov 2017,31,197,2,saas,20,28559233,98480114,0.29,0.01,14203,8,1138,4.161,763454,-0.516,-0.131,-2.082,-1.773,-0.29,-2.996,-0.01,-0.022
crowd-machine,01 Apr 2018,22 May 2019,416,-344,7,saas,13,31530000,100000000,0.3153,N/A,6012,1,5252,0,220487,-0.28,-2.225,-4.45,-4.216,0.528,10.743,-0.008,0.015
mobilego,25 Apr 2017,25 May 2017,30,383,1,saas,8,53000000,N/A,N/A,0.76,2572,2,315,2.539,187166,-0.047,-0.015,-0.239,-0.08,-0.149,-2.31,0,-0.03
naga,1 Dec 2017,15 Dec 2017,14,179,12,fintech,14,45318896,45318896,1,1,13325,10,26,0.55,3010670,0.221,0.03,0.473,0.617,-0.041,2.078,-0.003,-0.032
wabi,28 Nov 2017,1 Dec 2017,3,193,2,ecommerce,10,11500000,11500000,1,0.25,8335,2,35410,4.56,26744800,0.207,0.094,1.497,1.624,-0.19,-9.157,0.001,-0.06
tierion,27 Jul 2017,28 Jul 2017,1,319,1,saas,4,25000000,25000000,1,0.07,4359,1,N/A,2.332,1142210,-0.109,-0.153,-2.427,-2.182,-0.235,-1.851,0.003,-0.045
odyssey,21 Jan 2018,22 Jan 2018,1,141,7,blockchain,9,50000000,50000000,1,0.0119,47567,1,894,1.093,12284200,0.09,0.014,0.223,0.357,-0.189,-10.757,0.004,-0.068
modum,1 Sep 2017,22 Oct 2017,51,233,6,saas,17,13350000,16481481,0.81,1,2350,1,14544,-0.373,119265,0.355,0.248,3.94,4.097,-0.164,-9.429,0.011,-0.044
taas,27 Mar 2017,28 Apr 2017,32,410,7,fintech,4,7500000,10135135,0.74,1,N/A,4,139,-0.18,1571,0.088,0.226,3.584,3.982,0.056,-0.646,0.005,-0.026
cashaa,6 Nov 2017,6 Dec 2017,30,188,4,fintech,11,11110000,31742857,0.35,0.1,7503,1,390,0.182,34753,-0.226,-0.13,-2.056,-1.833,0.146,-7.358,0.001,-0.036
decent,11 Sep 2016,6 Nov 2016,56,583,6,telecommunications,31,24137000,24137000,1,0.024,N/A,7,30143,3.583,121,0.199,0.172,2.738,2.823,0.156,-4.276,0.024,-0.029
melon,15 Feb 2017,16 Feb 2017,1,481,6,other,2,N/A,N/A,N/A,N/A,42,1,N/A,0,57957,0.209,0.069,1.091,1.245,-0.095,-1.634,0.006,-0.013
decentbet,21 Sep 2017,19 Oct 2017,28,238,12,other,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,0.815,26234,-0.027,0.147,2.341,2.371,-0.381,-3.15,0.009,0.002
yoyow,21 May 2017,24 May 2017,3,384,3,saas,N/A,4364760,14549200,0.3,0.02,3318,1,N/A,5.154,8194,-0.037,-0.007,-0.11,0.012,0.001,-2.112,0.009,-0.032
