coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
nebulas,8 Dec 2017,16 Dec 2017,8,171,1,saas,19,60000000,60000000,1,2,12052,1,22523,1.17,995797,-0.17,0.17,2.64,2.6,-0.137,-2.248,0.012
aion,24 Nov 2017,24 Dec 2017,30,161,12,blockchain,N/A,N/A,N/A,N/A,N/A,11280,0,N/A,0,20958,0.12,0.22,3.46,3.5,-0.134,-5.023,0.018
loopring,1 Aug 2017,16 Aug 2017,15,291,3,saas,3,45000000,N/A,1,0.06,N/A,1,30634,0.747,200829,-0.05,0.12,1.93,1.99,-0.144,-0.034,0.015
digixdao,29 Mar 2016,30 Mar 2016,1,795,7,saas,N/A,55000004,N/A,N/A,4.2,N/A,1,15136,6.543,1900,-0.05,-0.01,-0.14,-0.07,0.031,-1.943,0.006
komodo,15 Oct 2016,16 Nov 2016,32,564,12,saas,N/A,1983781,N/A,N/A,0.38,N/A,1,88942,-0.708,22487,0.02,0.12,1.88,1.89,-0.003,-2.898,0.022
ark,05 Nov 2016,09 Dec 2016,34,541,12,blockchain,N/A,22000000,N/A,N/A,0.1,43,1,N/A,-0.657,133793,0.32,0.26,4.19,4.25,-0.167,-2.057,0.017
cybermiles,21 Nov 2017,21 Dec 2017,30,164,1,saas,9,30000000,36680000,0.82,0.052,69079,5,237173,2.473,12580000,-0.09,0.01,0.22,0.28,-0.015,-4.886,0.007
bancor,12 Jun 2017,12 Jun 2017,0,356,12,saas,6,15300000,N/A,N/A,3.92,6617,10,814,4.097,16871,-0.16,-0.07,-1.04,-0.97,-0.003,-1.42,0.001
dentacoin,1 Oct 2017,1 Nov 2017,31,214,5,insurance services,19,2100000,N/A,N/A,0,N/A,6,110,0,228296,0.04,0.06,0.94,0.98,-0.189,-1.091,0.025
elastos,01 Jan 2018,22 Jan 2018,21,132,12,blockchain,N/A,57891000,N/A,N/A,N/A,17174,2,N/A,0,33745700,0.19,-0.02,-0.34,-0.24,-0.434,1.807,0.004
kyber-network,15 Sep 2017,17 Sep 2017,2,259,7,other,7,N/A,N/A,N/A,N/A,N/A,1,N/A,0,16343900,-0.15,-0.08,-1.21,-1.06,-0.127,-2.386,0.004
cryptonex,01 Sep 2017,30 Sep 2017,29,246,12,other,N/A,N/A,N/A,N/A,N/A,2314,0,N/A,0,79554,-0.03,0.12,1.88,1.95,-0.224,-0.466,0.009
veritaseum,25 Apr 2017,26 May 2017,31,373,1,blockchain,2,6480882,N/A,N/A,12,1818,1,23266,3.047,450758,0.22,0.13,2.02,2.02,-261.85,-1.909,192.568
fusion,1 Feb 2018,10 Feb 2018,9,113,7,fintech,20,108394802,N/A,N/A,2.06,10865,4,7719,0.592,1440790,-0.04,0.12,1.87,1.98,-0.209,-4.5,0.011
substratum,14 Aug 2017,14 Sep 2017,31,262,1,blockchain,6,13800000,N/A,N/A,0.07,62,2,1159,-0.333,41819,0.29,0.28,4.47,4.54,-0.246,-4.216,0.017
theta-token,07 Jan 2018,07 Jan 2018,0,147,12,telecommunications,N/A,20000000,N/A,N/A,0.15,13256,1,N/A,0.222,10023000,0.05,0.06,0.99,1.07,-0.116,7.364,0.01
dragonchain,2 Oct 2017,2 Nov 2017,31,213,1,saas,8,13700000,16689535.8,0.82,0.07,N/A,8,73929,2.853,1142060,0.37,0.26,4.08,4.14,0.111,-3.545,0.013
kin,12 Sep 2017,26 Sep 2017,14,250,1,saas,7,98000000,N/A,N/A,0,N/A,1,24638,0,372049,-0.08,-0.01,-0.17,-0.07,-0.144,-2.341,0.012
electroneum,14 Sep 2017,20 Oct 2017,36,226,4,blockchain,15,40000000,40000000,1,0.01,49435,1,124009,6.736,2464330,-0.13,0.08,1.26,1.31,0.093,-3.148,0.002
storm,07 Nov 2017,07 Dec 2017,30,178,1,fintech,8,32000000,N/A,N/A,0.0113,5,1,26733,0.43,330757,0.68,0.15,2.39,2.45,-0.238,-2.193,0.018
bnktothefuture,16 Feb 2018,16 Mar 2018,28,79,12,fintech,10,33000000,N/A,N/A,0.1,N/A,4,N/A,-0.22,40890,0.31,0.2,3.11,3.21,0.017,0.568,0.02
holo,29 Mar 2018,28 Apr 2018,30,36,7,telecommunications,8,15000000,5000,1,0,N/A,4,4838,0,5764530,0.26,2.05,4.1,4.17,0.632,1.511,0.02
dropil,7 Feb 2018,7 Mar 2018,28,88,1,fintech,6,60000000,31679999.999999996,1,0.00317,726,1,6725,0.985,78904,-0.05,0.06,0.99,1.1,0.037,1.091,0.006
gifto,14 Dec 2017,14 Dec 2017,0,171,3,entertainment,13,30000000,30000000,1,0.1,55887,4,16569,2.489,44959800,0.32,0.12,1.93,1.98,-0.068,-4.466,0.007
iexec-rlc,17 Apr 2017,10 May 2017,23,389,12,other,8,12000000,N/A,N/A,0.178,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
power-ledger,8 Sep 2017,6 Oct 2017,28,240,9,energy,17,13232290,N/A,N/A,0.09,16590,3,917,-0.381,1017460,0.51,0.32,5.09,5.14,0.057,-2.045,0.016
salt,01 Aug 2017,15 Aug 2017,14,292,12,other,N/A,N/A,N/A,N/A,N/A,791,1,N/A,0,4174650,-0.17,0,0.08,0.16,-0.081,-3.602,0.001
deepbrain-chain,15 Dec 2017,15 Dec 2017,0,170,12,other,N/A,N/A,N/A,N/A,N/A,12825,1,N/A,0,18387700,0.29,0.09,1.36,1.42,-0.284,1.057,0.008
monaco,18 May 2017,18 Jun 2017,31,350,6,fintech,4,26700000,N/A,0.1,2.88,7401,4,64606,-0.142,1549870,-0.1,0.2,3.1,3.14,0.047,-1.75,0.014
storj,19 May 2017,25 May 2017,6,374,1,saas,15,30000000,N/A,1,0.5,N/A,1,83040,0.097,211542,0.08,0.11,1.71,1.76,-0.012,-0.42,0.009
civic,21 Jun 2017,22 Jun 2017,1,346,1,saas,2,33000000,33000000,1,0.1,8910,6,86563,0.767,9750800,0.18,0.14,2.26,2.33,-0.244,-1.761,0.009
decentraland,8 Aug 2017,8 Aug 2017,0,299,10,entertainment,13,24000000,600000,1,0.02,N/A,1,3,0.237,688849,-0.21,-0.01,-0.19,-0.12,-0.12,-1.466,0.015
quantstamp,17 Nov 2017,16 Dec 2017,29,169,1,fintech,10,30000000,30000000,1,0.07,24147,1,N/A,0.304,28481900,0.18,0.23,3.59,3.64,-0.322,-1.443,0.013
neblio,6 Aug 2017,20 Aug 2017,14,287,1,fintech,2,14834923,N/A,0.07,0.2,N/A,1,N/A,2.146,257746,0.2,0.24,3.77,3.83,-0.109,0.523,0.022
nexo,17 Mar 2018,15 Apr 2018,29,49,6,fintech,18,52500000,52500000,1,0.1,64045,1,N/A,0.85,3226150,0.04,0.34,0.68,0.76,-0.704,0.716,0.002
request-network,13 Oct 2017,17 Oct 2017,4,229,5,fintech,7,32895000,N/A,N/A,0.06,13882,1,765,0.013,5914220,0.13,0.27,4.23,4.31,-0.187,-2.239,0.011
tenx,24 Jun 2017,24 Jun 2017,0,344,7,fintech,10,80000000,N/A,N/A,0.87,116,3,1718,53.943,303595,0.05,0.16,2.47,2.51,-0.135,-0.193,0.007
singularitynet,19 Dec 2017,19 Dec 2017,0,166,6,saas,9,36000000,N/A,N/A,0.1,15621,2,16561,14.2,17465100,0.09,0,0.08,0.12,-0.129,-9.227,0.003
iconomi,25 Aug 2016,29 Sep 2016,35,612,5,saas,26,10000000,N/A,0.85,0.11,N/A,2,918,1.433,14652,0.13,0.1,1.6,1.65,-0.096,-0.307,0.01
dent,12 Jul 2017,26 Jul 2017,14,312,3,telecommunications,8,43000000,N/A,0.14,0,8123,1,35843,0,71565,0.16,0.1,1.65,1.69,-0.168,-3.159,0.03
bottos,31 Dec 2017,30 Jan 2018,30,124,12,other,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,2.296,18592600,-0.1,-0.12,-1.97,-1.88,-0.16,-2.932,0.002
time-new-bank,18 Nov 2017,23 Nov 2017,5,192,7,saas,10,8000000,N/A,N/A,0.02,26383,0,14820,0.761,10625600,0.34,0.2,3.17,3.22,-0.147,-0.818,0.009
cindicator,12 Sep 2017,12 Oct 2017,30,234,2,blockchain,12,15000000,15000000,1,0.01,7954,5,38894,1.258,971989,-0.44,0.06,0.89,0.98,-0.143,-1.943,0.014
arcblock,3 Feb 2018,3 Feb 2018,0,120,1,blockchain,4,11000000,N/A,N/A,0.5,38378,5,32764,1.54,94865600,-0.38,0.07,1.09,1.23,-0.066,-1.091,0.001
revain,21 Aug 2017,4 Sep 2017,14,272,2,saas,11,12513346,400,1,0.05,2358,1,6412,0.558,107140,0.26,0.38,6,6.08,0.09,0.045,0.014
lympo,17 Feb 2018,28 Feb 2018,11,95,5,entertainment,11,8366627,N/A,N/A,0.0217,13172,3,6438,-0.258,176692,0.26,0.21,3.41,3.49,-0.087,4.068,0.028
aragon,17 May 2017,17 May 2017,0,382,5,saas,2,25000000,N/A,N/A,0.74,N/A,1,6791,1.054,2745280,0.28,0.09,1.43,1.51,0.011,0.466,0.007
storiqa,28 Nov 2017,29 Jan 2018,62,125,3,saas,11,25000000,25000000,1,0,34291,1,12374,0,271889,-0.09,0.11,1.8,1.91,-0.044,10.989,0.021
particl,16 Mar 2017,12 Apr 2017,27,417,12,other,N/A,750000,N/A,N/A,1,N/A,1,N/A,5.95,983921,-0.06,0.08,1.26,1.36,-0.211,-1.409,0.007
enjin-coin,3 Oct 2017,31 Oct 2017,28,215,7,entertainment,8,23000000,N/A,N/A,0.03,N/A,1,N/A,-0.332,742008,0.02,0.28,4.4,4.47,-0.144,0.205,0.015
poa-network,17 Nov 2017,17 Nov 2017,0,198,1,saas,19,12500000,12500000,1,0.0724,10900,1,305,7.763,79376200,-0.34,0.06,0.99,1.08,-0.35,0.557,-0.001
gnosis,24 Apr 2017,24 Apr 2017,0,405,5,saas,10,12500000,N/A,1,29.85,N/A,2,68106,-1,22984,-0.01,-0.02,-0.32,-0.29,0.179,15.875,0.005
bluzelle,18 Jan 2018,2 Feb 2018,15,121,7,saas,10,19500000,19500000,1,0.12,23268,4,32480,4.648,41214300,0.11,0,-0.02,0.07,-0.652,-4.693,0.005
docademic,29 Jan 2018,15 Apr 2018,76,49,10,insurance services,13,1100000,N/A,N/A,0.017,7036,1,11481,0.388,716822,0.42,3.36,6.72,6.74,3.583,6.463,0.157
credits,15 Feb 2018,28 Feb 2018,13,95,7,saas,9,20000000,20000000,1,0.17,27429,6,18681,1.4,3014620,0.28,0.17,2.64,2.78,0.027,-3.364,0.013
smartmesh,29 Nov 2017,28 Dec 2017,29,157,7,saas,9,15000000,N/A,N/A,0.0167,21638,1,3735,0.868,1131310,0.39,0.15,2.32,2.41,0.05,1.322,0.013
sophiatx,7 Dec 2017,17 Dec 2017,10,168,6,saas,21,7300000,N/A,N/A,0.0716,5509,2,15637,5.361,2148170,0.35,0.08,1.19,1.31,-0.123,-1,0.005
sonm,15 Jun 2017,19 Jun 2017,4,349,2,saas,13,42000000,N/A,N/A,0.59,7965,9,274,-0.116,86186,-0.56,-0.1,-1.66,-1.54,-0.08,-3,0.005
ignis,5 Aug 2017,14 Oct 2017,70,232,5,other,3,21600000,60562000,0.3566592913047786,1.05,N/A,2,27024,1.2,18762,0.26,0.07,1.16,1.19,-1.219,-3.388,0.007
boscoin,09 May 2017,10 May 2017,1,389,12,blockchain,17,17920000,N/A,N/A,0.044,N/A,5,N/A,18.93,27934,0.19,0.19,3.05,3.15,-0.05,-4.719,0.002
metal,9 Jun 2017,9 Jun 2017,0,359,1,blockchain,7,N/A,N/A,1,0.18,201,0,32757,8.278,2843520,0.35,0.3,4.71,4.82,-0.237,0.033,0.01
thekey,15 Jan 2018,15 Jan 2018,0,139,3,other,14,22000000,22000000,1,0.0352,74243,2,29251,-0.186,9008350,0,-0.07,-1.09,-0.88,-0.278,-3.165,-0.002
ambrosus,22 Sep 2017,22 Oct 2017,30,226,6,insurance services,20,32507330,97800000,0.33,0.29,4222,5,16866,-0.45,35697,0.1,0.12,1.92,1.88,0.212,0.884,0.011
blockv,19 Oct 2017,25 Oct 2017,6,221,1,saas,18,21500000,40000000,0.54,0.42,3716,1,6389,-0.948,492028,0.34,0.23,3.6,3.7,-0.018,-3.372,0.01
genesis-vision,15 Oct 2017,15 Nov 2017,31,200,2,fintech,10,2836724,33000000,0.09,1,8047,8,19029,1.68,683667,0.39,0.27,4.32,4.42,-0.038,-3.05,0.019
origintrail,15 Jan 2018,17 Jan 2018,2,137,5,saas,11,22500000,22000000,1,0.1,10088,5,541,1.364,3901170,0.19,0.06,0.93,1.06,-0.181,-3.14,0.009
crypterium,31 Oct 2017,14 Jan 2018,75,140,5,fintech,15,51656963,21750,1,1.5,34071,10,16313,0.54,183715,-0.38,-0.05,-0.75,-0.75,-0.295,-11,-0.003
jibrel-network,27 Nov 2017,1 Jan 2018,35,153,6,blockchain,9,50000000,N/A,N/A,0.25,2174,5,6394,0.689,10089800,0.06,-0.1,-1.64,-1.64,-0.511,-4.5,0.003
cube,16 Feb 2018,15 Mar 2018,27,80,4,saas,12,N/A,N/A,N/A,N/A,1637,0,5956,0,6757530,-0.13,0,0.04,0.04,-0.125,-3.5,-0.004
apex,01 Jan 2018,28 Jan 2018,27,126,12,other,N/A,25000000,N/A,N/A,0.16,15931,1,N/A,0.055,9262900,0.4,3.21,6.42,6.42,-0.447,-7.5,-0.001
crypto20,16 Oct 2017,30 Nov 2017,45,187,1,fintech,6,37698373,75000000,0.5,1.1,N/A,1,9575,2.373,5672340,-0.21,-0.19,-3.06,-3.15,-0.093,-0.866,-0.006
pillar,15 Jul 2017,17 Jul 2017,2,321,4,saas,30,20000000,N/A,N/A,0.1,755,1,12581,-0.256,101274,0.24,0.07,1.03,1.03,-0.152,-5,0.011
tokenpay,7 Dec 2017,17 Jan 2018,41,137,7,blockchain,10,24243811,N/A,N/A,5.46,12,1,N/A,-0.626,1515520,0.43,3.43,6.86,6.86,-0.363,-8.5,0.03
ethlend,25 Nov 2017,30 Nov 2017,5,185,5,blockchain,25,16200000,N/A,N/A,0.02,N/A,4,45949,-0.069,728686,0.43,0.26,4.09,4.09,-0.297,-7.5,0.015
bread,16 Dec 2017,24 Dec 2017,8,161,6,blockchain,6,32000000,20000000,1,0.79,N/A,2,53939,1.392,56455400,0.23,-0.03,-0.47,-0.47,-0.063,-5.5,-0.002
telcoin,11 Dec 2017,30 Dec 2017,19,155,8,blockchain,19,25000000,25000000,1,0.001,20999,2,25009,5.031,842193,0.04,-0.05,-0.81,-0.81,-0.287,-8,-0.002
zebi,05 Mar 2018,31 Mar 2018,26,64,7,fintech,17,10000000,N/A,N/A,0.0333,15242,2,16269,2.483,5412550,0.14,1.11,2.22,2.22,-0.314,-7.5,0.002
red-pulse,8 Oct 2017,8 Oct 2017,0,238,3,fintech,11,15000000,N/A,N/A,0.03,6387,2,32651,0.849,5395350,-0.05,0.23,3.57,3.57,-0.243,-8.5,0.011
airswap,10 Oct 2017,10 Nov 2017,31,205,12,other,14,N/A,N/A,N/A,N/A,8009,3,N/A,0,3654270,-0.15,0.06,0.95,0.95,-0.067,-7,0.006
adex,30 Jun 2017,30 Jun 2017,0,338,2,fintech,16,10000000,N/A,1,0.24,4559,2,55918,3.5,6138100,-0.44,-3.48,-6.96,-6.96,-0.05,-6,-0.017
medibloc,27 Nov 2017,15 Dec 2017,18,170,7,saas,17,30000000,N/A,N/A,0.009,5566,2,10627,1.209,645796,0.53,0.13,1.99,1.99,-0.383,-5.5,0.009
paypie,15 Oct 2017,16 Oct 2017,1,230,1,saas,11,26000000,N/A,N/A,0.37,4231,1,7700,-0.02,256062,0.06,0.15,2.35,2.35,0.009,-25,0.013
babb,6 Feb 2018,6 Mar 2018,28,89,4,fintech,13,20000000,N/A,N/A,0,14279,2,10136,0,286765,-0.01,0.23,3.64,3.64,-0.369,-3.5,0.025
eidoo,4 Oct 2017,16 Oct 2017,12,230,6,saas,5,28000000,N/A,N/A,2.3,5410,3,25470,0.035,39128,-0.02,0.15,2.37,2.37,-0.163,-7.5,0.004
edgeless,28 Feb 2017,21 Mar 2017,21,439,12,saas,0,2000000,N/A,N/A,0.04,1253,1,39740,-0.23,18692,0.26,0.18,2.87,2.87,0.031,-5,0.015
banca,26 Feb 2018,26 Feb 2018,0,97,7,other,17,20000000,20000000,1,0.002,9028,1,7004,-0.655,856596,0.06,0.27,4.21,4.21,-0.722,-3,0.032
singulardtv,2 Oct 2016,2 Oct 2016,0,609,1,saas,0,7500000,N/A,N/A,0.02,288,1,36487,-0.067,165271,-0.14,-0.11,-1.72,-1.72,-0.098,-7,0.009
district0x,18 Jul 2017,1 Aug 2017,14,306,1,saas,8,9000000,N/A,N/A,0.02,N/A,1,58666,-0.22,30593,0.46,0.16,2.56,2.56,-0.163,-8,0.015
wings,18 Nov 2016,6 Jan 2017,49,513,6,saas,14,1706156,N/A,0.75,0.03,N/A,1,637,-0.287,1601,0.34,0.21,3.4,3.4,-0.019,-6,0.014
wepower,1 Feb 2018,2 Feb 2018,1,121,7,saas,20,40000000,40000000,1,0.13,51861,4,35743,0.35,782690,0,-0.04,-0.7,-0.7,-0.038,-1,-0.004
wabi,28 Nov 2017,1 Dec 2017,3,184,2,ecommerce,10,11500000,11500000,1,0.25,8429,2,34783,4.56,26744800,0.21,0.1,1.56,1.56,-0.176,-8,0.005
minexcoin,15 May 2017,13 Jun 2017,29,355,12,fintech,N/A,N/A,N/A,N/A,N/A,2984,2,N/A,0,17365,0.51,0.32,5.01,5.01,0.076,-1,0.017
ins-ecosystem,04 Dec 2017,25 Dec 2017,21,160,2,other,11,45253000,N/A,N/A,N/A,17599,1,N/A,0,373749,-0.06,-0.1,-1.55,-1.55,-0.259,-4.5,-0.006
odyssey,21 Jan 2018,22 Jan 2018,1,132,7,blockchain,21,50000000,N/A,N/A,0.0119,14190,1,840,1.093,12284200,0.09,0.01,0.2,0.2,-0.161,-17,0.009
appcoins,13 Dec 2017,20 Dec 2017,7,165,7,saas,18,15300000,15300000,1,0.1,11810,3,27212,34.3,124119000,-0.07,-0.12,-1.97,-1.97,-0.107,-1.5,-0.008
tokenomy,15 Jan 2018,5 Feb 2018,21,118,12,blockchain,17,22869000,N/A,N/A,0.18,2263,1,43,1.3,2372070,-0.57,-0.12,-1.94,-1.94,-0.022,-10,-0.003
tokencard,2 May 2017,2 May 2017,0,397,4,fintech,8,12782000,N/A,1,0.54,3,1,18781,0.926,416619,0.06,0.01,0.19,0.19,-0.104,-9,0.008
utrust,2 Nov 2017,20 Nov 2017,18,195,6,saas,26,20000000,21000000,0.95,0.07,4894,9,28163,1.993,3956620,0.34,0.08,1.25,1.25,-0.545,-5.5,0.002
tierion,27 Jul 2017,28 Jul 2017,1,310,1,saas,11,25000000,N/A,N/A,0.07,N/A,1,N/A,2.332,1142210,-0.11,-0.15,-2.38,-2.38,-0.242,-4,0.005
havven,28 Feb 2018,7 Mar 2018,7,88,9,blockchain,27,30000000,30000000,1,0.5,N/A,8,10789,-0.039,1203240,-0.09,0.12,1.92,1.92,-0.121,-9,0.006
wagerr,1 Jun 2017,25 Jun 2017,24,343,10,saas,6,10000000,N/A,N/A,0.06,N/A,1,17053,0.141,120805,0.14,0.12,1.87,1.87,-0.231,-1,0.011
legolas-exchange,1 Feb 2018,15 Feb 2018,14,108,5,blockchain,9,18856000,N/A,N/A,N/A,N/A,2,11645,0,682912,-0.21,-0.02,-0.3,-0.3,-0.226,-3,0.003
datx,11 Feb 2018,11 Mar 2018,28,84,7,other,9,N/A,N/A,N/A,0.0353,26236,1,47273,-0.22,612568,-0.28,0.09,1.45,1.45,0.301,-3,0.005
decentbet,21 Sep 2017,19 Oct 2017,28,229,12,other,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,0.815,26234,-0.02,0.15,2.36,2.39,-0.385,-3.837,0.012
naga,1 Dec 2017,15 Dec 2017,14,170,12,fintech,28,50020960,400000000,0.13,1,N/A,10,25,0.55,3010670,0.22,0.03,0.47,0.47,-0.049,-3,-0.001
modum,1 Sep 2017,22 Oct 2017,51,224,6,saas,17,1050000,N/A,N/A,1,2324,1,14281,-0.373,119265,0.35,0.25,3.9,3.9,-0.157,-6,0.013
zeepin,17 Jan 2018,17 Jan 2018,0,137,12,other,N/A,62600000,N/A,N/A,0.17,20549,1,N/A,0.155,14383200,-0.01,-0.1,-1.55,-1.55,-0.225,-10.5,-0.003
datawallet,5 Feb 2018,7 Mar 2018,30,88,1,other,13,40000000,30000000,1,0.18,6270,1,5647,-0.226,122971,-0.14,-0.14,-2.24,-2.24,0.321,-9.5,0.003
bitrent,1 Dec 2017,31 Mar 2018,120,64,4,saas,19,14627210,N/A,N/A,0.06,12901,1,6432,-0.336,156399,0.27,0.05,0.75,0.75,-0.032,-1,0.002
presearch,25 Jul 2017,31 Oct 2017,98,215,1,saas,10,16000000,N/A,N/A,0.25,N/A,2,1169,-0.151,98499,0.26,0.13,2.08,2.08,0.153,-13.5,0.014
qlink,27 Dec 2017,27 Jan 2018,31,127,7,transportation,14,19000000,N/A,N/A,0.1,9445,1,334,1.901,9911000,0.18,0.03,0.42,0.42,-0.406,-6.5,-0.001
mobilego,25 Apr 2017,25 May 2017,30,374,1,saas,6,53000000,N/A,N/A,0.76,2558,2,316,2.539,187166,-0.05,-0.01,-0.2,-0.2,-0.143,-4.5,0.001
lunyr,29 Mar 2017,28 Apr 2017,30,401,1,saas,3,3400000,N/A,N/A,1.61,N/A,1,33531,0.59,309766,0.07,0.08,1.22,1.22,-0.21,-4.5,0.016
etherparty,1 Oct 2017,29 Oct 2017,28,217,1,blockchain,26,33000000,N/A,N/A,0.1,6072,6,2,-0.565,180346,0.13,0.24,3.75,3.75,0.022,-12,0.011
yoyow,21 May 2017,24 May 2017,3,375,3,saas,N/A,4364760,N/A,0.3,0.02,3287,1,N/A,5.154,8194,-0.04,-0.01,-0.09,-0.09,-0.003,-4.5,0.01
decent,11 Sep 2016,6 Nov 2016,56,574,6,telecommunications,31,15000000,N/A,N/A,N/A,N/A,7,29919,0,121,0.2,0.17,2.72,2.72,0.155,-4.5,0.025
cashaa,6 Nov 2017,6 Dec 2017,30,179,4,fintech,11,18530000,N/A,N/A,0.1,7579,1,388,0.182,34753,-0.23,-0.13,-2.14,-2.14,0.198,10.5,0.004
universa,27 Oct 2017,27 Nov 2017,31,188,2,saas,25,28800000,99000000,0.29,0.01,14255,8,1124,4.161,763454,-0.49,-0.13,-1.99,-1.99,-0.294,-6.5,-0.009
odem,17 Feb 2018,18 Mar 2018,29,77,6,social services,12,4000000,N/A,N/A,N/A,N/A,1,3098,0,18548,0.47,3.75,7.5,7.5,0.469,-0.5,0.023
taas,27 Mar 2017,28 Apr 2017,32,401,7,fintech,4,7500000,N/A,0.74,1,N/A,4,141,-0.18,1571,0.08,0.22,3.54,3.54,0.054,-7,0.006
cobinhood,13 Sep 2017,22 Oct 2017,39,224,12,blockchain,5,13200000,N/A,N/A,0.07,12266,7,45237,-0.262,41446,0.22,0.25,3.91,3.91,0.157,-9,0.012
alphacat,12 Jan 2018,12 Jan 2018,0,142,12,fintech,N/A,N/A,N/A,N/A,N/A,8663,0,N/A,0,474748,-0.19,-0.07,-1.14,-1.14,-0.091,2,0.001
coss,8 Aug 2017,6 Sep 2017,29,270,7,saas,24,3200000,N/A,N/A,0.56,N/A,2,197,-0.919,116130,0.39,0.12,1.9,1.9,0.093,3,0.017
melon,15 Feb 2017,16 Feb 2017,1,472,6,other,2,N/A,N/A,N/A,N/A,42,1,N/A,0,57957,0.21,0.07,1.13,1.13,-0.098,-3.5,0.006
datum,29 Oct 2017,29 Nov 2017,31,186,6,saas,19,7200000,N/A,N/A,0.02,7966,4,36502,0.397,160521,0.6,0.18,2.92,2.92,-0.116,-5,0.006
viberate,5 Sep 2017,5 Sep 2017,0,271,5,entertainment,34,10714285,N/A,1,0.1,5606,7,32874,1.75,1490480,-0.19,-0.08,-1.24,-1.24,-0.157,-6.5,0.005
medicalchain,1 Feb 2018,1 Feb 2018,0,124,4,insurance services,10,23991953,24000000,1,0.2,26990,3,15703,0.588,122744,-0.12,-0.25,-4.03,-3.96,-0.068,0.383,-0.005
refereum,12 Feb 2018,12 Mar 2018,28,83,1,saas,14,40000000,N/A,N/A,0.01,99846,3,54068,1.043,1161020,-0.26,-0.04,-0.56,-0.56,0.032,-4.5,-0.004
