coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,beta_top10
substratum,14 Aug 2017,14 Sep 2017,31.0,262.0,1,blockchain,6,13800000.0,N/A,N/A,0.07,62,0,1159,0.4,N/A,-0.333,41819,0.29,0.28,4.47,4.54,-0.246,-4.216
theta-token,07 Jan 2018,07 Jan 2018,0.0,147.0,12,telecommunications,N/A,20000000.0,N/A,N/A,0.15,13256,0,N/A,0.6,N/A,0.222,10023000,0.05,0.06,0.99,1.07,-0.116,7.364
dragonchain,2 Oct 2017,2 Nov 2017,31.0,213.0,1,saas,8,13700000.0,16689535.8,0.82,0.07,N/A,0,73929,0.3,N/A,2.853,1142060,0.37,0.26,4.08,4.14,0.111,-3.545
kin,12 Sep 2017,26 Sep 2017,14.0,250.0,1,saas,7,98000000.0,N/A,N/A,0.0,N/A,0,24638,0.58,N/A,0.0,372049,-0.08,-0.01,-0.17,-0.07,-0.144,-2.341
electroneum,14 Sep 2017,20 Oct 2017,36.0,226.0,4,blockchain,15,40000000.0,40000000.0,1.0,0.01,49435,0,124009,0.44,N/A,6.736,2464330,-0.13,0.08,1.26,1.31,0.093,-3.148
storm,07 Nov 2017,07 Dec 2017,30.0,178.0,1,fintech,8,32000000.0,N/A,N/A,0.0113,5,0,26733,N/A,N/A,0.43,330757,0.68,0.15,2.39,2.45,-0.238,-2.193
bnktothefuture,16 Feb 2018,16 Mar 2018,28.0,79.0,12,fintech,10,33000000.0,N/A,N/A,0.1,N/A,0,N/A,0.58,N/A,-0.22,40890,0.31,0.2,3.11,3.21,0.017,0.568
holo,29 Mar 2018,28 Apr 2018,30.0,36.0,7,telecommunications,8,15000000.0,5000.0,1.0,0.0,N/A,0,4838,N/A,N/A,0.0,5764530,0.26,2.05,4.1,4.17,0.632,1.511
dropil,7 Feb 2018,7 Mar 2018,28.0,88.0,1,fintech,6,60000000.0,31679999.999999996,1.0,0.00317,726,0,6725,N/A,N/A,0.985,78904,-0.05,0.06,0.99,1.1,0.037,1.091
gifto,14 Dec 2017,14 Dec 2017,0.0,171.0,3,entertainment,13,30000000.0,30000000.0,1.0,0.1,55887,0,16569,0.48,N/A,2.489,44959800,0.32,0.12,1.93,1.98,-0.068,-4.466
iexec-rlc,17 Apr 2017,10 May 2017,23.0,389.0,12,other,8,12000000.0,N/A,N/A,0.178,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
power-ledger,8 Sep 2017,6 Oct 2017,28.0,240.0,9,energy,17,13232290.0,N/A,N/A,0.09,16590,0,917,0.4,N/A,-0.381,1017460,0.51,0.32,5.09,5.14,0.057,-2.045
salt,01 Aug 2017,15 Aug 2017,14.0,292.0,12,other,N/A,N/A,N/A,N/A,N/A,791,0,N/A,N/A,N/A,0.0,4174650,-0.17,0.0,0.08,0.16,-0.081,-3.602
deepbrain-chain,15 Dec 2017,15 Dec 2017,0.0,170.0,12,other,N/A,N/A,N/A,N/A,N/A,12825,0,N/A,N/A,N/A,0.0,18387700,0.29,0.09,1.36,1.42,-0.284,1.057
monaco,18 May 2017,18 Jun 2017,31.0,350.0,6,fintech,4,26700000.0,N/A,0.1,2.88,7401,0,64606,0.78,N/A,-0.142,1549870,-0.1,0.2,3.1,3.14,0.047,-1.75
storj,19 May 2017,25 May 2017,6.0,374.0,1,saas,15,30000000.0,N/A,1.0,0.5,N/A,0,83040,N/A,N/A,0.097,211542,0.08,0.11,1.71,1.76,-0.012,-0.42
civic,21 Jun 2017,22 Jun 2017,1.0,346.0,1,saas,2,33000000.0,33000000.0,1.0,0.1,8910,0,86563,N/A,N/A,0.767,9750800,0.18,0.14,2.26,2.33,-0.244,-1.761
decentraland,8 Aug 2017,8 Aug 2017,0.0,299.0,10,entertainment,13,24000000.0,600000.0,1.0,0.02,N/A,0,3,0.7,N/A,0.237,688849,-0.21,-0.01,-0.19,-0.12,-0.12,-1.466
quantstamp,17 Nov 2017,16 Dec 2017,29.0,169.0,1,fintech,10,30000000.0,30000000.0,1.0,0.07,24147,0,N/A,0.56,N/A,0.304,28481900,0.18,0.23,3.59,3.64,-0.322,-1.443
neblio,6 Aug 2017,20 Aug 2017,14.0,287.0,1,fintech,2,14834923.0,N/A,0.07,0.2,N/A,0,N/A,0.44,N/A,2.146,257746,0.2,0.24,3.77,3.83,-0.109,0.523
nexo,17 Mar 2018,15 Apr 2018,29.0,49.0,6,fintech,18,52500000.0,52500000.0,1.0,0.1,64045,0,N/A,0.68,N/A,0.85,3226150,0.04,0.34,0.68,0.76,-0.704,0.716
request-network,13 Oct 2017,17 Oct 2017,4.0,229.0,5,fintech,7,32895000.0,N/A,N/A,0.06,13882,0,765,0.36,N/A,0.013,5914220,0.13,0.27,4.23,4.31,-0.187,-2.239
tenx,24 Jun 2017,24 Jun 2017,0.0,344.0,7,fintech,10,80000000.0,N/A,N/A,0.87,116,0,1718,N/A,N/A,53.943,303595,0.05,0.16,2.47,2.51,-0.135,-0.193
singularitynet,19 Dec 2017,19 Dec 2017,0.0,166.0,6,saas,9,36000000.0,N/A,N/A,0.1,15621,0,16561,N/A,N/A,14.2,17465100,0.09,0.0,0.08,0.12,-0.129,-9.227
iconomi,25 Aug 2016,29 Sep 2016,35.0,612.0,5,saas,26,10000000.0,N/A,0.85,0.11,N/A,0,918,N/A,N/A,1.433,14652,0.13,0.1,1.6,1.65,-0.096,-0.307
dent,12 Jul 2017,26 Jul 2017,14.0,312.0,3,telecommunications,8,43000000.0,N/A,0.14,0.0,8123,0,35843,N/A,N/A,0.0,71565,0.16,0.1,1.65,1.69,-0.168,-3.159
bottos,31 Dec 2017,30 Jan 2018,30.0,124.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,0.42,N/A,2.296,18592600,-0.1,-0.12,-1.97,-1.88,-0.16,-2.932
time-new-bank,18 Nov 2017,23 Nov 2017,5.0,192.0,7,saas,10,8000000.0,N/A,N/A,0.02,26383,0,14820,N/A,N/A,0.761,10625600,0.34,0.2,3.17,3.22,-0.147,-0.818
cindicator,12 Sep 2017,12 Oct 2017,30.0,234.0,2,blockchain,12,15000000.0,15000000.0,1.0,0.01,7954,0,38894,0.68,N/A,1.258,971989,-0.44,0.06,0.89,0.98,-0.143,-1.943
arcblock,3 Feb 2018,3 Feb 2018,0.0,120.0,1,blockchain,4,11000000.0,N/A,N/A,0.5,38378,0,32764,0.72,N/A,1.54,94865600,-0.38,0.07,1.09,1.23,-0.066,-1.091
revain,21 Aug 2017,4 Sep 2017,14.0,272.0,2,saas,11,12513346.0,400.0,1.0,0.05,2358,0,6412,0.46,N/A,0.558,107140,0.26,0.38,6.0,6.08,0.09,0.045
lympo,17 Feb 2018,28 Feb 2018,11.0,95.0,5,entertainment,11,8366627.0,N/A,N/A,0.0217,13172,0,6438,N/A,N/A,-0.258,176692,0.26,0.21,3.41,3.49,-0.087,4.068
aragon,17 May 2017,17 May 2017,0.0,382.0,5,saas,2,25000000.0,N/A,N/A,0.74,N/A,0,6791,N/A,N/A,1.054,2745280,0.28,0.09,1.43,1.51,0.011,0.466
storiqa,28 Nov 2017,29 Jan 2018,62.0,125.0,3,saas,11,25000000.0,25000000.0,1.0,0.0,34291,0,12374,0.2,N/A,0.0,271889,-0.09,0.11,1.8,1.91,-0.044,10.989
particl,16 Mar 2017,12 Apr 2017,27.0,417.0,12,other,N/A,750000.0,N/A,N/A,1.0,N/A,0,N/A,N/A,N/A,5.95,983921,-0.06,0.08,1.26,1.36,-0.211,-1.409
enjin-coin,3 Oct 2017,31 Oct 2017,28.0,215.0,7,entertainment,8,23000000.0,N/A,N/A,0.03,N/A,0,N/A,N/A,N/A,-0.332,742008,0.02,0.28,4.4,4.47,-0.144,0.205
poa-network,17 Nov 2017,17 Nov 2017,0.0,198.0,1,saas,19,12500000.0,12500000.0,1.0,0.0724,10900,0,305,N/A,N/A,7.763,79376200,-0.34,0.06,0.99,1.08,-0.35,0.557
gnosis,24 Apr 2017,24 Apr 2017,0.0,405.0,5,saas,10,12500000.0,N/A,1.0,29.85,N/A,0,68106,N/A,N/A,-1.0,22984,-0.01,-0.02,-0.32,-0.29,0.179,15.875
bluzelle,18 Jan 2018,2 Feb 2018,15.0,121.0,7,saas,10,19500000.0,19500000.0,1.0,0.12,23268,0,32480,0.96,N/A,4.648,41214300,0.11,-0.0,-0.02,0.07,-0.652,-4.693
docademic,29 Jan 2018,15 Apr 2018,76.0,49.0,10,insurance services,13,1100000.0,N/A,N/A,0.017,7036,0,11481,0.26,N/A,0.388,716822,0.42,3.36,6.72,6.74,3.583,6.463
credits,15 Feb 2018,28 Feb 2018,13.0,95.0,7,saas,9,20000000.0,20000000.0,1.0,0.17,27429,0,18681,0.88,N/A,1.4,3014620,0.28,0.17,2.64,2.78,0.027,-3.364
smartmesh,29 Nov 2017,28 Dec 2017,29.0,157.0,7,saas,9,15000000.0,N/A,N/A,0.0167,21638,0,3735,N/A,N/A,0.868,1131310,0.39,0.15,2.32,2.41,0.05,1.322
sophiatx,7 Dec 2017,17 Dec 2017,10.0,168.0,6,saas,21,7300000.0,N/A,N/A,0.0716,5509,0,15637,0.72,N/A,5.361,2148170,0.35,0.08,1.19,1.31,-0.123,-1.0
sonm,15 Jun 2017,19 Jun 2017,4.0,349.0,2,saas,13,42000000.0,N/A,N/A,0.59,7965,0,274,N/A,N/A,-0.116,86186,-0.56,-0.1,-1.66,-1.54,-0.08,-3.0
ignis,5 Aug 2017,14 Oct 2017,70.0,232.0,5,other,3,21600000.0,60562000.0,0.3566592913047786,1.05,N/A,0,27024,0.52,N/A,1.2,18762,0.26,0.07,1.16,1.19,-1.219,-3.388
boscoin,09 May 2017,10 May 2017,1.0,389.0,12,blockchain,17,17920000.0,N/A,N/A,0.044,N/A,0,N/A,N/A,N/A,18.93,27934,0.19,0.19,3.05,3.15,-0.05,-4.719
metal,9 Jun 2017,9 Jun 2017,0.0,359.0,1,blockchain,7,N/A,N/A,1.0,0.18,201,0,32757,N/A,N/A,8.278,2843520,0.35,0.3,4.71,4.82,-0.237,0.033
thekey,15 Jan 2018,15 Jan 2018,0.0,139.0,3,other,14,22000000.0,22000000.0,1.0,0.0352,74243,0,29251,0.7,N/A,-0.186,9008350,0.0,-0.07,-1.09,-0.88,-0.278,-3.165
ambrosus,22 Sep 2017,22 Oct 2017,30.0,226.0,6,insurance services,20,32507330.0,97800000.0,0.33,0.29,4222,6,16868,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.193
blockv,19 Oct 2017,25 Oct 2017,6.0,221.0,1,saas,18,21500000.0,40000000.0,0.54,0.42,3716,0,6389,0.6,N/A,-0.948,492028,0.34,0.23,3.6,3.7,-0.018,-3.372
genesis-vision,15 Oct 2017,15 Nov 2017,31.0,200.0,2,fintech,10,2836724.0,33000000.0,0.09,1.0,8047,0,19029,0.5,N/A,1.68,683667,0.39,0.27,4.32,4.42,-0.038,-3.05
origintrail,15 Jan 2018,17 Jan 2018,2.0,137.0,5,saas,11,22500000.0,22000000.0,1.0,0.1,10088,0,541,0.42,N/A,1.364,3901170,0.19,0.06,0.93,1.06,-0.181,-3.14
crypterium,31 Oct 2017,14 Jan 2018,75.0,140.0,5,fintech,15,51656963.0,21750.0,1.0,1.5,34071,0,16313,0.82,N/A,0.54,183715,-0.38,-0.05,-0.75,-0.75,-0.295,-11.0
jibrel-network,27 Nov 2017,1 Jan 2018,35.0,153.0,6,blockchain,9,50000000.0,N/A,N/A,0.25,2174,0,6394,0.68,N/A,0.689,10089800,0.06,-0.1,-1.64,-1.64,-0.511,-4.5
cube,16 Feb 2018,15 Mar 2018,27.0,80.0,4,saas,12,N/A,N/A,N/A,N/A,1637,0,5956,0.26,N/A,0.0,6757530,-0.13,0.0,0.04,0.04,-0.125,-3.5
apex,01 Jan 2018,28 Jan 2018,27.0,126.0,12,other,N/A,25000000.0,N/A,N/A,0.16,15931,0,N/A,0.4,N/A,0.055,9262900,0.4,3.21,6.42,6.42,-0.447,-7.5
crypto20,16 Oct 2017,30 Nov 2017,45.0,187.0,1,fintech,6,37698373.0,75000000.0,0.5,1.1,N/A,6,9575,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.67
pillar,15 Jul 2017,17 Jul 2017,2.0,321.0,4,saas,30,20000000.0,N/A,N/A,0.1,755,0,12581,N/A,N/A,-0.256,101274,0.24,0.07,1.03,1.03,-0.152,-5.0
tokenpay,7 Dec 2017,17 Jan 2018,41.0,137.0,7,blockchain,10,24243811.0,N/A,N/A,5.46,12,0,N/A,N/A,N/A,-0.626,1515520,0.43,3.43,6.86,6.86,-0.363,-8.5
ethlend,25 Nov 2017,30 Nov 2017,5.0,185.0,5,blockchain,25,16200000.0,N/A,N/A,0.02,N/A,0,45949,0.5,N/A,-0.069,728686,0.43,0.26,4.09,4.09,-0.297,-7.5
bread,16 Dec 2017,24 Dec 2017,8.0,161.0,6,blockchain,6,32000000.0,20000000.0,1.0,0.79,N/A,0,53939,0.6,N/A,1.392,56455400,0.23,-0.03,-0.47,-0.47,-0.063,-5.5
telcoin,11 Dec 2017,30 Dec 2017,19.0,155.0,8,blockchain,19,25000000.0,25000000.0,1.0,0.001,20999,0,25009,0.4,N/A,5.031,842193,0.04,-0.05,-0.81,-0.81,-0.287,-8.0
zebi,05 Mar 2018,31 Mar 2018,26.0,64.0,7,fintech,17,10000000.0,N/A,N/A,0.0333,15242,0,16269,0.46,N/A,2.483,5412550,0.14,1.11,2.22,2.22,-0.314,-7.5
red-pulse,8 Oct 2017,8 Oct 2017,0.0,238.0,3,fintech,11,15000000.0,N/A,N/A,0.03,6387,0,32651,N/A,N/A,0.849,5395350,-0.05,0.23,3.57,3.57,-0.243,-8.5
airswap,10 Oct 2017,10 Nov 2017,31.0,205.0,12,other,14,N/A,N/A,N/A,N/A,8009,0,N/A,N/A,N/A,0.0,3654270,-0.15,0.06,0.95,0.95,-0.067,-7.0
adex,30 Jun 2017,30 Jun 2017,0.0,338.0,2,fintech,16,10000000.0,N/A,1.0,0.24,4559,0,55918,N/A,N/A,3.5,6138100,-0.44,-3.48,-6.96,-6.96,-0.05,-6.0
medibloc,27 Nov 2017,15 Dec 2017,18.0,170.0,7,saas,17,30000000.0,N/A,N/A,0.009,5566,0,10627,0.6,N/A,1.209,645796,0.53,0.13,1.99,1.99,-0.383,-5.5
paypie,15 Oct 2017,16 Oct 2017,1.0,230.0,1,saas,11,26000000.0,N/A,N/A,0.37,4231,0,7700,N/A,N/A,-0.02,256062,0.06,0.15,2.35,2.35,0.009,-25.0
babb,6 Feb 2018,6 Mar 2018,28.0,89.0,4,fintech,13,20000000.0,N/A,N/A,0.0,14279,0,10136,0.66,N/A,0.0,286765,-0.01,0.23,3.64,3.64,-0.369,-3.5
eidoo,4 Oct 2017,16 Oct 2017,12.0,230.0,6,saas,5,28000000.0,N/A,N/A,2.3,5410,0,25470,N/A,N/A,0.035,39128,-0.02,0.15,2.37,2.37,-0.163,-7.5
edgeless,28 Feb 2017,21 Mar 2017,21.0,439.0,12,saas,0,2000000.0,N/A,N/A,0.04,1253,0,39740,N/A,N/A,-0.23,18692,0.26,0.18,2.87,2.87,0.031,-5.0
banca,26 Feb 2018,26 Feb 2018,0.0,97.0,7,other,17,20000000.0,20000000.0,1.0,0.002,9028,0,7004,0.42,N/A,-0.655,856596,0.06,0.27,4.21,4.21,-0.722,-3.0
singulardtv,2 Oct 2016,2 Oct 2016,0.0,609.0,1,saas,0,7500000.0,N/A,N/A,0.02,288,0,36487,N/A,N/A,-0.067,165271,-0.14,-0.11,-1.72,-1.72,-0.098,-7.0
district0x,18 Jul 2017,1 Aug 2017,14.0,306.0,1,saas,8,9000000.0,N/A,N/A,0.02,N/A,0,58666,N/A,N/A,-0.22,30593,0.46,0.16,2.56,2.56,-0.163,-8.0
wings,18 Nov 2016,6 Jan 2017,49.0,513.0,6,saas,14,1706156.0,N/A,0.75,0.03,N/A,0,637,N/A,N/A,-0.287,1601,0.34,0.21,3.4,3.4,-0.019,-6.0
wepower,1 Feb 2018,2 Feb 2018,1.0,121.0,7,saas,20,40000000.0,40000000.0,1.0,0.13,51861,0,35743,0.84,N/A,0.35,782690,-0.0,-0.04,-0.7,-0.7,-0.038,-1.0
wabi,28 Nov 2017,1 Dec 2017,3.0,184.0,2,ecommerce,10,11500000.0,11500000.0,1.0,0.25,8429,0,34783,0.42,N/A,4.56,26744800,0.21,0.1,1.56,1.56,-0.176,-8.0
minexcoin,15 May 2017,13 Jun 2017,29.0,355.0,12,fintech,N/A,N/A,N/A,N/A,N/A,2984,0,N/A,N/A,N/A,0.0,17365,0.51,0.32,5.01,5.01,0.076,-1.0
ins-ecosystem,04 Dec 2017,25 Dec 2017,21.0,160.0,2,other,11,45253000.0,N/A,N/A,N/A,17599,0,N/A,0.86,N/A,0.0,373749,-0.06,-0.1,-1.55,-1.55,-0.259,-4.5
odyssey,21 Jan 2018,22 Jan 2018,1.0,132.0,7,blockchain,21,50000000.0,N/A,N/A,0.0119,14190,0,840,0.54,N/A,1.093,12284200,0.09,0.01,0.2,0.2,-0.161,-17.0
appcoins,13 Dec 2017,20 Dec 2017,7.0,165.0,7,saas,18,15300000.0,15300000.0,1.0,0.1,11810,0,27212,0.58,N/A,34.3,124119000,-0.07,-0.12,-1.97,-1.97,-0.107,-1.5
tokenomy,15 Jan 2018,5 Feb 2018,21.0,118.0,12,blockchain,17,22869000.0,N/A,N/A,0.18,2263,0,43,0.64,N/A,1.3,2372070,-0.57,-0.12,-1.94,-1.94,-0.022,-10.0
tokencard,2 May 2017,2 May 2017,0.0,397.0,4,fintech,8,12782000.0,N/A,1.0,0.54,3,0,18781,N/A,N/A,0.926,416619,0.06,0.01,0.19,0.19,-0.104,-9.0
utrust,2 Nov 2017,20 Nov 2017,18.0,195.0,6,saas,26,20000000.0,21000000.0,0.95,0.07,4894,0,28163,0.92,N/A,1.993,3956620,0.34,0.08,1.25,1.25,-0.545,-5.5
tierion,27 Jul 2017,28 Jul 2017,1.0,310.0,1,saas,11,25000000.0,N/A,N/A,0.07,N/A,0,N/A,0.94,N/A,2.332,1142210,-0.11,-0.15,-2.38,-2.38,-0.242,-4.0
havven,28 Feb 2018,7 Mar 2018,7.0,88.0,9,blockchain,27,30000000.0,30000000.0,1.0,0.5,N/A,0,10789,0.26,N/A,-0.039,1203240,-0.09,0.12,1.92,1.92,-0.121,-9.0
wagerr,1 Jun 2017,25 Jun 2017,24.0,343.0,10,saas,6,10000000.0,N/A,N/A,0.06,N/A,0,17053,N/A,N/A,0.141,120805,0.14,0.12,1.87,1.87,-0.231,-1.0
legolas-exchange,1 Feb 2018,15 Feb 2018,14.0,108.0,5,blockchain,9,18856000.0,N/A,N/A,N/A,N/A,0,11645,N/A,N/A,0.0,682912,-0.21,-0.02,-0.3,-0.3,-0.226,-3.0
datx,11 Feb 2018,11 Mar 2018,28.0,84.0,7,other,9,N/A,N/A,N/A,0.0353,26236,0,47273,0.46,N/A,-0.22,612568,-0.28,0.09,1.45,1.45,0.301,-3.0
decentbet,21 Sep 2017,19 Oct 2017,28.0,229.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,34,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.616
naga,1 Dec 2017,15 Dec 2017,14.0,170.0,12,fintech,28,50020960.0,400000000.0,0.13,1.0,N/A,0,25,N/A,N/A,0.55,3010670,0.22,0.03,0.47,0.47,-0.049,-3.0
modum,1 Sep 2017,22 Oct 2017,51.0,224.0,6,saas,17,1050000.0,N/A,N/A,1.0,2324,0,14281,0.4,N/A,-0.373,119265,0.35,0.25,3.9,3.9,-0.157,-6.0
zeepin,17 Jan 2018,17 Jan 2018,0.0,137.0,12,other,N/A,62600000.0,N/A,N/A,0.17,20549,0,N/A,0.86,N/A,0.155,14383200,-0.01,-0.1,-1.55,-1.55,-0.225,-10.5
datawallet,5 Feb 2018,7 Mar 2018,30.0,88.0,1,other,13,40000000.0,30000000.0,1.0,0.18,6270,0,5647,0.42,N/A,-0.226,122971,-0.14,-0.14,-2.24,-2.24,0.321,-9.5
bitrent,1 Dec 2017,31 Mar 2018,120.0,64.0,4,saas,19,14627210.0,N/A,N/A,0.06,12901,0,6432,0.74,N/A,-0.336,156399,0.27,0.05,0.75,0.75,-0.032,-1.0
presearch,25 Jul 2017,31 Oct 2017,98.0,215.0,1,saas,10,16000000.0,N/A,N/A,0.25,N/A,0,1169,N/A,N/A,-0.151,98499,0.26,0.13,2.08,2.08,0.153,-13.5
qlink,27 Dec 2017,27 Jan 2018,31.0,127.0,7,transportation,14,19000000.0,N/A,N/A,0.1,9445,0,334,0.64,N/A,1.901,9911000,0.18,0.03,0.42,0.42,-0.406,-6.5
mobilego,25 Apr 2017,25 May 2017,30.0,374.0,1,saas,6,53000000.0,N/A,N/A,0.76,2558,0,316,N/A,N/A,2.539,187166,-0.05,-0.01,-0.2,-0.2,-0.143,-4.5
