coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
holo,29 Mar 2018,28 Apr 2018,30.0,26.0,7,telecommunications,8,20388500.0,20400000.0,1.0,0.0,7916,0,4361,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
storm,07 Nov 2017,07 Dec 2017,30.0,168.0,1,fintech,8,30716420.0,27600000.0,1.0,0.01,10034,0,26410,0.62,330757,0.68,0.15,2.39,2.43,-0.232,1.141,0.019,-0.026
kin,12 Sep 2017,26 Sep 2017,14.0,240.0,1,saas,7,48594816.0,75000000.0,0.65,0.0,N/A,0,24420,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
electroneum,14 Sep 2017,20 Oct 2017,36.0,216.0,4,blockchain,15,39934610.0,40000000.0,1.0,0.01,49049,0,122479,6.74,2464330,-0.13,0.08,1.26,1.29,0.104,-1.239,0.001,-0.007
gifto,14 Dec 2017,14 Dec 2017,0.0,161.0,3,entertainment,13,10000000.0,10000000.0,1.0,0.1,57317,0,16304,2.49,44959800,0.32,0.12,1.93,1.96,-0.055,-1.676,0.008,-0.03
power ledger,8 Sep 2017,6 Oct 2017,28.0,230.0,9,energy,17,13232290.0,N/A,N/A,0.09,16703,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
revain,21 Aug 2017,4 Sep 2017,14.0,262.0,2,saas,11,12513346.0,400.0,1.0,0.05,2368,0,6378,0.56,107140,0.26,0.38,6.0,6.05,0.088,1.831,0.017,-0.015
bnktothefuture,16 Feb 2018,16 Mar 2018,28.0,69.0,12,fintech,10,33000000.0,N/A,N/A,0.1,N/A,0,N/A,-0.22,40890,0.31,0.2,3.11,3.17,-0.038,1.042,0.022,-0.009
dropil,7 Feb 2018,7 Mar 2018,28.0,78.0,1,fintech,6,60000000.0,31679999.999999996,1.0,0.0,702,0,6661,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
monaco,18 May 2017,18 Jun 2017,31.0,340.0,6,fintech,4,26700000.0,N/A,0.1,2.88,7336,0,64428,-0.14,1549870,-0.1,0.2,3.1,3.12,0.051,1.746,0.015,-0.018
quantstamp,17 Nov 2017,16 Dec 2017,29.0,159.0,1,fintech,10,31320000.0,31300000.0,1.0,0.07,24343,0,N/A,0.3,28481900,0.18,0.23,3.59,3.62,-0.315,4.718,0.014,0.002
request network,13 Oct 2017,17 Oct 2017,4.0,219.0,5,fintech,6,32895000.0,N/A,N/A,0.06,13985,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
neblio,6 Aug 2017,20 Aug 2017,14.0,277.0,1,fintech,2,14834923.0,N/A,0.07,0.2,N/A,0,N/A,2.15,257746,0.2,0.24,3.77,3.81,-0.113,2.549,0.023,-0.024
tenx,24 Jun 2017,24 Jun 2017,0.0,334.0,7,fintech,10,80000000.0,N/A,N/A,0.87,115,0,1718,53.94,303595,0.05,0.16,2.47,2.49,-0.134,2.845,0.008,-0.015
decentraland,8 Aug 2017,8 Aug 2017,0.0,289.0,10,entertainment,13,24137000.0,20000000.0,1.0,0.02,N/A,0,3,0.24,688849,-0.21,-0.01,-0.19,-0.15,-0.121,-0.225,0.016,-0.017
civic,21 Jun 2017,22 Jun 2017,1.0,336.0,1,saas,2,33000000.0,33000000.0,1.0,0.1,8870,0,86001,0.77,9750800,0.18,0.14,2.26,2.3,-0.24,0.169,0.009,-0.015
storj,19 May 2017,25 May 2017,6.0,364.0,1,saas,15,30000000.0,30000000.0,1.0,0.5,N/A,0,82687,0.1,211542,0.08,0.11,1.71,1.74,-0.01,2.099,0.009,-0.017
aragon,17 May 2017,17 May 2017,0.0,372.0,5,saas,2,25000000.0,N/A,N/A,0.74,N/A,0,6705,1.05,2745280,0.28,0.09,1.43,1.48,0.006,1.056,0.007,-0.008
bottos,31 Dec 2017,30 Jan 2018,30.0,114.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,2.3,18592600,-0.1,-0.12,-1.97,-1.92,-0.133,4.099,0.002,0.003
iconomi,25 Aug 2016,29 Sep 2016,35.0,602.0,5,saas,26,10000000.0,N/A,0.85,0.11,N/A,0,911,1.43,14652,0.13,0.1,1.6,1.63,-0.094,3.775,0.01,-0.017
nexo,17 Mar 2018,15 Apr 2018,29.0,39.0,6,fintech,18,52500000.0,52500000.0,1.0,0.1,65080,0,N/A,0.85,3226150,0.04,0.34,0.68,0.73,-0.177,10.815,-0.001,0.004
particl,16 Mar 2017,12 Apr 2017,27.0,407.0,12,other,N/A,750000.0,N/A,N/A,1.0,N/A,0,N/A,5.95,983921,-0.06,0.08,1.26,1.32,-0.215,0.338,0.008,-0.02
enjin coin,3 Oct 2017,31 Oct 2017,28.0,205.0,7,entertainment,16,23000000.0,N/A,N/A,0.03,N/A,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
cindicator,12 Sep 2017,12 Oct 2017,30.0,224.0,2,blockchain,12,15000000.0,15000000.0,1.0,0.01,7980,0,38714,1.26,971989,-0.44,0.06,0.89,0.95,-0.138,1.215,0.015,-0.024
time new bank,18 Nov 2017,23 Nov 2017,5.0,182.0,7,saas,10,8000000.0,N/A,N/A,0.02,24968,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
dent,12 Jul 2017,26 Jul 2017,14.0,302.0,3,telecommunications,8,1923507.0,28800000.0,0.07,0.0,1442,0,35710,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
arcblock,3 Feb 2018,3 Feb 2018,0.0,110.0,1,blockchain,4,45000000.0,45000000.0,1.0,0.5,38825,0,31767,1.54,94865600,-0.38,0.07,1.09,1.18,-0.035,3.662,0.0,-0.01
gnosis,24 Apr 2017,24 Apr 2017,0.0,395.0,5,saas,10,12500000.0,N/A,1.0,29.85,N/A,0,67526,-1.0,22984,-0.01,-0.02,-0.32,-0.3,0.489,-5.815,0.004,-0.024
sonm,15 Jun 2017,19 Jun 2017,4.0,339.0,2,saas,13,42000000.0,N/A,N/A,0.59,8007,0,270,-0.12,86186,-0.56,-0.1,-1.66,-1.61,-0.072,2.892,0.005,-0.003
credits,15 Feb 2018,28 Feb 2018,13.0,85.0,7,saas,9,22570394.0,20000000.0,1.0,0.19,27248,0,17883,1.15,3014620,0.28,0.17,2.64,2.69,0.089,5.277,0.015,-0.002
sophiatx,7 Dec 2017,17 Dec 2017,10.0,158.0,6,saas,21,23470356.0,82300000.0,0.29,0.07,5540,0,15462,5.51,2148170,0.35,0.08,1.19,1.24,-0.11,5.123,0.005,-0.006
poa network,17 Nov 2017,17 Nov 2017,0.0,188.0,1,saas,19,12500000.0,12500000.0,1.0,N/A,11114,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ignis,5 Aug 2017,14 Oct 2017,70.0,222.0,5,other,3,15000000.0,21600000.0,0.69,1.05,N/A,0,26962,1.2,18762,0.26,0.07,1.16,1.17,-1.231,-1.369,0.008,-0.021
smartmesh,29 Nov 2017,28 Dec 2017,29.0,147.0,7,saas,9,15691200.0,16800000.0,0.93,0.02,21749,0,3687,0.56,1131310,0.39,0.15,2.32,2.36,0.059,9.554,0.014,-0.023
bluzelle,18 Jan 2018,2 Feb 2018,15.0,111.0,7,saas,10,19500000.0,19500000.0,1.0,0.12,23510,0,31941,4.65,41214300,0.11,-0.0,-0.02,0.04,-0.633,-0.662,0.005,-0.02
metal,9 Jun 2017,9 Jun 2017,0.0,349.0,1,blockchain,7,N/A,N/A,1.0,0.18,208,0,32631,8.28,2843520,0.35,0.3,4.71,4.75,-0.238,2.323,0.01,-0.02
medibloc,27 Nov 2017,15 Dec 2017,18.0,160.0,7,saas,17,21271251.0,30000000.0,0.71,0.01,5266,0,8103,0.99,645796,0.53,0.13,1.99,2.03,-0.379,5.123,0.011,-0.006
singularitynet,19 Dec 2017,19 Dec 2017,0.0,156.0,6,saas,9,32847814.0,32800000.0,1.0,0.1,15711,0,16358,14.2,17465100,0.09,0.0,0.08,0.11,-0.053,1.015,-0.0,-0.02
boscoin,09 May 2017,10 May 2017,1.0,379.0,12,blockchain,17,17920000.0,N/A,N/A,0.04,N/A,0,N/A,20.92,27934,0.19,0.19,3.05,3.09,-0.033,-0.923,0.002,-0.038
apex,01 Jan 2018,28 Jan 2018,27.0,116.0,12,blockchain,N/A,25000000.0,25000000.0,1.0,0.16,16212,0,N/A,0.06,9262900,0.4,3.21,6.42,6.51,-0.384,-1.292,0.002,-0.029
crypterium,31 Oct 2017,14 Jan 2018,75.0,130.0,5,fintech,15,51656963.0,47000000.0,1.0,0.75,34402,0,16195,2.08,183715,-0.38,-0.05,-0.75,-0.69,-0.258,-6.585,-0.002,0.002
jibrel network,27 Nov 2017,1 Jan 2018,35.0,143.0,6,blockchain,16,50000000.0,N/A,N/A,0.25,2181,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
thekey,15 Jan 2018,15 Jan 2018,0.0,129.0,3,other,14,22000000.0,22000000.0,1.0,0.04,75784,0,28621,-0.28,9008350,0.0,-0.07,-1.09,-1.0,-0.25,1.569,-0.003,-0.013
lympo,17 Feb 2018,28 Feb 2018,11.0,85.0,5,entertainment,11,16857899.0,12700000.0,1.0,0.02,12823,0,5903,-0.2,176692,0.26,0.21,3.41,3.47,-0.091,6.938,0.027,0.038
tokenpay,7 Dec 2017,17 Jan 2018,41.0,127.0,7,blockchain,10,28680329.0,40900000.0,0.7,5.46,17249,0,N/A,-0.63,1515520,0.43,3.43,6.86,6.89,-0.361,-3.4,0.039,-0.032
ambrosus,22 Sep 2017,22 Oct 2017,30.0,214.0,6,insurance services,20,32507330.0,97800000.0,0.33,0.29,4203,0,16610,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
zebi,05 Mar 2018,31 Mar 2018,26.0,54.0,7,fintech,17,8561100.0,8600000.0,1.0,0.03,15434,0,15893,2.87,5412550,0.14,1.11,2.22,2.28,0.063,-0.862,0.009,0.004
origintrail,15 Jan 2018,17 Jan 2018,2.0,127.0,5,saas,11,21513600.0,21500000.0,1.0,0.1,10014,0,541,1.36,3901170,0.19,0.06,0.93,0.98,-0.181,1.723,0.01,0.012
crypto20,16 Oct 2017,30 Nov 2017,45.0,175.0,1,fintech,6,37698373.0,75000000.0,0.5,1.1,N/A,0,9544,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
genesis vision,15 Oct 2017,15 Nov 2017,31.0,190.0,2,fintech,23,2836724.0,33000000.0,0.09,1.0,7975,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
cube,16 Feb 2018,15 Mar 2018,27.0,70.0,4,saas,12,N/A,N/A,N/A,N/A,1657,0,6048,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
red pulse,8 Oct 2017,8 Oct 2017,0.0,228.0,3,fintech,11,15000000.0,N/A,N/A,0.03,N/A,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ethlend,25 Nov 2017,30 Nov 2017,5.0,175.0,5,blockchain,25,17860000.0,17900000.0,1.0,0.02,19251,0,45314,-0.07,728686,0.43,0.26,4.09,4.12,-0.292,3.338,0.016,-0.03
pillar,15 Jul 2017,17 Jul 2017,2.0,311.0,4,saas,30,20000000.0,N/A,N/A,0.1,738,0,12514,-0.26,101274,0.24,0.07,1.03,1.09,-0.151,9.738,0.011,-0.028
telcoin,11 Dec 2017,30 Dec 2017,19.0,145.0,8,blockchain,19,25000000.0,25000000.0,1.0,0.0,20935,0,24637,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
adex,30 Jun 2017,30 Jun 2017,0.0,328.0,2,fintech,16,10000000.0,N/A,1.0,0.24,N/A,0,55712,3.63,14444600,-0.05,-0.39,-0.78,-0.69,-0.649,1.308,-0.014,-0.021
airswap,10 Oct 2017,10 Nov 2017,31.0,195.0,1,fintech,4,12600000.0,12600000.0,1.0,0.3,4434,0,N/A,0.34,3654270,-0.15,0.06,0.95,1.03,-0.066,-0.769,0.006,-0.023
blockv,19 Oct 2017,25 Oct 2017,6.0,211.0,1,saas,17,21599100.0,40000000.0,0.54,0.02,3726,0,6333,0.08,492028,0.34,0.23,3.6,3.64,0.004,2.446,0.01,-0.027
bread,16 Dec 2017,24 Dec 2017,8.0,151.0,6,blockchain,6,20021300.0,20000000.0,1.0,0.78,46832,0,54094,1.42,56455400,0.23,-0.03,-0.47,-0.41,-0.048,3.938,-0.004,-0.022
babb,6 Feb 2018,6 Mar 2018,28.0,79.0,4,fintech,13,20000000.0,20000000.0,1.0,0.0,13977,0,9013,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
paypie,15 Oct 2017,16 Oct 2017,1.0,220.0,1,saas,11,26000000.0,26000000.0,1.0,0.37,4220,0,7667,-0.02,256062,0.06,0.15,2.35,2.38,0.033,-0.123,0.013,-0.044
edgeless,28 Feb 2017,21 Mar 2017,21.0,429.0,12,saas,0,2000000.0,N/A,N/A,0.04,1235,0,39685,-0.23,18692,0.26,0.18,2.87,2.9,0.036,1.508,0.015,-0.015
banca,26 Feb 2018,26 Feb 2018,0.0,87.0,7,other,17,20000000.0,20000000.0,1.0,0.0,8718,0,6605,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
eidoo,4 Oct 2017,16 Oct 2017,12.0,220.0,6,saas,5,27676992.0,51700000.0,0.54,2.3,5446,0,25325,0.03,39128,-0.02,0.15,2.37,2.45,-0.153,1.092,0.004,-0.027
singulardtv,2 Oct 2016,2 Oct 2016,0.0,599.0,1,saas,0,7500000.0,N/A,N/A,0.01,131,0,35675,0.87,165271,-0.14,-0.11,-1.72,-1.63,-0.089,2.538,0.009,-0.024
decentbet,21 Sep 2017,19 Oct 2017,28.0,217.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
district0x,18 Jul 2017,1 Aug 2017,14.0,296.0,1,saas,8,9000000.0,N/A,N/A,0.02,N/A,0,58264,-0.22,30593,0.46,0.16,2.56,2.6,-0.157,1.369,0.016,-0.019
havven,28 Feb 2018,7 Mar 2018,7.0,78.0,9,blockchain,27,30000000.0,30000000.0,1.0,0.5,66861,0,10772,-0.04,1203240,-0.09,0.12,1.92,2.01,-0.037,-0.6,0.008,0.012
datx,11 Feb 2018,11 Mar 2018,28.0,74.0,7,other,9,44150000.0,44200000.0,1.0,0.04,26633,0,46866,-0.31,612568,-0.28,0.09,1.45,1.51,0.305,6.323,0.007,-0.0
wagerr,1 Jun 2017,25 Jun 2017,24.0,333.0,10,saas,6,10000000.0,N/A,N/A,0.06,N/A,0,17046,0.14,120805,0.14,0.12,1.87,1.93,-0.226,-8.231,0.01,-0.017
utrust,2 Nov 2017,20 Nov 2017,18.0,185.0,6,saas,26,21000000.0,21000000.0,1.0,0.07,13236,0,28058,1.99,3956620,0.34,0.08,1.25,1.29,-0.537,-0.369,0.002,-0.031
wepower,1 Feb 2018,2 Feb 2018,1.0,111.0,7,saas,20,40000000.0,40000000.0,1.0,0.13,52730,0,35617,0.35,782690,-0.0,-0.04,-0.7,-0.64,-0.029,1.015,-0.005,-0.03
wings,18 Nov 2016,6 Jan 2017,49.0,503.0,6,saas,14,1706156.0,N/A,0.75,0.03,N/A,0,637,-0.29,1601,0.34,0.21,3.4,3.44,-0.017,1.631,0.014,-0.021
tierion,27 Jul 2017,28 Jul 2017,1.0,300.0,1,saas,11,25000000.0,25000000.0,1.0,0.07,4580,0,N/A,2.33,1142210,-0.11,-0.15,-2.38,-2.31,-0.242,2.831,0.005,-0.025
appcoins,13 Dec 2017,20 Dec 2017,7.0,155.0,7,saas,18,15300000.0,15300000.0,1.0,0.1,11807,0,27273,34.3,124119000,-0.07,-0.12,-1.97,-1.92,-0.108,4.062,-0.009,-0.028
wabi,28 Nov 2017,1 Dec 2017,3.0,174.0,2,ecommerce,10,11500000.0,11500000.0,1.0,0.25,8466,0,34668,4.56,26744800,0.21,0.1,1.56,1.6,-0.164,1.123,0.004,-0.026
modum,1 Sep 2017,22 Oct 2017,51.0,214.0,6,saas,17,13350000.0,16400000.0,0.81,1.0,2261,0,14227,-0.37,119265,0.35,0.25,3.9,3.95,-0.155,7.4,0.014,-0.018
naga,1 Dec 2017,15 Dec 2017,14.0,160.0,12,fintech,28,45318896.0,30000000.0,1.0,1.0,13716,0,24,0.55,3010670,0.22,0.03,0.47,0.51,-0.052,7.769,-0.0,0.003
zeepin,17 Jan 2018,17 Jan 2018,0.0,127.0,12,blockchain,N/A,62580000.0,62600000.0,1.0,0.13,20868,0,N/A,0.51,14383200,-0.01,-0.1,-1.55,-1.48,-0.188,-3.262,-0.003,-0.028
datawallet,5 Feb 2018,7 Mar 2018,30.0,78.0,1,other,13,39436870.0,40000000.0,0.99,0.18,6358,0,5588,-0.23,122971,-0.14,-0.14,-2.24,-2.17,0.358,3.185,0.003,0.026
tokenomy,15 Jan 2018,5 Feb 2018,21.0,108.0,12,blockchain,17,22869000.0,N/A,N/A,0.18,2226,0,35,1.3,2372070,-0.57,-0.12,-1.94,-1.79,0.004,0.477,-0.005,-0.006
odyssey,21 Jan 2018,22 Jan 2018,1.0,122.0,7,blockchain,21,50000000.0,47600000.0,1.0,0.01,48571,0,774,1.49,12284200,0.09,0.01,0.2,0.24,-0.126,-5.769,0.007,-0.023
storiqa,28 Nov 2017,29 Jan 2018,62.0,115.0,3,saas,11,25000000.0,25000000.0,1.0,0.0,29990,0,10187,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tokencard,2 May 2017,2 May 2017,0.0,387.0,4,fintech,8,12782000.0,N/A,1.0,0.54,3,0,18729,0.93,416619,0.06,0.01,0.19,0.25,-0.1,-0.585,0.008,-0.028
decent,11 Sep 2016,6 Nov 2016,56.0,564.0,6,telecommunications,31,24137000.0,20000000.0,1.0,0.02,N/A,0,29894,4.5,121,0.2,0.17,2.72,2.8,0.155,2.0,0.026,-0.025
presearch,25 Jul 2017,31 Oct 2017,98.0,205.0,1,saas,10,16000000.0,N/A,N/A,0.25,8236,0,1135,-0.15,98499,0.26,0.13,2.08,2.15,0.169,0.333,0.014,-0.017
mobilego,25 Apr 2017,25 May 2017,30.0,364.0,1,saas,6,53000000.0,N/A,N/A,0.76,2555,0,319,2.54,187166,-0.05,-0.01,-0.2,-0.05,-0.141,8.0,0.001,-0.01
qlink,27 Dec 2017,27 Jan 2018,31.0,117.0,7,transportation,14,19270800.0,19300000.0,1.0,0.1,9527,0,299,1.9,9911000,0.18,0.03,0.42,0.57,-0.397,2.833,-0.001,-0.027
bitrent,1 Dec 2017,31 Mar 2018,120.0,54.0,4,saas,19,14627210.0,N/A,N/A,0.03,13057,0,6498,0.33,156399,0.27,2.14,4.28,4.47,0.036,14.167,0.004,-0.003
lunyr,29 Mar 2017,28 Apr 2017,30.0,391.0,1,saas,3,3400000.0,N/A,N/A,1.61,N/A,0,33447,0.59,309766,0.07,0.08,1.22,1.43,-0.21,7.227,0.016,-0.003
cobinhood,13 Sep 2017,22 Oct 2017,39.0,214.0,12,blockchain,5,13078406.0,25000000.0,0.52,0.07,12176,0,44514,-0.26,41446,0.22,0.25,3.91,4.07,0.157,1.364,0.013,-0.016
melon,15 Feb 2017,16 Feb 2017,1.0,462.0,6,other,2,N/A,N/A,N/A,N/A,44,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
taas,27 Mar 2017,28 Apr 2017,32.0,391.0,7,fintech,4,7500000.0,N/A,0.74,1.0,N/A,0,141,-0.18,1571,0.08,0.22,3.54,3.94,0.059,5.0,0.006,-0.01
docademic,29 Jan 2018,15 Apr 2018,76.0,39.0,10,insurance services,11,1100000.0,N/A,N/A,0.02,6535,0,5359,0.18,716822,1.82,3.14,6.29,6.35,5.227,-13.773,0.21,0.207
datum,29 Oct 2017,29 Nov 2017,31.0,176.0,6,saas,19,7581120.0,29400000.0,0.26,0.02,8083,0,36492,0.4,160521,0.6,0.18,2.92,3.12,-0.104,6.364,0.007,-0.016
