coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N/A,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
bytom,20 Jun 2017,20 Jul 2017,30.0,322.0,3,saas,5,22554000.0,N/A,N/A,0.05,N/A,1,17544,1.256,7543670,0.18,0.05,0.77,0.77,-0.085,-1.893,0.013
golem,13 Nov 2016,13 Nov 2016,0.0,571.0,5,saas,15,8000000.0,8000000.0,1.0,0.01,574,1,139029,73.38,27712500,-0.52,-4.13,-8.26,-8.26,0.675,2.489,-0.003
wanchain,01 Oct 2017,01 Nov 2017,31.0,218.0,3,other,42,35990000.0,35990000.0,1.0,0.34,47109,1,103907,11.382,189439000,0.18,0.06,0.96,1.14,-0.573,-5.681,0.004
augur,17 Aug 2015,1 Oct 2015,45.0,980.0,1,saas,13,5000000.0,6250000.0,0.8,0.6,N/A,1,433,1.45,728,0.09,0.14,2.18,2.42,0.026,-0.34,0.009
populous,24 Jul 2017,24 Jul 2017,0.0,318.0,4,fintech,5,10220400.0,1022040000.0,0.01,0.25,N/A,1,23012,12.32,2704070,0.2,0.11,1.69,1.78,-0.06,-5.255,0.012
status,20 Jun 2017,20 Jun 2017,0.0,352.0,6,saas,12,10000000.0,N/A,N/A,0.04,N/A,3,101652,0.404,13747700,-0.21,0.04,0.66,0.75,0.157,-0.936,0.008
aion,24 Nov 2017,24 Dec 2017,30.0,165.0,12,other,8,N/A,N/A,N/A,1.0,11364,0,49304,-0.374,20958,0.12,0.22,3.46,3.52,-0.133,-5.574,0.018
digixdao,29 Mar 2016,30 Mar 2016,1.0,799.0,7,saas,N/A,55000004.0,N/A,N/A,4.2,N/A,1,15232,6.543,1900,-0.05,-0.01,-0.14,-0.03,0.033,-1.064,0.006
nebulas,8 Dec 2017,16 Dec 2017,8.0,173.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12032,1,22920,1.17,995797,-0.17,0.17,2.64,2.6,-0.138,-2.247,0.011
loopring,1 Aug 2017,16 Aug 2017,15.0,295.0,3,saas,3,45000000.0,45000000.0,1.0,0.06,N/A,1,32630,0.747,200829,-0.05,0.12,1.93,2.02,-0.147,-0.106,0.015
komodo,15 Oct 2016,16 Nov 2016,32.0,568.0,12,saas,N/A,1983781.0,N/A,N/A,0.38,N/A,1,89247,-0.708,22487,0.02,0.12,1.88,1.9,-0.004,-3.468,0.021
ark,05 Nov 2016,09 Dec 2016,34.0,545.0,12,blockchain,N/A,22000000.0,N/A,N/A,0.1,44,1,N/A,-0.657,133793,0.32,0.26,4.19,4.29,-0.167,-2.277,0.017
elastos,01 Jan 2018,22 Jan 2018,21.0,136.0,3,other,58,94073200.0,94073200.0,1.0,18.09,17230,2,22460,1.259,33745700,0.19,-0.02,-0.34,-0.19,-0.443,1.766,0.004
cybermiles,21 Nov 2017,21 Dec 2017,30.0,168.0,1,saas,9,30881582.0,30881582.0,1.0,0.1,68872,5,241281,0.806,12580000,-0.09,0.01,0.22,0.31,-0.015,-4.34,0.006
bancor,12 Jun 2017,12 Jun 2017,0.0,360.0,12,saas,6,15300000.0,N/A,N/A,3.92,6665,10,822,4.097,16871,-0.16,-0.07,-1.04,-0.94,-0.004,-1.809,0.001
cryptonex,01 Sep 2017,30 Sep 2017,29.0,250.0,12,other,N/A,N/A,N/A,N/A,N/A,2298,0,N/A,0.0,79554,-0.03,0.12,1.88,1.98,-0.222,1.213,0.009
dentacoin,1 Oct 2017,1 Nov 2017,31.0,218.0,5,insurance services,19,1923507.0,27478671.0,0.07,0.0,1459,6,110,0.0,228296,0.04,0.06,0.94,1.01,-0.19,-0.617,0.024
kyber-network,15 Sep 2017,17 Sep 2017,2.0,263.0,7,other,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,16343900,-0.15,-0.08,-1.21,-0.99,-0.128,-2.596,0.004
veritaseum,25 Apr 2017,26 May 2017,31.0,377.0,1,blockchain,2,6480882.0,N/A,N/A,12.0,1819,1,23284,3.047,450758,0.22,0.13,2.02,2.02,-260.369,-0.298,190.453
fusion,1 Feb 2018,10 Feb 2018,9.0,117.0,7,fintech,20,42185216.0,42185216.0,1.0,2.06,10899,4,7835,0.592,1440790,-0.04,0.12,1.87,2.03,-0.207,-4.362,0.011
theta-token,07 Jan 2018,07 Jan 2018,0.0,151.0,12,blockchain,N/A,20000000.0,20000000.0,1.0,0.12,13415,N/A,N/A,0.527,10023000,0.05,0.06,0.99,1.11,-0.118,8.957,0.01
substratum,14 Aug 2017,14 Sep 2017,31.0,266.0,1,blockchain,6,13800000.0,44516129.0,0.31,0.07,12630,2,1158,-0.333,41819,0.29,0.28,4.47,4.57,-0.246,-5.128,0.017
electroneum,14 Sep 2017,20 Oct 2017,36.0,230.0,4,blockchain,15,39934610.0,39934610.0,1.0,0.01,49514,1,124347,6.736,2464330,-0.13,0.08,1.26,1.34,0.092,-1.638,0.002
dragonchain,2 Oct 2017,2 Nov 2017,31.0,217.0,1,saas,8,13700000.0,16707317.0,0.82,0.07,N/A,8,74322,2.853,1142060,0.37,0.26,4.08,4.17,0.107,-3.447,0.012
kin,12 Sep 2017,26 Sep 2017,14.0,254.0,1,saas,7,48594816.0,74761255.0,0.65,0.0,N/A,1,24704,0.0,372049,-0.08,-0.01,-0.17,-0.02,-0.144,-1.191,0.012
holo,29 Mar 2018,28 Apr 2018,30.0,40.0,7,telecommunications,8,20388500.0,20388500.0,1.0,0.0002,8034,4,5064,2.84,5764530,0.26,2.05,4.1,4.21,0.592,-4.915,0.018
storm,07 Nov 2017,07 Dec 2017,30.0,182.0,1,fintech,8,30716420.0,30716420.0,1.0,0.0113,9924,1,26837,0.43,330757,0.68,0.15,2.39,2.47,-0.239,-2.553,0.017
bnktothefuture,16 Feb 2018,16 Mar 2018,28.0,83.0,12,fintech,10,33000000.0,N/A,N/A,0.1,N/A,4,N/A,-0.22,40890,0.31,0.2,3.11,3.25,0.01,1.702,0.019
power-ledger,8 Sep 2017,6 Oct 2017,28.0,244.0,9,energy,17,13232290.0,N/A,N/A,0.09,16508,3,919,-0.381,1017460,0.51,0.32,5.09,5.16,0.055,-2.426,0.016
iexec-rlc,17 Apr 2017,10 May 2017,23.0,393.0,12,other,8,12000000.0,N/A,N/A,0.178,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gifto,14 Dec 2017,14 Dec 2017,0.0,175.0,3,entertainment,13,10000000.0,10000000.0,1.0,0.1,55527,4,16702,2.489,44959800,0.32,0.12,1.93,2.01,-0.073,-2.745,0.007
dropil,7 Feb 2018,7 Mar 2018,28.0,92.0,1,fintech,6,60000000.0,N/A,N/A,N/A,728,1,6751,0.0,78904,-0.05,0.06,0.99,1.15,0.036,2.234,0.005
deepbrain-chain,15 Dec 2017,15 Dec 2017,0.0,174.0,7,other,N/A,11755200.0,11755200.0,1.0,0.0158,12801,N/A,N/A,4.813,18387700,0.29,0.09,1.36,1.45,-0.286,-0.723,0.008
salt,01 Aug 2017,15 Aug 2017,14.0,296.0,12,fintech,N/A,48500000.0,48500000.0,1.0,0.89,799,N/A,N/A,3.876,4174650,-0.17,0.0,0.08,0.2,-0.083,-3.936,0.0
decentraland,8 Aug 2017,8 Aug 2017,0.0,303.0,10,entertainment,13,24137000.0,24137000.0,1.0,0.02,N/A,1,3,0.237,688849,-0.21,-0.01,-0.19,-0.08,-0.12,-0.511,0.015
monaco,18 May 2017,18 Jun 2017,31.0,354.0,6,fintech,4,26700000.0,267000000.0,0.1,2.88,7410,4,64713,-0.142,1549870,-0.1,0.2,3.1,3.15,0.047,-1.681,0.014
storj,19 May 2017,25 May 2017,6.0,378.0,1,saas,15,30000000.0,30000000.0,1.0,0.5,N/A,1,83137,0.097,211542,0.08,0.11,1.71,1.78,-0.015,-0.021,0.009
civic,21 Jun 2017,22 Jun 2017,1.0,350.0,1,saas,2,33000000.0,33000000.0,1.0,0.1,8901,6,86743,0.767,9750800,0.18,0.14,2.26,2.36,-0.244,-1.362,0.009
neblio,6 Aug 2017,20 Aug 2017,14.0,291.0,1,fintech,2,14834923.0,211927471.0,0.07,0.2,N/A,1,N/A,2.146,257746,0.2,0.24,3.77,3.86,-0.11,1.149,0.022
tenx,24 Jun 2017,24 Jun 2017,0.0,348.0,7,fintech,10,80000000.0,N/A,N/A,0.87,116,3,1720,53.943,303595,0.05,0.16,2.47,2.53,-0.136,-0.638,0.007
singularitynet,19 Dec 2017,19 Dec 2017,0.0,170.0,6,saas,9,32847814.0,32847814.0,1.0,0.1,15780,2,16938,14.2,17465100,0.09,0.0,0.08,0.14,-0.146,-11.17,0.003
quantstamp,17 Nov 2017,16 Dec 2017,29.0,173.0,1,fintech,10,31320000.0,31320000.0,1.0,0.07,24031,1,N/A,0.304,28481900,0.18,0.23,3.59,3.67,-0.326,-5.043,0.013
dent,12 Jul 2017,26 Jul 2017,14.0,316.0,3,telecommunications,8,1923507.0,27478671.0,0.07,0.0,1459,1,36088,0.0,71565,0.16,0.1,1.65,1.71,-0.163,-2.511,0.03
nexo,17 Mar 2018,15 Apr 2018,29.0,53.0,6,fintech,18,52500000.0,52500000.0,1.0,0.1,63543,1,N/A,0.85,3226150,0.04,0.34,0.68,0.8,-0.7,-3.362,0.001
request-network,13 Oct 2017,17 Oct 2017,4.0,233.0,5,fintech,7,33600000.0,33600000.0,1.0,0.06,13863,1,766,0.013,5914220,0.13,0.27,4.23,4.35,-0.19,-2.936,0.01
time-new-bank,18 Nov 2017,23 Nov 2017,5.0,196.0,7,saas,10,14360000.0,14360000.0,1.0,0.02,27102,0,14847,0.761,10625600,0.34,0.2,3.17,3.25,-0.149,-1.149,0.009
iconomi,25 Aug 2016,29 Sep 2016,35.0,616.0,5,saas,26,10000000.0,11764706.0,0.85,0.11,N/A,2,921,1.433,14652,0.13,0.1,1.6,1.67,-0.096,-0.66,0.01
arcblock,3 Feb 2018,3 Feb 2018,0.0,124.0,1,blockchain,4,45000000.0,45000000.0,1.0,0.5,38181,5,33320,1.54,94865600,-0.38,0.07,1.09,1.29,-0.076,-1.447,0.0
enjin-coin,3 Oct 2017,31 Oct 2017,28.0,219.0,7,entertainment,8,22959609.0,24956097.0,0.92,0.03,13106,1,N/A,-0.332,742008,0.02,0.28,4.4,4.5,-0.146,-0.511,0.014
lympo,17 Feb 2018,28 Feb 2018,11.0,99.0,5,entertainment,11,16857899.0,16857899.0,1.0,0.0217,13193,3,6668,-0.258,176692,0.26,0.21,3.41,3.53,-0.121,-0.043,0.027
cindicator,12 Sep 2017,12 Oct 2017,30.0,238.0,2,blockchain,12,15000000.0,15000000.0,1.0,0.01,7928,5,38945,1.258,971989,-0.44,0.06,0.89,1.02,-0.143,-2.319,0.014
revain,21 Aug 2017,4 Sep 2017,14.0,276.0,2,saas,11,12513346.0,12513346.0,1.0,0.05,2356,1,6414,0.558,107140,0.26,0.38,6.0,6.12,0.089,0.234,0.014
bottos,31 Dec 2017,30 Jan 2018,30.0,128.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,2.296,18592600,-0.1,-0.12,-1.97,-1.83,-0.167,-3.383,0.001
aragon,17 May 2017,17 May 2017,0.0,386.0,5,saas,2,25000000.0,N/A,N/A,0.74,N/A,1,6806,1.054,2745280,0.28,0.09,1.43,1.55,0.01,0.021,0.006
bluzelle,18 Jan 2018,2 Feb 2018,15.0,125.0,7,saas,10,19500000.0,19500000.0,1.0,0.12,23139,4,32661,4.648,41214300,0.11,-0.0,-0.02,0.12,-0.643,-5.106,0.005
gnosis,24 Apr 2017,24 Apr 2017,0.0,409.0,5,saas,10,12500000.0,12500000.0,1.0,29.85,N/A,2,68318,-1.0,22984,-0.01,-0.02,-0.32,-0.27,0.152,-25.915,0.005
poa-network,17 Nov 2017,17 Nov 2017,0.0,202.0,1,saas,19,12500000.0,12500000.0,1.0,0.07,10781,1,306,8.064,79376200,-0.34,0.06,0.99,1.12,-0.353,-0.191,-0.001
thekey,15 Jan 2018,15 Jan 2018,0.0,143.0,3,other,15,22000000.0,22000000.0,1.0,0.0352,74065,2,29578,-0.186,9008350,0.0,-0.07,-1.09,-0.91,-0.282,-2.745,-0.0
smartmesh,29 Nov 2017,28 Dec 2017,29.0,161.0,7,saas,9,15691200.0,16872258.0,0.93,0.02,21556,1,3740,0.56,1131310,0.39,0.15,2.32,2.4,0.047,1.383,0.013
storiqa,28 Nov 2017,29 Jan 2018,62.0,129.0,3,saas,11,25000000.0,25000000.0,1.0,0.0,34966,1,12677,0.0,271889,-0.09,0.11,1.8,1.96,-0.029,15.17,0.02
metal,9 Jun 2017,9 Jun 2017,0.0,363.0,1,blockchain,7,N/A,N/A,1.0,0.18,204,0,32736,8.278,2843520,0.35,0.3,4.71,4.81,-0.237,-0.043,0.01
particl,16 Mar 2017,12 Apr 2017,27.0,421.0,12,other,N/A,750000.0,N/A,N/A,1.0,N/A,1,N/A,5.95,983921,-0.06,0.08,1.26,1.41,-0.211,-1.723,0.007
sonm,15 Jun 2017,19 Jun 2017,4.0,353.0,2,saas,13,42000000.0,N/A,N/A,0.59,7979,9,273,-0.116,86186,-0.56,-0.1,-1.66,-1.55,-0.081,-2.979,0.005
docademic,29 Jan 2018,15 Apr 2018,76.0,53.0,10,insurance services,13,1100000.0,N/A,N/A,N/A,7097,1,14320,0.0,716822,0.42,3.36,6.72,6.76,2.949,5.574,0.135
ignis,5 Aug 2017,14 Oct 2017,70.0,236.0,5,other,3,15000000.0,21739130.0,0.69,1.05,N/A,2,27068,1.2,18762,0.26,0.07,1.16,1.19,-1.217,-3.298,0.007
sophiatx,7 Dec 2017,17 Dec 2017,10.0,172.0,6,saas,21,23470356.0,80932262.0,0.29,0.46,5476,2,15676,-0.01,2148170,0.35,0.08,1.19,1.3,-0.123,-1.064,0.004
pillar,15 Jul 2017,17 Jul 2017,2.0,325.0,4,saas,30,20000000.0,N/A,N/A,0.1,757,1,12610,-0.256,101274,0.24,0.07,1.03,1.03,-0.152,-5.0,0.012
boscoin,09 May 2017,10 May 2017,1.0,393.0,12,blockchain,17,17920000.0,N/A,N/A,0.044,N/A,5,N/A,18.93,27934,0.19,0.19,3.05,3.05,-0.052,-6.0,0.002
genesis-vision,15 Oct 2017,15 Nov 2017,31.0,204.0,2,fintech,10,2836732.0,23639433.0,0.12,1.0,8082,8,19138,1.68,683667,0.39,0.27,4.32,4.32,-0.042,-6.5,0.019
credits,15 Feb 2018,28 Feb 2018,13.0,99.0,7,saas,9,22570394.0,22570394.0,1.0,0.17,27428,6,18914,1.4,3014620,0.28,0.17,2.64,2.64,0.029,-4.0,0.011
blockv,19 Oct 2017,25 Oct 2017,6.0,225.0,1,saas,18,21599100.0,39998333.0,0.54,0.42,3731,1,6433,-0.948,492028,0.34,0.23,3.6,3.6,-0.021,-7.0,0.01
crypterium,31 Oct 2017,14 Jan 2018,75.0,144.0,5,fintech,15,51656963.0,51656963.0,1.0,1.5,33935,10,16339,0.54,183715,-0.38,-0.05,-0.75,-0.75,-0.298,-11.0,-0.003
ambrosus,22 Sep 2017,22 Oct 2017,30.0,228.0,6,insurance services,20,32507330.0,97800000.0,0.33,0.29,4226,5,17117,-0.45,35697,0.1,0.12,1.92,1.88,0.213,0.883,0.011
origintrail,15 Jan 2018,17 Jan 2018,2.0,141.0,5,saas,11,21513600.0,21513600.0,1.0,0.1,10070,5,550,1.364,3901170,0.19,0.06,0.93,0.93,-0.189,-3.5,0.009
jibrel-network,27 Nov 2017,1 Jan 2018,35.0,157.0,6,blockchain,9,30000000.0,30000000.0,1.0,0.25,2166,5,6419,0.689,10089800,0.06,-0.1,-1.64,-1.64,-0.509,-4.5,0.002
crypto20,16 Oct 2017,30 Nov 2017,45.0,189.0,1,fintech,6,37698373.0,75000000.0,0.5,1.1,N/A,1,9642,2.373,5672340,-0.21,-0.19,-3.06,-3.15,-0.105,-0.862,-0.005
apex,01 Jan 2018,28 Jan 2018,27.0,130.0,12,blockchain,N/A,25000000.0,25000000.0,1.0,0.16,15799,1,N/A,0.055,9262900,0.4,3.21,6.42,6.42,-0.423,-7.5,-0.002
tokenpay,7 Dec 2017,17 Jan 2018,41.0,141.0,7,blockchain,10,40948500.0,40948500.0,1.0,6.0,17607,1,N/A,-0.66,1515520,0.43,0.16,2.5,2.5,-0.375,-8.5,0.027
cube,16 Feb 2018,15 Mar 2018,27.0,84.0,4,saas,12,N/A,N/A,N/A,N/A,1625,0,5960,0.0,6757530,-0.13,0.0,0.04,0.04,-0.137,-3.5,-0.005
eximchain,01 Feb 2018,13 Feb 2018,12.0,114.0,12,blockchain,16,20000000.0,20000000.0,1.0,0.33,10928,N/A,N/A,1.01,185434,1.21,2.1,4.19,4.19,-0.194,-5.0,0.023
bread,16 Dec 2017,24 Dec 2017,8.0,165.0,6,blockchain,6,20021300.0,20021300.0,1.0,0.78,46071,2,53848,1.423,56455400,0.23,-0.03,-0.47,-0.47,-0.066,-5.5,-0.002
ethlend,25 Nov 2017,30 Nov 2017,5.0,189.0,5,blockchain,25,17860000.0,17860000.0,1.0,0.02,18980,4,46030,-0.069,728686,0.43,0.26,4.09,4.09,-0.299,-7.5,0.015
telcoin,11 Dec 2017,30 Dec 2017,19.0,159.0,8,blockchain,19,25000000.0,25000000.0,1.0,0.001,20965,2,25124,5.031,842193,0.04,-0.05,-0.81,-0.81,-0.291,-8.0,-0.002
red-pulse,8 Oct 2017,8 Oct 2017,0.0,242.0,3,fintech,11,14508923.0,14508923.0,1.0,0.03,6382,2,32763,0.849,5395350,-0.05,0.23,3.57,3.57,-0.242,-8.5,0.011
adex,30 Jun 2017,30 Jun 2017,0.0,342.0,2,fintech,16,10000000.0,10000000.0,1.0,0.24,4555,2,56026,2.873,3127370,-0.39,-3.11,-6.22,-6.22,-0.008,-6.0,-0.014
eidoo,4 Oct 2017,16 Oct 2017,12.0,234.0,6,saas,5,27676992.0,51253689.0,0.54,2.3,5414,3,25522,0.035,39128,-0.02,0.15,2.37,2.37,-0.164,-7.5,0.004
paypie,15 Oct 2017,16 Oct 2017,1.0,234.0,1,saas,11,26000000.0,26000000.0,1.0,0.37,4228,1,7729,-0.02,256062,0.06,0.15,2.35,2.35,0.008,-25.0,0.013
edgeless,28 Feb 2017,21 Mar 2017,21.0,443.0,12,saas,0,2000000.0,N/A,N/A,0.04,1275,1,39757,-0.23,18692,0.26,0.18,2.87,2.87,0.03,-5.0,0.014
bitrent,1 Dec 2017,31 Mar 2018,120.0,68.0,4,saas,19,14627210.0,N/A,N/A,0.06,12859,1,6445,-0.336,156399,0.27,0.05,0.75,0.75,-0.119,-1.0,0.008
airswap,10 Oct 2017,10 Nov 2017,31.0,209.0,1,fintech,4,12600000.0,12600000.0,1.0,0.3,4375,3,N/A,0.345,3654270,-0.15,0.06,0.95,0.95,-0.067,-7.0,0.005
babb,6 Feb 2018,6 Mar 2018,28.0,93.0,4,fintech,13,20000000.0,20000000.0,1.0,0.0,14280,2,10376,0.0,286765,-0.01,0.23,3.64,3.64,-0.377,-3.5,0.023
medibloc,27 Nov 2017,15 Dec 2017,18.0,174.0,7,saas,17,21271251.0,29959508.0,0.71,0.02,5610,2,10817,-0.006,645796,0.53,0.13,1.99,1.99,-0.389,-5.5,0.007
zebi,05 Mar 2018,31 Mar 2018,26.0,68.0,7,fintech,17,8561100.0,8561100.0,1.0,0.0333,15147,2,16436,2.483,5412550,0.14,1.11,2.22,2.22,-0.499,-7.5,-0.005
tokenomy,15 Jan 2018,5 Feb 2018,21.0,122.0,12,blockchain,17,22869000.0,N/A,N/A,N/A,2306,1,46,0.0,2372070,-0.57,-0.12,-1.94,-1.94,-0.02,-10.0,-0.003
singulardtv,2 Oct 2016,2 Oct 2016,0.0,613.0,1,saas,0,7500000.0,N/A,N/A,0.02,326,1,36801,-0.067,165271,-0.14,-0.11,-1.72,-1.72,-0.098,-7.0,0.009
wagerr,1 Jun 2017,25 Jun 2017,24.0,347.0,10,saas,6,10000000.0,N/A,N/A,0.06,N/A,1,17053,0.141,120805,0.14,0.12,1.87,1.87,-0.232,-1.0,0.011
tokencard,2 May 2017,2 May 2017,0.0,401.0,4,fintech,8,12782000.0,12782000.0,1.0,0.54,3,1,18788,0.926,416619,0.06,0.01,0.19,0.19,-0.105,-9.0,0.008
wings,18 Nov 2016,6 Jan 2017,49.0,517.0,6,saas,14,1706156.0,2274875.0,0.75,0.03,N/A,1,632,-0.287,1601,0.34,0.21,3.4,3.4,-0.02,-6.0,0.014
district0x,18 Jul 2017,1 Aug 2017,14.0,310.0,1,saas,8,9000000.0,N/A,N/A,0.02,N/A,1,58809,-0.22,30593,0.46,0.16,2.56,2.56,-0.163,-8.0,0.015
minexcoin,15 May 2017,13 Jun 2017,29.0,359.0,12,fintech,N/A,N/A,N/A,N/A,N/A,3010,N/A,N/A,0.0,17365,0.51,0.32,5.01,5.01,0.074,-1.0,0.016
legolas-exchange,1 Feb 2018,15 Feb 2018,14.0,112.0,5,blockchain,9,18856000.0,N/A,N/A,N/A,N/A,2,11719,0.0,682912,-0.21,-0.02,-0.3,-0.3,-0.234,-3.0,0.003
wepower,1 Feb 2018,2 Feb 2018,1.0,125.0,7,saas,20,40000000.0,40000000.0,1.0,0.13,51434,4,35807,0.35,782690,-0.0,-0.04,-0.7,-0.7,-0.042,-1.0,-0.005
odem,17 Feb 2018,18 Mar 2018,29.0,81.0,6,social services,12,4000000.0,N/A,N/A,N/A,N/A,1,3095,0.0,18548,0.47,3.75,7.5,7.5,0.485,-0.5,0.024
odyssey,21 Jan 2018,22 Jan 2018,1.0,136.0,7,blockchain,21,50000000.0,50000000.0,1.0,0.0119,47909,1,859,1.093,12284200,0.09,0.01,0.2,0.2,-0.169,-17.0,0.007
wabi,28 Nov 2017,1 Dec 2017,3.0,188.0,2,ecommerce,10,11500000.0,11500000.0,1.0,0.25,8384,2,34849,4.56,26744800,0.21,0.1,1.56,1.56,-0.183,-8.0,0.004
utrust,2 Nov 2017,20 Nov 2017,18.0,199.0,6,saas,26,21000000.0,21000000.0,1.0,0.07,13068,9,28206,1.993,3956620,0.34,0.08,1.25,1.25,-0.547,-5.5,0.001
ins-ecosystem,04 Dec 2017,25 Dec 2017,21.0,164.0,2,other,11,41500000.0,41500000.0,1.0,2.54,17571,N/A,N/A,1.685,373749,-0.06,-0.1,-1.55,-1.55,-0.264,-4.5,-0.006
havven,28 Feb 2018,7 Mar 2018,7.0,92.0,9,blockchain,27,30000000.0,30000000.0,1.0,0.5,64841,8,10846,-0.039,1203240,-0.09,0.12,1.92,1.92,-0.123,-9.0,0.007
appcoins,13 Dec 2017,20 Dec 2017,7.0,169.0,7,saas,18,15300000.0,15300000.0,1.0,0.1,11798,3,27230,34.3,124119000,-0.07,-0.12,-1.97,-1.97,-0.11,-1.5,-0.008
loyalcoin,11 Dec 2017,10 Feb 2018,61.0,117.0,12,saas,10,40226964.0,40226964.0,1.0,0.01,N/A,N/A,6476,-0.359,60119,1.53,2.65,5.29,5.29,-0.6,nan,0.002
datawallet,5 Feb 2018,7 Mar 2018,30.0,92.0,1,other,13,39436870.0,39835222.0,0.99,0.18,6236,1,5677,-0.226,122971,-0.14,-0.14,-2.24,-2.24,0.308,nan,0.003
datx,11 Feb 2018,11 Mar 2018,28.0,88.0,7,other,9,44150000.0,44150000.0,1.0,0.0353,26040,1,47325,-0.22,612568,-0.28,0.09,1.45,1.45,0.29,nan,0.005
naga,1 Dec 2017,15 Dec 2017,14.0,174.0,12,fintech,28,45318896.0,45318896.0,1.0,1.0,13411,10,26,0.55,3010670,0.22,0.03,0.47,0.47,-0.051,nan,-0.001
tierion,27 Jul 2017,28 Jul 2017,1.0,314.0,1,saas,11,25000000.0,25000000.0,1.0,0.07,4313,1,N/A,2.332,1142210,-0.11,-0.15,-2.38,-2.38,-0.242,nan,0.004
zeepin,17 Jan 2018,17 Jan 2018,0.0,141.0,12,blockchain,N/A,62580000.0,62580000.0,1.0,0.13,20460,1,N/A,0.51,14383200,-0.01,-0.1,-1.55,-1.55,-0.234,nan,-0.003
universa,27 Oct 2017,27 Nov 2017,31.0,192.0,2,saas,25,28559233.0,98480114.0,0.29,0.01,14259,8,1128,4.161,763454,-0.49,-0.13,-1.99,-1.99,-0.289,nan,-0.008
decentbet,21 Sep 2017,19 Oct 2017,28.0,231.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,0.815,26234,-0.02,0.15,2.36,2.39,-0.388,-3.84,0.012
modum,1 Sep 2017,22 Oct 2017,51.0,228.0,6,saas,17,13350000.0,16481481.0,0.81,1.0,2333,1,14333,-0.373,119265,0.35,0.25,3.9,3.9,-0.159,nan,0.013
presearch,25 Jul 2017,31 Oct 2017,98.0,219.0,1,saas,10,16000000.0,N/A,N/A,0.25,9668,2,1190,-0.151,98499,0.26,0.13,2.08,2.08,0.149,nan,0.013
mobilego,25 Apr 2017,25 May 2017,30.0,378.0,1,saas,6,53000000.0,N/A,N/A,0.76,2558,2,316,2.539,187166,-0.05,-0.01,-0.2,-0.2,-0.144,nan,0.001
decent,11 Sep 2016,6 Nov 2016,56.0,578.0,6,telecommunications,31,24137000.0,24137000.0,1.0,0.024,N/A,7,29935,3.583,121,0.2,0.17,2.72,2.72,0.153,nan,0.025
qlink,27 Dec 2017,27 Jan 2018,31.0,131.0,7,transportation,14,19270800.0,19270800.0,1.0,0.1,19911,1,345,1.901,9911000,0.18,0.03,0.42,0.42,-0.409,nan,-0.001
