coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
ethlend, 25 Nov 2017, 30 Nov 2017,5.0,319.0,5, fintech,25,17860000.0,17860000.0,1.0,0.0176,16652,4,12213, High, Medium,0.86,0.0583,728686,0.427,0.258,4.09,4.068,0.454,4.662,0.006,0.006
naga, 1 Dec 2017, 15 Dec 2017,14.0,304.0,1, fintech,14,45318896.0,45318896.0,1.0,1.0,1206,6,37, N/A, N/A,0.8,0.55,3010670,0.221,0.03,0.473,0.445,0.019,0.029,-0.002,-0.002
wepower, 1 Feb 2018, 2 Feb 2018,1.0,255.0,7, energy,20,40000000.0,40000000.0,1.0,0.125,38003,1,37063, High, VeryLow,0.86,0.40437,782690,-0.003,-0.05,-0.787,-0.829,0.148,1.264,-0.004,-0.004
lympo, 17 Feb 2018, 28 Feb 2018,11.0,229.0,5, insurance services,11,16857899.0,16857899.0,1.0,0.021,11893,0,9453, N/A, N/A,0.88,-0.23362,176692,0.264,0.217,3.437,3.402,0.16,2.301,0.006,0.006
babb, 6 Feb 2018, 6 Mar 2018,28.0,223.0,4, fintech,13,20000000.0,20000000.0,1.0,0.0012,2869,9,11646, High, N/A,0.74,-0.3925,286765,-0.014,0.229,3.632,3.6,0.181,2.182,0.006,0.006
refereum, 12 Feb 2018, 12 Mar 2018,28.0,217.0,1, gaming,13,40000000.0,40000000.0,1.0,0.01,68831,10,56844, High, Low,0.82,1.0433,1161020,-0.257,-0.034,-0.54,-0.585,0.191,2.532,-0.0,0.0
bittwatt, 1 Apr 2018, 8 Jun 2018,68.0,129.0,7, fintech,8,20000000.0,30303030.0,0.66,0.1759,8270,4,5186, Medium, N/A,0.72,-0.90781,82763,0.204,0.127,2.019,2.001,0.203,2.223,0.022,0.022
smartlands, 2 Nov 2017, 20 Nov 2017,18.0,329.0,12, other,12,1753698.0,25052829.0,0.07,0.5,1909,1,6754, Medium, High,0.88,-0.60588,102013,0.243,0.159,2.518,2.508,0.117,0.708,0.024,0.024
appcoins, 13 Dec 2017, 20 Dec 2017,7.0,299.0,7, other,18,15300000.0,15300000.0,1.0,0.1,2559,1,26556, High, Low,0.86,34.3,124119000,-0.078,-0.122,-1.939,-1.973,0.107,1.429,-0.006,-0.006
cobinhood, 13 Sep 2017, 22 Oct 2017,39.0,358.0,12, fintech,5,13078406.0,25150781.0,0.52,0.0735,12426,2,54399, Medium, Medium,0.88,-0.29718,41446,0.213,0.243,3.854,3.823,0.177,1.803,0.007,0.007
etherparty, 1 Oct 2017, 29 Oct 2017,28.0,351.0,1, blockchain,26,33732274.0,64869758.0,0.52,0.1,5677,0,1, Low, Medium,0.6,-0.56504,180346,0.135,0.235,3.734,3.709,0.077,2.291,0.005,0.004
paypie, 15 Oct 2017, 16 Oct 2017,1.0,364.0,1, fintech,2,26000000.0,26000000.0,1.0,0.3677,4075,0,7797, High, Medium,0.8,-0.0138,256062,0.065,0.149,2.368,2.349,0.585,8.15,0.009,0.008
covesting, 24 Nov 2017, 15 Jan 2018,52.0,274.0,7, fintech,12,33241750.0,33241750.0,1.0,2.56,7920,7,9696, High, Low,0.92,0.20703,328108,-0.206,-0.123,-1.948,-1.989,-0.211,-2.007,-0.003,-0.003
aeron, 19 Sep 2017, 30 Oct 2017,41.0,351.0,10, blockchain,11,4897723.0,30610769.0,0.16,0.5,17182,1,31713, High, Medium,0.88,-0.18897,8757,0.124,0.162,2.578,2.57,0.067,4.325,0.017,0.017
monetha, 31 Aug 2017, 31 Aug 2017,0.0,411.0,5, other,11,35910000.0,35910000.0,1.0,0.19,4359,2,18838, High, VeryLow,0.88,0.50178,2743890,-0.145,-0.105,-1.659,-1.7,0.189,2.275,0.001,0.001
0chain, 16 Feb 2018, 18 Feb 2018,2.0,240.0,1, blockchain,7,39000000.0,39000000.0,1.0,1.65,42083,0,34166, High, N/A,0.64,-0.70959,296945,-0.121,-0.079,-1.25,-1.288,0.279,4.779,-0.003,-0.002
winding-tree, 1 Feb 2018, 15 Feb 2018,14.0,243.0,6, other,4,14418196.0,14418196.0,1.0,0.926,1207,1,5174, N/A, N/A,0.78,-0.80303,882,-0.076,-0.036,-0.564,-0.61,0.606,1.593,0.016,0.015
bloom, 30 Nov 2017, 1 Jan 2018,32.0,288.0,1, fintech,5,41420705.0,81217069.0,0.51,0.7,342,0,432, Medium, N/A,0.72,1.71429,101651,-0.316,-0.147,-2.332,-2.369,0.036,0.06,-0.005,-0.005
dadi, 29 Jan 2018, 29 Jan 2018,0.0,260.0,4, saas,16,28750000.0,28750000.0,1.0,0.5,17055,0,36808, Medium, N/A,0.64,-0.11192,2381560,-0.204,-0.044,-0.701,-0.758,0.088,1.059,-0.005,-0.005
datx, 11 Feb 2018, 11 Mar 2018,28.0,219.0,7, saas,10,10406875.0,43361979.0,0.24,0.0353,17989,1,45139, Medium, Medium,0.68,-0.22008,612568,-0.301,0.088,1.394,1.354,0.463,4.242,-0.003,-0.003
bankex, 28 Nov 2017, 28 Dec 2017,30.0,292.0,1, fintech,9,70600000.0,103823529.0,0.68,1.47,5864,0,21, High, Low,0.82,0.93197,371912,-0.431,-0.221,-3.507,-3.548,0.064,0.607,-0.01,-0.01
blackmoon, 12 Sep 2017, 12 Oct 2017,30.0,369.0,12, fintech,6,30000000.0,30000000.0,1.0,1.1,3031,1,6545, High, Low,0.84,-0.23499,592273,0.008,-0.109,-1.732,-1.796,0.03,0.656,0.0,0.001
sureremit, 10 Jan 2018, 10 Feb 2018,31.0,248.0,1, fintech,6,10000000.0,10000000.0,1.0,0.02,1920,1,5024, Medium, Medium,0.82,0.8333,35294,-0.212,0.02,0.312,0.274,-0.014,0.375,0.0,0.0
te-food, 22 Feb 2018, 22 Mar 2018,28.0,208.0,6, blockchain,19,19100000.0,19100000.0,1.0,0.05,9079,0,11901, Medium, N/A,0.84,-0.44758,302268,-0.042,0.087,1.374,1.326,0.449,3.84,-0.0,-0.0
axpire, 8 Jan 2018, 12 Jan 2018,4.0,277.0,1, fintech,4,20000000.0,20000000.0,1.0,0.1,7171,1,6379, High, N/A,0.86,0.32362,292608,-0.233,-0.15,-2.381,-2.414,0.066,0.918,-0.005,-0.005
localcoinswap, 15 Apr 2018, 15 Jun 2018,61.0,123.0,3, fintech,7,12150000.0,19918033.0,0.61,0.4,4763,4,5064, High, High,0.72,-0.49789,170905,0.072,-0.005,-0.079,-0.124,-0.341,-2.665,-0.002,-0.002
banca, 26 Feb 2018, 26 Feb 2018,0.0,232.0,7, fintech,9,20000000.0,20000000.0,1.0,0.002,3353,0,29119, Medium, Medium,0.76,-0.655,856596,0.049,0.264,4.192,4.163,0.635,5.763,0.002,0.002
medicalchain, 1 Feb 2018, 1 Feb 2018,0.0,257.0,4, insurance services,10,24000000.0,24000000.0,1.0,0.2,20808,1,15605, Medium, Medium,0.88,0.58773,122744,-0.117,-0.26,-4.129,-4.195,0.036,0.693,-0.007,-0.007
remme, 13 Feb 2018, 22 Feb 2018,9.0,236.0,7, saas,11,20000000.0,20000000.0,1.0,0.04,12637,0,6595, High, Medium,0.92,-0.2094,587552,-0.338,0.002,0.025,-0.026,0.079,1.074,-0.003,-0.003
envion, 15 Dec 2017, 14 Jan 2018,30.0,275.0,6, blockchain,8,10001227.0,142874671.0,0.07,1.0,17742,0,20031, High, High,0.82,-0.03575,168394,-0.223,-0.125,-1.981,-2.045,0.021,-0.126,-0.005,-0.005
datawallet, 5 Feb 2018, 7 Mar 2018,30.0,223.0,1, blockchain,13,40000000.0,40000000.0,1.0,0.18,11800,0,12, High, Low,0.7,-0.22604,122971,-0.14,-0.141,-2.246,-2.29,0.143,2.219,-0.006,-0.005
domraider, 12 Sep 2017, 9 Oct 2017,27.0,372.0,5, blockchain,33,67200000.0,67200000.0,1.0,0.1174,394,0,9860, Medium, Low,0.94,-0.44943,13888,0.025,0.086,1.368,1.341,0.027,0.057,0.002,0.002
experty, 25 Jan 2018, 25 Feb 2018,31.0,233.0,6, blockchain,15,1491696.0,8774682.0,0.17,0.829,11030,0,15257, Medium, Low,0.74,-0.2063,1742640,-0.596,-0.117,-1.851,-1.893,0.034,0.712,-0.003,-0.003
coinfi, 8 Feb 2018, 18 Feb 2018,10.0,240.0,3, fintech,8,15000000.0,15000000.0,1.0,0.15,14994,0,5254, Medium, N/A,0.74,1.38402,21603900,-0.176,-0.166,-2.632,-2.671,0.287,2.545,-0.006,-0.006
aphelion, 15 Nov 2017, 7 Dec 2017,22.0,313.0,12, fintech,13,7000000.0,7000000.0,1.0,0.2,12171,0,13920, High, N/A,0.48,0.45573,63598,0.247,0.004,0.063,0.029,0.394,3.242,-0.005,-0.004
indahash, 29 Nov 2017, 20 Dec 2017,21.0,300.0,5, saas,16,42715825.0,66743477.0,0.64,0.24,9653,0,9613, High, Low,0.86,1.5614,3113160,-0.199,-0.108,-1.711,-1.743,0.096,1.086,-0.01,-0.01
leverj, 7 Nov 2017, 7 Dec 2017,30.0,313.0,12, fintech,6,13049080.0,50188769.0,0.26,0.15,2866,5,5055, Medium, Medium,0.66,0.81671,47085,-0.136,-0.139,-2.207,-2.242,0.075,1.068,-0.002,-0.002
pikciochain, 17 Mar 2018, 31 Mar 2018,14.0,199.0,6, saas,10,12269958.0,29926727.0,0.41,0.338,6345,1,6174, Medium, Medium,0.7,-0.09739,68851,-0.053,-0.053,-0.843,-0.875,0.233,2.485,-0.002,-0.002
aidcoin, 16 Jan 2018, 1 Feb 2018,16.0,257.0,6, other,36,18632900.0,18632900.0,1.0,0.515,3027,0,5007, N/A, N/A,0.86,0.55996,1717320,-0.364,-0.229,-3.64,-3.697,0.139,1.223,-0.005,-0.005
unibright, 20 Apr 2018, 20 May 2018,30.0,149.0,5, blockchain,7,12604551.0,13553281.0,0.93,0.14,7864,9,5251, High, N/A,0.78,0.38368,2400200,-0.305,-0.173,-2.743,-2.782,0.136,0.526,-0.012,-0.012
adbank, 15 Dec 2017, 14 Jan 2018,30.0,275.0,1, blockchain,5,15000000.0,15000000.0,1.0,0.045,692,0,6253, Low, Medium,0.64,-0.07476,1033600,-0.129,-0.151,-2.394,-2.442,0.111,1.475,-0.006,-0.006
rentberry, 5 Dec 2017, 28 Feb 2018,85.0,230.0,7, real estate,40,27500000.0,29891304.0,0.92,0.347,2732,1,14793, N/A, N/A,0.86,-0.8044,294933,0.236,0.018,0.293,0.256,-0.13,-0.416,-0.006,-0.006
commerceblock, 28 Nov 2017, 19 Dec 2017,21.0,301.0,4, fintech,7,8820470.0,25201343.0,0.35,0.0624,1594,0,2522, Medium, N/A,0.78,-0.3634,85105,0.169,0.056,0.882,0.848,-0.181,-1.595,0.001,0.001
adhive, 28 Feb 2018, 14 Mar 2018,14.0,216.0,5, saas,10,12000000.0,17391304.0,0.69,0.1369,12652,0,5500, High, Low,0.88,-0.59631,772548,0.127,0.03,0.471,0.43,0.205,1.902,-0.003,-0.003
real, 31 Aug 2017, 30 Sep 2017,30.0,381.0,7, real estate,6,10604571.0,33139284.0,0.32,1.3762,1621,0,4433, Medium, Medium,0.68,-0.2661,13785,0.004,-0.019,-0.308,-0.336,-0.092,1.459,0.011,0.01
helbiz, 15 Feb 2018, 4 Mar 2018,17.0,226.0,7, transportation,10,5500000.0,78571429.0,0.07,0.1407,2536,0,22677, Medium, Medium,0.72,-0.90719,756160,0.161,0.039,0.623,0.598,0.021,1.553,-0.002,-0.002
jet8, 28 Feb 2018, 14 Mar 2018,14.0,216.0,7, other,33,32700000.0,35934066.0,0.91,0.1,18537,0,2084, N/A, N/A,0.8,-0.69089,871036,-0.476,-0.029,-0.454,-0.491,0.38,3.801,-0.007,-0.007
matryx, 13 Sep 2017, 12 Oct 2017,29.0,369.0,1, other,15,1984347.0,9019759.0,0.22,0.29,1605,0,2090, Medium, Medium,0.92,1.49803,1031,0.206,0.114,1.803,1.791,-0.113,-1.151,0.006,0.006
clearpoll, 2 Oct 2017, 26 Oct 2017,24.0,355.0,9, other,10,1032926.0,1032926.0,1.0,0.1285,886,0,119487, Medium, N/A,0.88,2.38027,94539,-0.131,0.192,3.046,3.025,0.283,3.988,0.006,0.005
lampix, 9 Aug 2017, 18 Aug 2017,9.0,424.0,1, other,13,14200000.0,59166667.0,0.24,0.256,2199,0,3431, Medium, Low,0.88,-0.62792,29039,0.073,0.059,0.935,0.896,0.087,2.12,0.004,0.003
atlant, 7 Sep 2017, 1 Nov 2017,55.0,349.0,2, real estate,12,6663530.0,66635300.0,0.1,0.5731,4238,0,4532, High, Low,0.66,-0.31175,323580,-0.27,0.043,0.675,0.645,-0.251,-1.476,0.001,0.001
arbidex, 23 Jan 2018, 28 Feb 2018,36.0,230.0,4, fintech,6,16239980.0,16239980.0,1.0,1.0,1160,0,1810, Low, N/A,0.68,-0.95167,236909,-0.051,-0.403,-0.806,-0.839,-0.895,-4.972,0.01,0.01
devery, 18 Jan 2018, 19 Jan 2018,1.0,270.0,12, saas,3,10000000.0,10000000.0,1.0,0.187,4297,7,2969, Medium, N/A,0.86,0.76878,862413,-0.271,-0.127,-2.009,-2.044,-0.22,-2.878,-0.003,-0.004
bitclave, 29 Nov 2017, 29 Nov 2017,0.0,321.0,1, blockchain,19,25547000.0,25547000.0,1.0,0.1,8465,1,16360, Medium, Medium,0.88,0.50455,957302,0.12,-0.013,-0.208,-0.235,0.29,2.491,0.009,0.009
daneel, 29 Jan 2018, 5 Mar 2018,35.0,225.0,5, other,8,2830400.0,15724444.0,0.18,0.28,2702,0,5635, Medium, N/A,0.84,-0.82727,130556,0.376,0.158,2.502,2.488,0.197,2.782,0.017,0.017
publica, 1 Nov 2017, 16 Nov 2017,15.0,334.0,1, other,21,1046210.0,1046210.0,1.0,0.1,872,2,13, N/A, N/A,0.76,1.5475,1317120,-0.066,0.179,2.841,2.823,0.04,0.104,0.004,0.004
mywish, 25 Oct 2017, 25 Nov 2017,31.0,325.0,2, blockchain,8,2670000.0,2696970.0,0.99,0.2323,3621,0,4210, N/A, N/A,0.82,0.34028,305113,0.142,0.177,2.814,2.789,0.02,0.751,0.003,0.003
clearcoin, 16 Nov 2017, 31 Mar 2018,135.0,199.0,1, other,17,4350000.0,10116279.0,0.43,0.01,17650,0,8890, High, Medium,0.8,0.5515,93524,0.055,-0.045,-0.708,-0.743,-0.165,-1.826,0.002,0.002
sportyco, 21 Nov 2017, 8 Dec 2017,17.0,312.0,5, fintech,10,5087896.0,15899675.0,0.32,0.12,9793,1,6566, Medium, N/A,0.76,0.81219,31692,0.001,0.078,1.235,1.201,0.029,0.115,-0.003,-0.003
kryll, 07 Feb 2018, 20 Apr 2018,72.0,179.0,5, fintech,8,3800000.0,29230769.0,0.13,0.2,6838,4,7167, Medium, Medium,0.88,-0.58498,97079,-0.342,-0.175,-2.775,-2.875,0.178,1.999,0.002,0.003
worldcore, 14 Oct 2017, 15 Dec 2017,62.0,305.0,5, fintech,14,25000000.0,100000000.0,0.25,0.1,2972,0,9342, Medium, Low,0.92,0.14584,151573,0.405,0.136,2.157,2.131,0.22,2.874,-0.001,-0.001
eristica, 7 Dec 2017, 7 Feb 2018,62.0,251.0,2, other,4,3138109.0,10122932.0,0.31,0.02,236,3,3978, Medium, Low,0.76,-0.45355,2634,-1.915,-3.316,-6.632,-6.684,-1.421,-3.933,-0.043,-0.041
goldmint, 20 Sep 2017, 11 Nov 2017,52.0,339.0,2, fintech,11,6935639.0,40797876.0,0.17,7.0,9931,3,2547, Risky, Medium,0.68,-0.63429,74776,0.24,0.155,2.458,2.431,-0.389,-3.074,0.005,0.005
narrative, 06 Feb 2018, 21 Mar 2018,43.0,209.0,1, telecommunications,4,1728825.0,43220625.0,0.04,0.46,3501,1,3810, Medium, Medium,0.82,-0.96497,1273,0.211,0.194,3.083,3.069,2.978,20.475,0.048,0.049
bitcoen, 28 Nov 2017, 26 Dec 2017,28.0,294.0,4, other,12,2504103.0,19262331.0,0.13,1.0,4394,0,4395, Medium, Medium,0.66,-0.95643,209,0.11,0.871,1.741,1.691,4.272,14.992,0.049,0.046
truegame, 16 Apr 2018, 30 Apr 2018,14.0,169.0,10, other,13,3773000.0,25153333.0,0.15,0.0736,25236,10,4411, Medium, Low,0.9,-0.68576,15876,-0.143,-0.109,-1.732,-1.783,0.308,3.107,-0.009,-0.009
paymon, 10 May 2018, 13 Jun 2018,34.0,125.0,2, blockchain,14,1092514.0,3034761.0,0.36,0.015,7043,1,8716, Medium, Medium,0.88,-0.78447,172644,-0.035,-0.015,-0.245,-0.278,0.065,0.893,-0.002,-0.002
neverdie, 30 Jun 2017, 1 Sep 2017,63.0,410.0,1, gaming,2,5800000.0,10000000.0,0.58,0.25,43,3,1460, Low, N/A,0.64,-0.19269,43022,-0.071,-0.162,-2.571,-2.612,0.229,4.284,0.004,0.006
iungo, 7 Dec 2017, 31 Jan 2018,55.0,258.0,5, other,9,23000000.0,46000000.0,0.5,1.15,8581,0,4228, High, N/A,0.76,-0.58726,885373,-0.158,-0.192,-3.049,-3.096,-0.017,-0.07,-0.011,-0.011
cfun, 18 Dec 2017, 19 Dec 2017,1.0,301.0,7, other,6,15000000.0,15000000.0,1.0,0.03,4230,2,4802, N/A, N/A,0.76,2.50637,14156000,-0.17,-0.176,-2.793,-2.824,0.058,0.826,-0.009,-0.009
leadcoin, 1 Mar 2018, 11 Mar 2018,10.0,219.0,7, other,17,50000000.0,50000000.0,1.0,0.0453,10269,0,1762, Medium, Medium,0.88,1.6268,6963540,-0.017,0.001,0.013,-0.006,-0.201,-1.521,-0.014,-0.014
micromoney, 18 Oct 2017, 18 Nov 2017,31.0,332.0,12, fintech,18,10541585.0,30118814.0,0.35,1.0,4347,1,80182, Medium, Low,0.88,-0.32587,452417,0.315,0.092,1.461,1.435,-0.052,0.461,-0.002,-0.001
coinlancer, 14 Oct 2017, 15 Nov 2017,32.0,335.0,12, other,16,11860153.0,49417304.0,0.24,0.25,5544,0,3303, Medium, Medium,0.8,0.69094,3536710,0.027,-0.093,-1.484,-1.51,-0.07,-0.59,-0.007,-0.007
fundrequest, 20 Nov 2017, 01 Dec 2017,11.0,319.0,5, blockchain,11,12121040.0,14964247.0,0.81,0.48,9190,0,12009, Medium, Medium,0.6,-0.4906,55032,-0.253,-0.143,-2.264,-2.298,0.074,-2.111,-0.006,-0.007
bitjob, 12 Sep 2017, 13 Oct 2017,31.0,368.0,12, other,26,2726424.0,11854017.0,0.23,0.39,2274,2,6637, Medium, Medium,0.8,-0.73346,67138,-0.152,0.142,2.26,2.249,0.296,1.543,0.005,0.005
emphy, 7 Oct 2017, 5 Nov 2017,29.0,345.0,5, other,6,44500.0,4450000.0,0.01,0.1,11005,2,11436, Medium, N/A,0.76,1.4201,100754,0.14,0.242,3.849,3.835,-0.089,-1.083,0.019,0.019
maecenas, 7 Sep 2017, 8 Oct 2017,31.0,373.0,4, other,8,15375432.0,18982015.0,0.81,0.6448,1715,1,0, Medium, VeryLow,0.6,-0.28433,11868,0.081,0.166,2.628,2.609,0.026,-0.332,0.014,0.014
hubii-network, 17 Aug 2017, 31 Aug 2017,14.0,411.0,7, other,15,7130256.0,50930400.0,0.14,0.3883,1434,0,4492, N/A, N/A,0.7,-0.49071,23209,0.18,0.13,2.059,2.041,-0.243,-3.864,0.025,0.026
shipchain, 01 Jan 2018, 06 Jan 2018,5.0,283.0,1, blockchain,11,30000000.0,30000000.0,1.0,0.34,21722,0,9083, High, N/A,0.84,-0.1595,49895,-0.403,-0.069,-1.101,-1.14,0.251,1.613,-0.008,-0.008
gatcoin, 17 Dec 2017, 5 Jan 2018,19.0,284.0,3, saas,17,14500000.0,14500000.0,1.0,0.2,3342,4,4317, Medium, Low,0.82,-0.60369,681451,-0.298,-0.233,-3.693,-3.735,0.195,1.804,-0.008,-0.008
fidentiax, 6 Nov 2017, 5 Dec 2017,29.0,315.0,7, insurance services,8,1566283.0,1566283.0,1.0,0.934,2208,0,3847, Medium, Medium,0.76,-0.70226,77268,0.26,0.068,1.082,1.062,-0.177,-1.605,0.004,0.004
cryptopay, 2 Oct 2017, 30 Oct 2017,28.0,351.0,4, other,3,18148220.0,64815071.0,0.28,0.3068,669,1,9048, High, Low,0.82,0.25642,380453,0.097,0.062,0.986,0.967,-0.254,-2.622,0.002,0.002
verify, 29 Nov 2017, 06 Dec 2017,7.0,314.0,7, saas,6,2500000.0,2500000.0,1.0,0.23,1154,0,4463, N/A, N/A,0.7,1.44044,803439,0.323,0.116,1.838,1.816,0.152,0.99,0.009,0.009
mercury-protocol, 24 Oct 2017, 24 Nov 2017,31.0,326.0,1, blockchain,15,4749479.0,19789496.0,0.24,0.043,750,1,5409, Medium, Low,0.52,-0.07035,42740,0.143,0.089,1.406,1.38,-0.419,-3.807,0.019,0.019
authorship, 15 Aug 2017, 14 Sep 2017,30.0,397.0,1, other,2,2500000.0,6944444.0,0.36,0.042,115,1,11321, Medium, N/A,0.6,-0.32105,12714,0.099,0.11,1.753,1.74,0.352,3.998,0.019,0.018
celsius, 16 Mar 2018, 23 Mar 2018,7.0,207.0,1, fintech,12,50000000.0,50000000.0,1.0,0.2,7830,1,20348, High, Medium,0.86,0.09404,13091,-0.734,-1.271,-2.543,-2.565,-7.094,-30.168,-0.059,-0.054
hdac, 27 Nov 2017, 22 Dec 2017,25.0,298.0,6, blockchain,17,20000000.0,86956522.0,0.23,0.341,3538,0,3807, N/A, N/A,0.82,-0.68125,510893,-0.24,-0.102,-1.622,-1.669,0.331,2.816,-0.012,-0.012
essentia, 25 Jun 2018, 8 Jul 2018,13.0,100.0,6, saas,32,25500000.0,25500000.0,1.0,0.043,27525,0,17712, VeryHigh, Medium,0.92,0.10474,1649680,-0.44,-0.335,-5.317,-5.37,0.149,1.709,-0.024,-0.024
