coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
bytom,20 Jun 2017,20 Jul 2017,30.0,300.0,3,saas,5,2286000.0,N/A,N/A,N/A,N/A,0,12082,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
populous,24 Jul 2017,24 Jul 2017,0.0,296.0,4,fintech,5,10220400.0,991001144.0,0.01,0.28,N/A,0,22760,10.89,2704070,0.2,0.11,1.69,1.62,-0.051,1.423,0.013,0.004
augur,17 Aug 2015,1 Oct 2015,45.0,958.0,1,saas,13,5000000.0,N/A,N/A,0.6,N/A,0,429,1.45,728,0.09,0.14,2.18,1.95,0.029,-1.022,0.009,0.011
golem,13 Nov 2016,13 Nov 2016,0.0,549.0,5,saas,15,820000.0,N/A,N/A,0.01,N/A,0,136901,41.1,23943600,0.44,3.46,6.93,6.74,-0.218,-0.959,0.014,0.015
status,20 Jun 2017,20 Jun 2017,0.0,330.0,6,saas,12,300000.0,N/A,N/A,0.04,N/A,0,100222,0.4,13747700,-0.21,0.04,0.66,0.51,0.157,-0.633,0.009,0.003
digixdao,29 Mar 2016,30 Mar 2016,1.0,777.0,7,saas,N/A,5500000.0,N/A,N/A,4.2,N/A,0,14986,6.54,1900,-0.05,-0.01,-0.14,-0.32,0.029,-0.837,0.007,-0.007
loopring,1 Aug 2017,16 Aug 2017,15.0,273.0,3,saas,3,120000.0,N/A,N/A,0.11,N/A,0,26901,-0.05,200829,-0.05,0.12,1.93,1.78,-0.149,-0.306,0.016,0.004
nebulas,8 Dec 2017,16 Dec 2017,8.0,151.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,11937,0,22343,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
komodo,15 Oct 2016,16 Nov 2016,32.0,546.0,12,saas,N/A,30000.0,N/A,N/A,0.38,N/A,0,88180,-0.71,22487,0.02,0.12,1.88,1.84,-0.007,-3.102,0.023,0.002
ark,05 Nov 2016,09 Dec 2016,34.0,523.0,12,blockchain,N/A,22000000.0,N/A,N/A,N/A,46,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
dentacoin,1 Oct 2017,1 Nov 2017,31.0,196.0,5,insurance services,19,1923507.0,28800000.0,0.07,0.0,1437,0,110,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bancor,12 Jun 2017,12 Jun 2017,0.0,338.0,12,saas,12,153000000.0,N/A,N/A,3.92,6252,0,806,4.1,16871,-0.16,-0.07,-1.04,-1.22,-0.002,-1.816,0.002,0.019
elastos,01 Jan 2018,22 Jan 2018,21.0,114.0,3,blockchain,N/A,94073000.0,94100000.0,1.0,18.09,16881,0,N/A,1.26,33745700,0.19,-0.02,-0.34,-0.57,-0.467,1.02,0.006,0.008
fusion,1 Feb 2018,10 Feb 2018,9.0,95.0,7,fintech,19,42185216.0,42200000.0,1.0,2.06,10186,0,7312,0.59,1440790,-0.04,0.12,1.87,1.59,-0.197,-3.041,0.016,0.037
veritaseum,25 Apr 2017,26 May 2017,31.0,355.0,1,blockchain,2,6480882.0,N/A,N/A,12.0,N/A,0,23187,3.05,450758,0.22,0.13,2.02,2.02,-298.915,-3.796,202.368,0.01
substratum,14 Aug 2017,14 Sep 2017,31.0,244.0,1,blockchain,6,13800000.0,45000000.0,0.31,0.08,64,0,1192,-0.42,41819,0.29,0.28,4.47,4.29,-0.248,-5.367,0.02,0.009
cybermiles,21 Nov 2017,21 Dec 2017,30.0,146.0,1,saas,9,30881582.0,36680000.0,0.84,0.05,74497,0,218623,2.61,12580000,-0.09,0.01,0.22,0.07,-0.005,-1.388,0.007,0.045
dragonchain,2 Oct 2017,2 Nov 2017,31.0,195.0,1,saas,8,13193000.0,15807375.0,0.83,0.07,N/A,0,73373,2.85,1142060,0.37,0.26,4.08,3.94,0.11,-4.122,0.015,0.002
kin,12 Sep 2017,26 Sep 2017,14.0,232.0,1,saas,7,48594816.0,75000000.0,0.65,0.0,N/A,0,24400,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
storm,07 Nov 2017,07 Dec 2017,30.0,160.0,1,fintech,8,30716420.0,27600000.0,1.0,0.01,10068,0,26537,0.62,330757,0.68,0.15,2.39,2.26,-0.243,3.469,0.022,0.004
gifto,14 Dec 2017,14 Dec 2017,0.0,153.0,3,entertainment,13,10000000.0,10000000.0,1.0,0.1,58161,0,16398,2.49,44959800,0.32,0.12,1.93,1.78,-0.067,-6.367,0.01,0.031
power ledger,8 Sep 2017,6 Oct 2017,28.0,222.0,9,energy,17,13232290.0,N/A,N/A,N/A,16767,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
electroneum,14 Sep 2017,20 Oct 2017,36.0,208.0,4,blockchain,14,39934610.0,40000000.0,1.0,0.01,48975,0,122658,6.74,2464330,-0.13,0.08,1.26,1.12,0.099,-3.714,0.002,0.011
revain,21 Aug 2017,4 Sep 2017,14.0,254.0,2,saas,11,8230000.0,N/A,N/A,0.05,2379,0,6493,0.56,107140,0.26,0.38,6.0,5.8,0.079,-1.592,0.018,0.003
monaco,18 May 2017,18 Jun 2017,31.0,332.0,6,fintech,4,54317000.0,N/A,N/A,3.8,7309,0,64681,-0.35,1549870,-0.1,0.2,3.1,3.02,0.043,1.204,0.016,0.014
tenx,24 Jun 2017,24 Jun 2017,0.0,326.0,7,fintech,10,80000000.0,N/A,N/A,0.64,119,0,1736,73.69,303595,0.05,0.16,2.47,2.37,-0.141,-2.735,0.009,0.013
neblio,6 Aug 2017,20 Aug 2017,14.0,269.0,1,fintech,2,2000000.0,N/A,N/A,0.21,N/A,0,N/A,2.0,257746,0.2,0.24,3.77,3.62,-0.127,-2.408,0.025,0.013
holo,29 Mar 2018,28 Apr 2018,30.0,18.0,7,telecommunications,8,20388500.0,0.0,N/A,0.0,7689,0,3987,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bnktothefuture,16 Feb 2018,16 Mar 2018,28.0,61.0,12,fintech,10,33000000.0,N/A,N/A,0.1,N/A,0,N/A,-0.22,40890,0.31,2.47,4.94,4.94,-0.063,0.0,0.027,-0.005
request network,13 Oct 2017,17 Oct 2017,4.0,211.0,5,fintech,6,32895000.0,N/A,N/A,N/A,13985,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
nexo,17 Mar 2018,15 Apr 2018,29.0,31.0,6,fintech,18,52500000.0,52500000.0,1.0,0.1,65325,0,N/A,0.85,3226150,0.83,1.44,2.88,2.88,-0.657,9.5,0.024,0.027
decentraland,8 Aug 2017,8 Aug 2017,0.0,281.0,10,entertainment,13,24137000.0,600000.0,1.0,0.02,N/A,0,3,0.24,688849,-0.21,-0.01,-0.19,-0.19,-0.13,-4.0,0.017,-0.026
bottos,31 Dec 2017,30 Jan 2018,30.0,106.0,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
storj,19 May 2017,25 May 2017,6.0,356.0,1,saas,15,30000000.0,30000000.0,1.0,0.5,N/A,0,82988,0.1,211542,0.08,0.11,1.71,1.71,-0.015,-1.0,0.01,-0.015
dropil,7 Feb 2018,7 Mar 2018,28.0,70.0,1,fintech,6,60000000.0,0.0,N/A,0.0,692,0,6739,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
civic,21 Jun 2017,22 Jun 2017,1.0,328.0,1,saas,2,33000000.0,33.0,1.0,0.1,8903,0,86405,0.77,9750800,0.18,0.14,2.26,2.26,-0.244,-0.5,0.01,-0.013
particl,16 Mar 2017,12 Apr 2017,27.0,399.0,12,other,N/A,750000.0,N/A,N/A,N/A,N/A,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
poa network,17 Nov 2017,17 Nov 2017,0.0,180.0,1,saas,19,12500000.0,12500000.0,1.0,N/A,11242,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
iconomi,25 Aug 2016,29 Sep 2016,35.0,594.0,5,saas,26,10000000.0,N/A,N/A,0.11,N/A,0,911,1.43,14652,0.13,0.1,1.6,1.6,-0.099,0.5,0.01,-0.016
aragon,17 May 2017,17 May 2017,0.0,364.0,5,saas,2,25000000.0,N/A,N/A,0.74,N/A,0,6687,1.05,2745280,0.28,0.09,1.43,1.43,0.001,-1.0,0.008,-0.0
time new bank,18 Nov 2017,23 Nov 2017,5.0,174.0,7,saas,10,80000001.0,N/A,N/A,N/A,23294,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
credits,15 Feb 2018,28 Feb 2018,13.0,77.0,7,saas,9,22570394.0,20000000.0,1.0,0.19,27559,0,18100,1.15,3014620,0.28,0.17,2.64,2.64,0.056,2.5,0.021,0.017
cindicator,12 Sep 2017,12 Oct 2017,30.0,216.0,2,blockchain,12,15000000.0,15000000.0,1.0,0.01,7999,0,38918,1.26,971989,-0.44,0.06,0.89,0.89,-0.145,-1.5,0.016,-0.021
quantstamp,17 Nov 2017,16 Dec 2017,29.0,151.0,1,fintech,10,31320000.0,31300000.0,1.0,0.07,24244,0,N/A,0.3,28481900,0.18,0.23,3.59,3.59,-0.307,5.5,0.014,-0.011
enjin coin,3 Oct 2017,31 Oct 2017,28.0,197.0,7,entertainment,16,23000000.0,N/A,N/A,N/A,N/A,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
sophiatx,7 Dec 2017,17 Dec 2017,10.0,150.0,6,saas,21,23470356.0,82300000.0,0.29,0.07,5473,0,15537,5.51,2148170,0.35,0.08,1.19,1.19,-0.13,-0.5,0.007,0.007
gnosis,24 Apr 2017,24 Apr 2017,0.0,387.0,5,saas,10,1250000.0,N/A,N/A,25.51,N/A,0,67598,-1.0,22984,-0.01,-0.02,-0.32,-0.32,0.219,40.0,0.005,0.008
tokenpay,7 Dec 2017,17 Jan 2018,41.0,119.0,12,blockchain,10,28680329.0,27300.0,1.0,5.46,17037,0,N/A,-0.63,1515520,0.43,3.43,6.86,6.86,-0.564,-6.5,0.057,-0.014
sonm,15 Jun 2017,19 Jun 2017,4.0,331.0,2,saas,13,42000000.0,N/A,N/A,0.16,7969,0,273,2.26,86186,-0.56,-0.1,-1.66,-1.66,-0.08,-1.5,0.006,0.009
bluzelle,18 Jan 2018,2 Feb 2018,15.0,103.0,7,saas,10,19500000.0,19500000.0,1.0,0.12,23630,0,31958,4.65,41214300,0.11,-0.0,-0.02,-0.02,-0.673,-5.0,0.008,-0.011
arcblock,3 Feb 2018,3 Feb 2018,0.0,102.0,1,blockchain,4,45000000.0,45000000.0,1.0,0.5,39190,0,31655,1.54,94865600,-0.38,0.07,1.09,1.09,-0.075,0.0,0.001,-0.011
ignis,5 Aug 2017,14 Oct 2017,70.0,214.0,5,other,3,21600000.0,60562000.0,0.36,0.04,N/A,0,27072,56.75,18762,0.26,0.07,1.16,1.16,-1.248,-6.0,0.01,-0.017
smartmesh,29 Nov 2017,28 Dec 2017,29.0,139.0,7,saas,9,15691200.0,16800000.0,0.93,0.02,4359,0,3618,0.56,1131310,0.39,0.15,2.32,2.32,0.057,7.5,0.016,-0.027
metal,9 Jun 2017,9 Jun 2017,0.0,341.0,1,blockchain,7,N/A,N/A,N/A,0.18,214,0,32889,8.28,2843520,0.35,0.3,4.71,4.71,-0.245,-1.0,0.011,-0.017
singularitynet,19 Dec 2017,19 Dec 2017,0.0,148.0,6,saas,9,32847814.0,32800000.0,1.0,0.1,15783,0,16417,14.2,17465100,0.09,0.0,0.08,0.08,-0.056,-0.5,0.002,-0.015
thekey,15 Jan 2018,15 Jan 2018,0.0,121.0,3,other,14,22000000.0,22000000.0,1.0,0.04,76309,0,28558,-0.28,9008350,0.0,-0.07,-1.09,-1.09,-0.268,-1.0,0.001,0.002
boscoin,09 May 2017,10 May 2017,1.0,371.0,12,blockchain,17,N/A,N/A,N/A,N/A,N/A,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
dent,12 Jul 2017,26 Jul 2017,14.0,294.0,3,telecommunications,8,1923507.0,28800000.0,0.07,0.0,1437,0,35601,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
origintrail,15 Jan 2018,17 Jan 2018,2.0,119.0,5,saas,11,21513600.0,21500000.0,1.0,0.1,9953,0,540,1.36,3901170,0.19,0.06,0.93,0.93,-0.188,0.5,0.013,0.039
apex,01 Jan 2018,28 Jan 2018,27.0,108.0,12,blockchain,N/A,25000000.0,25000000.0,1.0,0.16,16377,0,N/A,0.06,9262900,0.4,3.21,6.42,6.42,-0.41,-3.0,0.008,-0.032
ambrosus,22 Sep 2017,22 Oct 2017,30.0,206.0,6,insurance services,20,32507330.0,97800000.0,0.33,0.3,4190,0,16638,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
crypterium,31 Oct 2017,14 Jan 2018,75.0,122.0,5,fintech,15,51656963.0,47000000.0,1.0,0.75,34512,0,16117,2.08,183715,-0.38,-0.05,-0.75,-0.75,-0.263,-12.0,-0.001,0.019
red pulse,8 Oct 2017,8 Oct 2017,0.0,220.0,3,fintech,11,15000000.0,N/A,N/A,N/A,N/A,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
zebi,05 Mar 2018,31 Mar 2018,26.0,46.0,7,fintech,17,8561100.0,8600000.0,1.0,0.03,15215,0,15924,2.87,5412550,1.01,1.75,3.51,3.51,-0.229,-5.0,0.026,0.023
lympo,17 Feb 2018,28 Feb 2018,11.0,77.0,5,entertainment,11,16857899.0,12700000.0,1.0,0.02,12531,0,5852,-0.2,176692,0.26,0.21,3.41,3.41,-0.027,13.5,0.029,0.049
ethlend,25 Nov 2017,30 Nov 2017,5.0,167.0,5,blockchain,25,17860000.0,17900000.0,1.0,0.02,19326,0,45554,-0.07,728686,0.43,0.26,4.09,4.09,-0.304,1.5,0.018,-0.026
pillar,15 Jul 2017,17 Jul 2017,2.0,303.0,4,saas,30,50000000.0,N/A,N/A,0.1,741,0,12597,-0.26,101274,0.24,0.07,1.03,1.03,-0.162,11.5,0.013,-0.021
genesis vision,15 Oct 2017,15 Nov 2017,31.0,182.0,2,fintech,23,2836724.0,33000000.0,0.09,N/A,7943,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
paypie,15 Oct 2017,16 Oct 2017,1.0,212.0,1,saas,11,26000000.0,26000000.0,1.0,0.34,4213,0,7704,0.07,256062,0.06,0.15,2.35,2.35,0.03,-5.0,0.015,-0.043
crypto20,16 Oct 2017,30 Nov 2017,45.0,167.0,1,fintech,6,37698373.0,75000000.0,0.5,1.0,N/A,0,9585,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
adex,30 Jun 2017,30 Jun 2017,0.0,320.0,2,fintech,16,10000000.0,N/A,N/A,0.24,N/A,0,55973,2.11,6965020,0.14,1.08,2.16,2.16,0.688,-3.0,0.015,-0.015
medibloc,27 Nov 2017,15 Dec 2017,18.0,152.0,7,saas,17,21271251.0,30000000.0,0.71,0.01,5127,0,8032,0.99,645796,0.53,0.13,1.99,1.99,-0.412,0.5,0.01,-0.028
blockv,19 Oct 2017,25 Oct 2017,6.0,203.0,1,saas,17,21599100.0,40000000.0,0.54,0.02,3742,0,6353,0.08,492028,0.34,0.23,3.6,3.6,-0.003,-1.5,0.012,-0.024
datx,11 Feb 2018,11 Mar 2018,28.0,66.0,7,other,9,44150000.0,44200000.0,1.0,0.04,27230,0,47278,-0.31,612568,-0.28,0.09,1.45,1.45,0.307,5.0,0.014,0.023
cube,16 Feb 2018,15 Mar 2018,27.0,62.0,4,saas,12,N/A,N/A,N/A,N/A,1674,0,6103,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
telcoin,11 Dec 2017,30 Dec 2017,19.0,137.0,8,blockchain,19,25000000.0,25000000.0,1.0,0.0,20719,0,24774,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bread,16 Dec 2017,24 Dec 2017,8.0,143.0,6,blockchain,5,20021300.0,20000000.0,1.0,0.78,46239,0,52955,1.42,56455400,0.23,-0.03,-0.47,-0.47,-0.054,2.0,-0.002,-0.019
jibrel network,27 Nov 2017,1 Jan 2018,35.0,135.0,6,blockchain,16,50000000.0,N/A,N/A,N/A,2175,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
eidoo,4 Oct 2017,16 Oct 2017,12.0,212.0,6,saas,5,27676992.0,51700000.0,0.54,2.58,5468,0,25431,-0.08,39128,-0.02,0.15,2.37,2.37,-0.162,-3.0,0.005,-0.025
airswap,10 Oct 2017,10 Nov 2017,31.0,187.0,1,fintech,4,12600000.0,12600000.0,1.0,0.3,4460,0,N/A,0.34,3654270,-0.15,0.06,0.95,0.95,-0.071,-4.0,0.006,-0.031
district0x,18 Jul 2017,1 Aug 2017,14.0,288.0,1,saas,8,9000000.0,N/A,N/A,0.02,N/A,0,58591,-0.22,30593,0.46,0.16,2.56,2.56,-0.164,-0.5,0.017,-0.015
singulardtv,2 Oct 2016,2 Oct 2016,0.0,591.0,1,saas,0,7500000.0,N/A,N/A,0.01,82,0,26318,0.87,165271,-0.14,-0.11,-1.72,-1.72,-0.094,0.0,0.009,-0.023
edgeless,28 Feb 2017,21 Mar 2017,21.0,421.0,12,saas,0,440000.0,N/A,N/A,0.04,1195,0,39887,-0.23,18692,0.26,0.18,2.87,2.87,0.03,-1.5,0.016,-0.011
wepower,1 Feb 2018,2 Feb 2018,1.0,103.0,7,saas,20,40000000.0,40000000.0,1.0,0.13,53415,0,35939,0.35,782690,-0.0,-0.04,-0.7,-0.7,-0.062,-4.0,-0.002,-0.023
appcoins,13 Dec 2017,20 Dec 2017,7.0,147.0,7,saas,18,15300000.0,15300000.0,1.0,0.27,11860,0,27541,12.07,124119000,-0.07,-0.12,-1.97,-1.97,-0.116,1.5,-0.007,-0.025
banca,26 Feb 2018,26 Feb 2018,0.0,79.0,7,other,17,20000000.0,20000000.0,1.0,0.0,8431,0,6405,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
utrust,2 Nov 2017,20 Nov 2017,18.0,177.0,6,saas,26,21000000.0,21000000.0,1.0,0.07,13283,0,28218,1.99,3956620,0.34,0.08,1.25,1.25,-0.547,-4.0,0.004,-0.025
wabi,28 Nov 2017,1 Dec 2017,3.0,166.0,2,ecommerce,10,11500000.0,11500000.0,1.0,0.24,8521,0,35065,4.79,26744800,0.21,0.1,1.56,1.56,-0.169,-1.5,0.006,-0.019
tierion,27 Jul 2017,28 Jul 2017,1.0,292.0,1,saas,11,25000000.0,25000000.0,1.0,0.07,4607,0,N/A,2.33,1142210,-0.11,-0.15,-2.38,-2.38,-0.252,-1.5,0.006,-0.019
wings,18 Nov 2016,6 Jan 2017,49.0,495.0,6,saas,14,8000000.0,N/A,N/A,0.02,N/A,0,638,0.07,1601,0.34,0.21,3.4,3.4,-0.022,-0.5,0.015,-0.019
modum,1 Sep 2017,22 Oct 2017,51.0,206.0,6,saas,17,13350000.0,16400000.0,0.81,1.0,2238,0,14279,-0.37,119265,0.35,0.25,3.9,3.9,-0.164,5.0,0.016,-0.015
babb,6 Feb 2018,6 Mar 2018,28.0,71.0,4,fintech,13,20000000.0,20000000.0,1.0,0.0,13708,0,8691,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bitrent,1 Dec 2017,31 Mar 2018,120.0,46.0,4,saas,19,14627210.0,N/A,N/A,N/A,13012,0,6665,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
odyssey,21 Jan 2018,22 Jan 2018,1.0,114.0,7,blockchain,21,50000000.0,47600000.0,1.0,0.01,49494,0,773,1.49,12284200,0.09,0.01,0.2,0.2,-0.145,-14.0,0.01,-0.013
decent,11 Sep 2016,6 Nov 2016,56.0,556.0,6,telecommunications,31,24137000.0,20000000.0,1.0,0.02,N/A,0,30016,4.5,121,0.2,0.17,2.72,2.72,0.149,7.0,0.026,0.007
havven,28 Feb 2018,7 Mar 2018,7.0,70.0,9,blockchain,27,30000000.0,30000000.0,1.0,0.5,67930,0,10837,-0.04,1203240,-0.09,0.12,1.92,1.92,-0.05,-6.0,0.011,0.026
lunyr,29 Mar 2017,28 Apr 2017,30.0,383.0,1,saas,3,3400000.0,N/A,N/A,1.61,N/A,0,33634,0.59,309766,0.07,0.08,1.22,1.22,-0.221,6.5,0.017,0.023
qlink,27 Dec 2017,27 Jan 2018,31.0,109.0,7,transportation,14,19270800.0,19300000.0,1.0,0.1,9577,0,252,1.9,9911000,0.18,0.03,0.42,0.42,-0.41,-4.5,0.001,-0.02
storiqa,28 Nov 2017,29 Jan 2018,62.0,107.0,3,saas,11,25000000.0,25000000.0,1.0,0.01,30080,0,10208,-0.72,271889,-0.09,0.11,1.8,1.8,-0.357,-3.0,0.012,0.054
wagerr,1 Jun 2017,25 Jun 2017,24.0,325.0,10,saas,6,10000000.0,N/A,N/A,0.06,N/A,0,17087,0.14,120805,0.14,0.12,1.87,1.87,-0.228,-14.0,0.011,-0.003
naga,1 Dec 2017,15 Dec 2017,14.0,152.0,12,fintech,28,45318896.0,30000000.0,1.0,1.0,13778,0,23,0.55,3010670,0.22,0.03,0.47,0.47,-0.063,2.0,-0.0,-0.001
mobilego,25 Apr 2017,25 May 2017,30.0,356.0,1,saas,6,106138000.0,N/A,N/A,0.76,2566,0,320,2.54,187166,-0.05,-0.01,-0.2,-0.2,-0.146,10.0,0.002,-0.001
etherparty,1 Oct 2017,29 Oct 2017,28.0,199.0,1,blockchain,26,33732274.0,65000000.0,0.52,0.1,6087,0,2,-0.57,180346,0.13,0.24,3.75,3.75,0.024,-0.5,0.013,-0.029
datum,29 Oct 2017,29 Nov 2017,31.0,168.0,6,saas,18,7581120.0,29400000.0,0.26,0.02,8181,0,36904,0.4,160521,0.6,0.18,2.92,2.92,-0.113,1.0,0.009,-0.011
sentinel chain,1 Mar 2018,10 Mar 2018,9.0,67.0,7,fintech,23,14400000.0,14400000.0,1.0,0.08,9876,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
yoyow,21 May 2017,24 May 2017,3.0,357.0,3,saas,N/A,4364760.0,N/A,N/A,0.02,N/A,0,N/A,5.15,8194,-0.04,-0.01,-0.09,-0.09,-0.005,4.5,0.011,-0.031
tokencard,2 May 2017,2 May 2017,0.0,379.0,4,fintech,8,4500000.0,N/A,N/A,0.54,3,0,18854,0.93,416619,0.06,0.01,0.19,0.19,-0.104,-2.0,0.008,-0.021
melon,15 Feb 2017,16 Feb 2017,1.0,454.0,6,other,2,N/A,N/A,N/A,N/A,44,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
lamden,1 Dec 2017,3 Jan 2018,33.0,133.0,6,fintech,15,10000000.0,10000000.0,1.0,0.09,9336,0,N/A,6.43,937600,0.03,-0.05,-0.83,-0.83,-0.31,18.0,0.001,0.016
tokenomy,15 Jan 2018,5 Feb 2018,21.0,100.0,12,blockchain,17,26000000.0,N/A,N/A,0.18,2216,0,30,1.3,2372070,-0.57,-0.12,-1.94,-1.94,-0.018,-1.5,-0.005,-0.005
presearch,25 Jul 2017,31 Oct 2017,98.0,197.0,1,saas,10,16000000.0,N/A,N/A,0.2,7188,0,1126,0.06,98499,0.26,0.13,2.08,2.08,0.168,-1.5,0.015,-0.015
decentbet,21 Sep 2017,19 Oct 2017,28.0,209.0,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
taas,27 Mar 2017,28 Apr 2017,32.0,383.0,7,fintech,4,6000000.0,N/A,N/A,1.0,N/A,0,143,-0.18,1571,0.08,0.22,3.54,3.54,0.053,0.0,0.007,-0.02
viberate,5 Sep 2017,5 Sep 2017,0.0,253.0,5,entertainment,34,12000000.0,1.0,1.0,0.1,5701,0,32117,1.75,1490480,-0.19,-0.08,-1.24,-1.24,-0.165,-2.5,0.006,-0.011
refereum,12 Feb 2018,12 Mar 2018,28.0,65.0,1,saas,14,32252400.0,32300000.0,1.0,0.02,99956,0,54122,0.02,1161020,-0.26,-0.04,-0.56,-0.56,0.114,15.0,-0.001,0.007
