coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
gilgam,20 Jun 2017,20 Jul 2017,30.0,491.0,5,blockchain,8,160667.0,N/A,0.0,0.4527,562,1,1901,N/A,N/A,N/A,N/A,0.52,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
kybernetwork,31 Aug 2017,15 Sep 2017,15.0,434.0,7,fintech,10,52000000.0,52000000.0,1.0,0.41,11432,0,91802,2.1,152.0,Medium,Medium,0.86,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
0x,15 Aug 2017,15 Sep 2017,31.0,434.0,1,blockchain,6,24000000.0,24000000.0,1.0,0.07,N/A,0,142593,2.0,134.0,N/A,N/A,0.74,2.2057,5232600,0.233,0.128,2.036,2.015,-0.224,-0.978,0.008,0.005
onegram,27 May 2017,24 Sep 2017,120.0,425.0,12,other,7,N/A,N/A,0.22,41.66,N/A,1,2468,2.6,212.0,N/A,N/A,0.7,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
rasputin,20 Jul 2017,29 Aug 2017,40.0,451.0,5,other,5,3027311.0,8181922.0,0.37,2.75,N/A,0,294,N/A,N/A,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bitquence,28 Jun 2017,16 Jul 2017,18.0,495.0,1,other,10,1680433.0,1680433.0,1.0,0.0338,1983,1,337,N/A,N/A,N/A,N/A,N/A,11.65355,1299520,-0.395,-3.136,-6.272,-6.387,-0.014,-0.941,-0.033,-0.033
geofunders,25 Jun 2017,25 Jul 2017,30.0,486.0,1,other,7,N/A,N/A,0.02,0.2036,N/A,0,118,N/A,N/A,N/A,N/A,0.52,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
internxt,7 Sep 2017,28 Sep 2017,21.0,421.0,5,saas,5,220800.0,22080000.0,0.01,1.0091,9305,0,28,N/A,N/A,N/A,N/A,0.52,2.1315,294867,0.156,0.18,2.852,2.836,0.104,2.286,0.022,0.022
ventana,14 Aug 2017,11 Sep 2017,28.0,438.0,9,other,7,N/A,20000000.0,N/A,0.35,N/A,0,1547,N/A,N/A,N/A,N/A,0.58,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
opakeco,21 Sep 2017,28 Sep 2017,7.0,421.0,5,other,5,N/A,N/A,N/A,0.0116,N/A,0,285,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
rakugo,19 Aug 2017,19 Sep 2017,31.0,430.0,4,other,14,N/A,N/A,N/A,0.2358,N/A,0,4,N/A,N/A,N/A,N/A,0.5,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
cryptoabs,14 Jul 2017,4 Aug 2017,21.0,476.0,3,other,4,N/A,N/A,N/A,N/A,N/A,0,59,N/A,N/A,N/A,N/A,0.5,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ethbet,17 Sep 2017,22 Sep 2017,5.0,427.0,12,other,N/A,1340000.0,N/A,N/A,0.262,N/A,1,965,2.0,136.0,N/A,N/A,N/A,0.00261,135914,-0.265,0.01,0.154,0.131,-0.505,-6.018,0.011,0.012
hubiinetwork,23 Aug 2017,23 Sep 2017,31.0,426.0,12,telecommunications,2,6500000.0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
moneytech,28 Jun 2017,2 Aug 2017,35.0,478.0,2,other,4,N/A,N/A,N/A,1.0,N/A,0,668,N/A,N/A,N/A,N/A,0.46,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
arena,18 Aug 2017,4 Sep 2017,17.0,445.0,1,other,3,15342.0,N/A,N/A,0.08,N/A,0,332,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bitdice,15 Aug 2017,15 Sep 2017,31.0,434.0,10,gambling,1,8748793.0,24996551.0,0.35,0.098,778,0,3312,2.1,169.0,N/A,N/A,0.68,0.52533,60084,0.111,0.184,2.919,2.879,0.76,7.561,0.003,0.001
atmatrix,18 Aug 2017,18 Sep 2017,31.0,431.0,7,other,18,N/A,44631000.0,N/A,0.4959,N/A,0,N/A,N/A,N/A,N/A,N/A,0.46,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
benjacoin,1 Aug 2017,1 Sep 2017,31.0,448.0,1,other,3,N/A,759250.0,N/A,0.0,N/A,0,2599,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
gamecoin,11 Sep 2017,29 Sep 2017,18.0,420.0,2,other,12,8855329.0,N/A,N/A,0.0293,N/A,0,447,N/A,N/A,N/A,N/A,0.38,-0.98874,0.0,-0.076,0.126,2.003,2.003,-5.78,1.372,0.472,0.007
teamcoin,1 Sep 2017,15 Sep 2017,14.0,434.0,5,other,1,N/A,10000000.0,N/A,10.3828,N/A,0,N/A,N/A,N/A,N/A,N/A,0.4,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
macroverse,1 Jul 2017,29 Sep 2017,90.0,420.0,1,other,1,N/A,N/A,N/A,0.0585,N/A,0,136,N/A,N/A,N/A,N/A,0.28,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
karbon,26 Aug 2017,23 Sep 2017,28.0,426.0,1,other,6,N/A,N/A,N/A,0.0818,N/A,0,N/A,N/A,N/A,N/A,N/A,0.54,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
fucktoken,13 Jul 2017,13 Jul 2017,0.0,498.0,12,other,N/A,88800.0,317143.0,0.28,0.0041,N/A,0,3568,N/A,N/A,N/A,N/A,0.58,-0.17073,661,0.366,0.15,2.378,2.377,11.973,94.058,0.184,0.178
t8coin,8 Sep 2017,22 Sep 2017,14.0,427.0,7,other,3,N/A,N/A,N/A,0.0,N/A,0,305,N/A,N/A,N/A,N/A,0.32,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tettix,30 Aug 2017,21 Sep 2017,22.0,428.0,12,other,N/A,1600.0,N/A,N/A,0.0258,N/A,0,N/A,N/A,N/A,N/A,N/A,0.26,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
battledrome,1 Jul 2017,5 Aug 2017,35.0,475.0,1,other,3,72600.0,7260000.0,0.01,2.5309,N/A,0,N/A,N/A,N/A,N/A,N/A,0.72,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
nexus,17 Aug 2017,15 Sep 2017,29.0,434.0,12,other,14,6155000.0,N/A,N/A,0.6029,1379,0,5634,2.9,194.0,N/A,N/A,N/A,-0.99285,7268,-0.127,0.03,0.469,0.452,-0.019,-1.39,0.012,0.001
shinecoin,25 Jul 2017,25 Aug 2017,31.0,455.0,12,other,N/A,24777.0,N/A,N/A,0.8252,N/A,0,663,N/A,N/A,N/A,N/A,0.4,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
w3coins,10 Jul 2017,25 Aug 2017,46.0,455.0,1,other,3,N/A,N/A,N/A,0.0066,N/A,0,1116,N/A,N/A,N/A,N/A,0.22,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
icos,15 Aug 2017,15 Sep 2017,31.0,434.0,2,other,23,14600000.0,N/A,N/A,44.376,4158,0,4832,1.8,135.0,Medium,Medium,0.86,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
kickico,29 Aug 2017,16 Sep 2017,18.0,433.0,2,fintech,16,21581925.0,21581925.0,1.0,0.0848,5636,10,9301,3.0,219.0,Medium,VeryLow,N/A,1.92713,29279,-0.114,-0.126,-2.002,-2.025,0.203,1.528,-0.002,-0.002
coss,8 Aug 2017,6 Sep 2017,29.0,443.0,7,fintech,24,3200000.0,N/A,N/A,0.0565,5086,1,17470,3.8,289.0,Medium,VeryLow,0.6,-0.19306,116130,0.397,0.121,1.917,1.893,0.063,0.823,0.008,0.006
tierion,27 Jul 2017,28 Jul 2017,1.0,483.0,1,blockchain,4,25000000.0,25000000.0,1.0,0.071,4536,0,N/A,1.6,107.0,Medium,Low,0.88,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
suretly,11 Jul 2017,11 Aug 2017,31.0,469.0,2,fintech,7,28000001.0,N/A,N/A,30.932,N/A,2,1286,1.0,50.0,Medium,Medium,0.68,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
cajutel,17 Aug 2017,17 Sep 2017,31.0,432.0,12,other,1,20000000.0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
icon,22 Sep 2017,22 Sep 2017,0.0,427.0,8,blockchain,30,45000000.0,45000000.0,1.0,0.1052,19199,2,112315,1.9,141.0,Stable,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
kin,12 Sep 2017,26 Sep 2017,14.0,423.0,1,blockchain,7,48594816.0,74761255.0,0.65,0.0002,N/A,1,25867,1.44,109.0,Medium,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
detectortoken,19 Aug 2017,19 Sep 2017,31.0,430.0,12,other,2,N/A,170002.0,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,High,0.64,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
decentraland,8 Aug 2017,8 Aug 2017,0.0,472.0,10,gaming,12,24000000.0,24000000.0,1.0,0.024,N/A,1,39972,6.7,318.0,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
equi,14 Aug 2017,14 Sep 2017,31.0,435.0,12,other,18,N/A,N/A,N/A,N/A,N/A,0,N/A,1.0,11.0,Low,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
lampix,9 Aug 2017,18 Aug 2017,9.0,462.0,1,other,13,14200000.0,59166667.0,0.24,0.256,2319,1,3408,N/A,N/A,N/A,N/A,0.88,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
mybit,17 Jul 2017,17 Aug 2017,31.0,463.0,6,fintech,2,2700000.0,4821429.0,0.56,3.0138,2847,9,7015,1.3,130.0,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
coindash,17 Jul 2017,17 Aug 2017,31.0,463.0,12,other,9,7000000.0,N/A,N/A,0.5,N/A,0,663,1.0,160.0,Medium,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
autoria,14 Jul 2017,4 Aug 2017,21.0,476.0,1,blockchain,6,N/A,485720.0,N/A,0.0129,86,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
insurex,11 Jul 2017,13 Jul 2017,2.0,498.0,4,insurance services,3,7104000.0,N/A,N/A,0.16,N/A,1,N/A,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tezos,1 Jul 2017,13 Jul 2017,12.0,498.0,1,blockchain,15,232000000.0,232000000.0,1.0,0.47,N/A,7,483,2.0,116.0,Medium,N/A,0.88,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
300cubits,13 Sep 2018,20 Sep 2017,358.0,430.0,12,transportation,3,1453740.0,29074800.0,0.05,1.526,N/A,0,23052,5.8,671.0,Medium,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
flypme,27 Sep 2017,20 Sep 2017,7.0,430.0,5,fintech,1,1609848.0,N/A,N/A,0.07,N/A,3,4109,1.3,134.0,Low,Medium,0.32,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
dolphin,17 Sep 2017,29 Sep 2017,12.0,421.0,12,other,6,N/A,N/A,N/A,N/A,116,0,N/A,N/A,N/A,Low,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
roin,17 Sep 2017,29 Sep 2017,12.0,421.0,12,fintech,3,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
rivetz,10 Aug 2017,10 Sep 2017,31.0,440.0,1,saas,15,18653920.0,20057978.0,0.93,0.89,1603,0,10698,N/A,N/A,Medium,Medium,0.88,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tron,07 Sep 2017,08 Sep 2017,1.0,442.0,3,blockchain,1,70000000.0,70000000.0,1.0,0.0019,79410,0,N/A,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
izibits,8 Sep 2017,22 Sep 2017,14.0,428.0,2,fintech,3,N/A,N/A,N/A,0.2629,87,0,22,N/A,N/A,VeryLow,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
viberate,5 Sep 2017,5 Sep 2017,0.0,445.0,5,telecommunications,19,12000000.0,12000000.0,1.0,0.1,4687,0,34294,1.7,97.0,High,VeryLow,0.74,1.74978,1490480,-0.187,-0.078,-1.245,-1.283,0.034,0.869,-0.001,-0.001
baner,05 Sep 2017,29 Sep 2017,24.0,421.0,12,other,5,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
freewatch,05 Sep 2017,26 Sep 2017,21.0,424.0,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
finshi,04 Sep 2017,28 Sep 2017,24.0,422.0,12,fintech,12,21420275.0,49814593.0,0.43,N/A,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
aventus,6 Sep 2017,6 Sep 2017,0.0,444.0,4,other,7,18700000.0,18888889.0,0.99,3.6603,N/A,2,15276,1.0,76.0,Medium,Medium,0.8,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
travelcoin,5 Jul 2017,15 Aug 2017,41.0,466.0,1,other,8,4500000.0,N/A,0.0,0.0,N/A,0,1654,N/A,N/A,Low,High,0.68,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
enko,31 Aug 2017,27 Sep 2017,27.0,423.0,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
combicoin,31 Aug 2017,29 Sep 2017,29.0,421.0,12,fintech,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Medium,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
e-veksel,30 Aug 2017,28 Sep 2017,29.0,422.0,12,fintech,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,VeryLow,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
modum,1 Sep 2017,22 Sep 2017,21.0,428.0,6,blockchain,17,13350000.0,16481481.0,0.81,1.0,N/A,1,14914,2.0,112.0,High,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
iwtoken,30 Aug 2017,27 Sep 2017,28.0,423.0,12,fintech,4,36795.0,N/A,N/A,N/A,34,0,N/A,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
monetha,31 Aug 2017,31 Aug 2017,0.0,450.0,5,blockchain,11,35910000.0,35910000.0,1.0,0.19,4418,1,18868,1.7,118.0,High,VeryLow,0.88,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
transmission,30 Aug 2017,19 Sep 2017,20.0,431.0,3,fintech,6,55000018.0,N/A,N/A,0.17,138,0,1160,N/A,N/A,Low,Medium,0.74,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tomahawkcoin,30 Jul 2017,30 Aug 2017,31.0,451.0,1,fintech,2,N/A,N/A,N/A,0.05,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
mandarin,28 Aug 2017,28 Sep 2017,31.0,422.0,12,fintech,3,N/A,N/A,N/A,N/A,206,0,N/A,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
musiconomi,28 Aug 2017,28 Sep 2017,31.0,422.0,12,other,5,N/A,N/A,N/A,0.01,N/A,0,N/A,N/A,N/A,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
snapup,28 Aug 2017,4 Sep 2017,7.0,446.0,5,ecommerce,4,84453.0,N/A,0.0,0.38,N/A,0,N/A,N/A,N/A,Low,Low,0.5,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ahoolee,28 Aug 2017,11 Sep 2017,14.0,439.0,2,ecommerce,8,200000.0,10000000.0,0.02,0.4,35,2,N/A,N/A,N/A,Medium,Low,0.62,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
chronologic,25 Aug 2017,25 Sep 2017,31.0,425.0,12,fintech,2,7400000.0,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
scorista,25 Aug 2017,11 Sep 2017,17.0,439.0,12,fintech,2,100000.0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
westerostoken,24 Aug 2017,24 Sep 2017,31.0,426.0,12,ecommerce,2,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,VeryLow,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
gravio,23 Aug 2017,23 Sep 2017,31.0,427.0,12,other,5,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
aldoin,22 Aug 2017,29 Sep 2017,38.0,421.0,12,blockchain,5,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tokenstub,22 Aug 2017,29 Sep 2017,38.0,421.0,1,other,4,N/A,15000000.0,N/A,0.1,N/A,0,654,N/A,N/A,VeryLow,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
vibehub,22 Aug 2017,21 Sep 2017,30.0,429.0,1,gaming,5,N/A,1663.0,N/A,0.014,3156,0,20823,2.3,109.0,High,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
kencoin,22 Aug 2017,22 Sep 2017,31.0,428.0,6,other,3,N/A,N/A,N/A,0.0657,N/A,0,5184,N/A,N/A,Low,Low,0.5,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
revain,21 Aug 2017,4 Sep 2017,14.0,446.0,2,other,12,12513346.0,12513346.0,1.0,0.05,N/A,1,6900,1.2,109.0,Medium,Medium,0.76,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
imperium,20 Aug 2017,27 Aug 2017,7.0,454.0,6,other,6,N/A,N/A,N/A,0.1159,N/A,0,N/A,N/A,N/A,Low,High,0.6,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
natcoin,10 Aug 2017,10 Sep 2017,31.0,440.0,12,fintech,5,N/A,2030085.0,N/A,0.8,N/A,0,13,N/A,N/A,Low,High,0.64,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
glutoken,17 Aug 2017,16 Sep 2017,30.0,434.0,12,transportation,3,N/A,N/A,N/A,N/A,1092,0,N/A,N/A,N/A,VeryLow,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
cryptoslots,17 Aug 2017,18 Sep 2017,32.0,432.0,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
godzillion,25 Aug 2017,24 Sep 2017,30.0,426.0,10,other,4,N/A,42390000.0,N/A,0.1413,8333,0,2741,2.0,201.0,Low,Medium,0.76,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
vechain,17 Aug 2017,17 Sep 2017,31.0,433.0,12,other,N/A,N/A,N/A,N/A,N/A,28986,0,N/A,N/A,N/A,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
authorship,15 Aug 2017,14 Sep 2017,30.0,436.0,1,other,2,2500000.0,6944444.0,0.36,0.042,110,0,11049,2.0,134.0,Medium,N/A,0.6,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
