#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
44,Zilliqa,ZIL,"$294,152,191",$0.041177,"7,143,552,186","$12,790,200",-1.33%,7.77%,-11.56%
45,0x,ZRX,"$288,083,173",$0.551456,"522,404,640","$5,175,800",0.98%,6.32%,0.30%
46,Augur,REP,"$273,853,800",$24.90,"11,000,000","$3,263,090",0.00%,3.21%,-5.92%
47,IOStoken,IOST,"$273,631,680",$0.032575,"8,400,000,000","$122,812,000",0.11%,20.66%,32.30%
48,Komodo,KMD,"$273,454,455",$2.63,"104,038,767","$1,911,470",0.53%,8.23%,9.01%
49,Ardor,ARDR,"$244,933,697",$0.245179,"998,999,495","$2,096,000",0.45%,4.83%,7.48%
50,Aion,AION,"$240,263,185",$2.08,"115,319,871","$12,909,700",-0.43%,13.41%,-0.38%
51,Loopring,LRC,"$228,957,190",$0.400223,"572,074,043","$6,896,380",2.10%,12.47%,2.20%
52,Hshare,HSR,"$227,083,630",$5.30,"42,834,249","$12,466,900",-0.22%,3.94%,-7.90%
53,PIVX,PIVX,"$218,799,485",$3.91,"55,929,910","$1,488,450",-0.39%,3.19%,7.63%
54,Centrality,CENNZ,"$216,049,470",$0.329877,"654,939,477","$137,774",2.38%,14.32%,15.58%
55,Waltonchain,WTC,"$214,490,583",$8.61,"24,898,178","$2,357,370",-0.47%,3.25%,-20.31%
56,Ark,ARK,"$211,750,313",$2.08,"101,747,270","$739,302",-0.92%,3.94%,1.83%
57,Cryptonex,CNX,"$210,660,415",$4.66,"45,200,860","$1,213,310",-6.90%,1.94%,-2.67%
58,Veritaseum,VERI,"$206,678,779",$101.48,"2,036,645","$415,090",0.31%,18.50%,-26.36%
59,KuCoin Shares,KCS,"$205,734,591",$2.26,"91,043,076","$1,451,880",-0.39%,7.33%,-2.03%
60,Basic Attenti...,BAT,"$195,786,000",$0.195786,"1,000,000,000","$4,537,980",0.52%,8.82%,1.14%
61,MonaCoin,MONA,"$191,697,729",$3.27,"58,612,225","$944,310",-0.08%,0.74%,3.61%
62,QASH,QASH,"$187,150,950",$0.534717,"350,000,000","$3,839,940",-1.46%,4.85%,-13.54%
63,DigiByte,DGB,"$184,381,777",$0.018287,"10,082,779,743","$1,165,340",-0.03%,6.12%,1.41%
64,Elastos,ELA,"$181,532,891",$36.56,"4,964,975","$20,411,000",7.93%,25.44%,30.92%
65,Factom,FCT,"$180,942,282",$20.69,"8,745,102","$438,718",1.03%,7.96%,5.41%
66,Dragonchain,DRGN,"$167,655,209",$0.703187,"238,421,940","$1,014,740",-1.66%,3.34%,11.03%
67,Golem,GNT,"$167,259,520",$0.200488,"834,262,000","$5,417,300",-0.71%,7.76%,-0.86%
68,Nebulas,NAS,"$157,599,765",$4.44,"35,500,000","$6,531,870",0.17%,7.73%,-15.60%
69,GXChain,GXS,"$154,722,000",$2.58,"60,000,000","$705,487",0.31%,1.64%,-5.19%
70,aelf,ELF,"$154,136,750",$0.616547,"250,000,000","$33,368,500",-0.37%,16.99%,15.23%
71,Electroneum,ETN,"$153,040,215",$0.023027,"6,646,004,979","$1,326,970",-0.38%,5.82%,10.74%
72,Ethos,ETHOS,"$149,659,507",$1.96,"76,283,332","$2,805,540",-0.28%,5.16%,-5.49%
73,Gas,GAS,"$148,483,839",$14.79,"10,037,168","$3,732,880",-1.18%,3.98%,-7.44%
74,Revain,R,"$146,350,192",$0.793441,"184,450,000","$4,099,250",-0.44%,4.64%,-1.44%
75,Syscoin,SYS,"$144,433,251",$0.271422,"532,135,388","$693,881",-0.02%,7.22%,-3.79%
76,FunFair,FUN,"$143,731,983",$0.030429,"4,723,473,189","$725,656",-0.57%,6.00%,-3.58%
77,Substratum,SUB,"$140,060,438",$0.365673,"383,021,000","$4,181,000",0.11%,8.51%,4.10%
78,Kyber Network,KNC,"$134,058,656",$0.999448,"134,132,697","$5,212,950",-0.05%,15.07%,-0.99%
79,ZCoin,XZC,"$130,484,368",$29.13,"4,479,627","$825,040",0.29%,6.72%,-1.44%
80,Byteball Bytes,GBYTE,"$120,309,394",$186.46,"645,222","$483,232",-1.66%,11.21%,8.59%
81,MaidSafeCoin,MAID,"$117,705,714",$0.260093,"452,552,412","$834,644",-0.10%,10.27%,10.83%
82,ReddCoin,RDD,"$116,426,669",$0.004041,"28,808,713,174","$1,332,990",0.78%,3.90%,1.29%
83,Nxt,NXT,"$116,050,826",$0.116167,"998,999,942","$1,279,130",-0.63%,4.18%,2.53%
84,Storm,STORM,"$115,975,819",$0.028364,"4,088,853,037","$27,996,700",-0.27%,5.74%,-20.42%
85,Nucleus Vision,NCASH,"$114,546,352",$0.028547,"4,012,595,236","$16,306,400",-0.72%,12.26%,0.83%
86,SALT,SALT,"$112,686,253",$2.00,"56,266,604","$4,999,120",0.35%,5.28%,-4.85%
87,Power Ledger,POWR,"$108,356,304",$0.297737,"363,932,947","$5,443,740",0.43%,3.26%,5.30%
88,ChainLink,LINK,"$105,540,050",$0.301543,"350,000,000","$8,455,180",-0.57%,9.26%,4.17%
89,Skycoin,SKY,"$105,512,260",$13.58,"7,767,221","$382,321",-0.26%,8.07%,6.76%
90,Dent,DENT,"$104,094,078",$0.009807,"10,614,760,961","$470,461",-0.70%,4.19%,2.97%
91,Request Network,REQ,"$102,922,769",$0.155247,"662,961,404","$6,423,620",-2.78%,7.57%,-6.25%
92,Bancor,BNT,"$102,230,183",$2.27,"44,997,858","$3,511,650",-0.76%,5.11%,-0.91%
93,Enigma,ENG,"$102,020,410",$1.36,"74,836,171","$5,898,730",-2.01%,8.64%,-6.35%
94,Storj,STORJ,"$99,935,427",$0.748998,"133,425,493","$8,195,550",-0.32%,8.09%,12.72%
95,WAX,WAX,"$99,499,810",$0.160740,"619,010,888","$6,106,780",-1.22%,9.50%,13.87%
96,Neblio,NEBL,"$97,798,439",$7.54,"12,979,102","$9,118,480",0.10%,2.35%,-4.53%
97,Kin,KIN,"$97,415,610",$0.000129,"756,097,560,976","$759,634",-0.02%,-7.96%,-31.92%
98,Dentacoin,DCN,"$96,124,303",$0.000296,"325,226,613,094","$49,355",-4.31%,1.15%,-0.79%
99,Mithril,MITH,"$94,645,543",$0.314822,"300,631,923","$48,075,900",3.43%,78.28%,-35.90%
100,TenX,PAY,"$94,144,418",$0.899515,"104,661,310","$3,780,550",-0.50%,5.02%,3.09%
101,Particl,PART,"$93,816,335",$10.52,"8,917,055","$1,002,560",-0.11%,12.33%,4.40%
102,Emercoin,EMC,"$93,291,491",$2.24,"41,563,005","$628,181",-0.69%,5.25%,-2.79%
103,Cindicator,CND,"$91,941,265",$0.063584,"1,445,976,590","$647,515",0.47%,5.34%,1.10%
104,ZenCash,ZEN,"$90,646,087",$25.29,"3,583,600","$925,238",-1.63%,9.93%,56.29%
105,Genaro Network,GNX,"$88,861,159",$0.372274,"238,698,268","$4,257,200",-0.07%,3.31%,-1.99%
106,Achain,ACT,"$87,789,743",$0.189540,"463,172,645","$6,549,380",-0.28%,9.03%,-9.67%
107,Iconomi,ICN,"$84,574,267",$0.847984,"99,735,687","$1,039,370",-0.13%,3.13%,12.07%
108,Vertcoin,VTC,"$83,235,568",$1.91,"43,679,225","$794,951",-1.70%,3.19%,14.39%
109,Matrix AI Net...,MAN,"$83,006,700",$0.553378,"150,000,000","$245,359",-0.27%,8.88%,-2.53%
110,Nexus,NXS,"$79,840,760",$1.41,"56,588,131","$2,466,110",-1.01%,5.87%,-2.84%
111,Dropil,DROP,"$79,037,061",$0.004350,"18,168,060,985","$64,857",-0.25%,8.91%,-21.23%
112,MinexCoin,MNX,"$78,529,375",$21.89,"3,587,520","$82,442",-0.12%,4.79%,-3.62%
113,Nuls,NULS,"$77,334,000",$1.93,"40,000,000","$7,977,900",0.26%,13.28%,-14.77%
114,Credits,CS,"$76,000,958",$0.556486,"136,572,992","$1,664,810",-1.22%,4.87%,-8.97%
115,Polymath,POLY,"$75,839,441",$0.315998,"239,999,750","$408,286",-0.93%,3.47%,-7.29%
116,Enjin Coin,ENJ,"$75,067,460",$0.099270,"756,192,535","$10,731,800",-4.45%,5.04%,-2.98%
117,Decentraland,MANA,"$74,957,631",$0.071379,"1,050,141,509","$5,697,050",-0.89%,5.61%,0.76%
118,SmartCash,SMART,"$73,146,633",$0.084827,"862,303,666","$64,143",0.10%,9.43%,13.58%
119,POA Network,POA,"$72,989,322",$0.357944,"203,912,686","$29,150,800",-0.25%,22.37%,-6.66%
120,Metal,MTL,"$72,830,177",$3.26,"22,342,464","$10,445,700",-0.18%,5.45%,-8.68%
121,Civic,CVC,"$72,692,489",$0.212117,"342,699,966","$4,568,120",0.20%,7.51%,1.51%
122,High Performa...,HPB,"$71,924,021",$3.24,"22,216,600","$5,328,520",-1.03%,21.59%,46.33%
123,Monaco,MCO,"$69,471,584",$5.26,"13,205,542","$8,300,450",-1.60%,10.47%,11.48%
124,GameCredits,GAME,"$69,378,287",$1.08,"64,355,352","$153,036",-0.42%,5.55%,-0.60%
125,SingularityNET,AGI,"$69,127,049",$0.128629,"537,414,184","$1,131,910",-1.47%,13.09%,1.35%
126,Blocknet,BLOCK,"$68,055,619",$13.37,"5,088,309","$43,159",-0.45%,3.28%,-1.01%
127,iExec RLC,RLC,"$66,282,042",$0.827793,"80,070,793","$453,105",-0.32%,4.75%,-4.15%
128,SIRIN LABS Token,SRN,"$65,781,465",$0.286932,"229,258,029","$7,726,930",-0.30%,13.34%,20.69%
129,Cube,AUTO,"$65,665,365",$0.010465,"6,274,940,000","$1,300,420",-0.28%,11.50%,-11.35%
130,Gnosis,GNO,"$65,452,149",$59.25,"1,104,590","$270,633",-0.98%,5.91%,2.14%
131,BOScoin,BOS,"$65,349,102",$0.150532,"434,121,000","$206,516",-0.07%,12.38%,24.99%
132,Fusion,FSN,"$65,336,291",$2.36,"27,648,200","$356,900",-0.06%,7.97%,21.48%
133,Bitcore,BTX,"$64,898,475",$4.86,"13,362,614","$1,423,060",-0.40%,2.46%,-15.64%
134,Genesis Vision,GVT,"$64,368,587",$17.27,"3,726,781","$7,285,620",-0.67%,3.63%,-24.09%
135,Time New Bank,TNB,"$64,287,882",$0.028426,"2,261,619,182","$2,562,830",-0.09%,7.62%,2.39%
136,Po.et,POE,"$63,723,689",$0.028235,"2,256,920,162","$4,761,870",-1.03%,7.61%,5.09%
137,Raiden Networ...,RDN,"$63,268,547",$1.26,"50,168,936","$7,125,840",-0.76%,7.31%,-9.99%
138,Aragon,ANT,"$63,123,132",$2.40,"26,356,214","$227,391",-0.42%,5.98%,4.11%
139,Theta Token,THETA,"$62,496,246",$0.106271,"588,083,732","$7,647,080",-0.85%,5.98%,-9.46%
140,Quantstamp,QSP,"$62,188,847",$0.100741,"617,314,171","$3,421,520",-0.46%,6.92%,-3.90%
141,Oyster,PRL,"$61,091,297",$0.783554,"77,966,926","$419,155",-0.79%,12.12%,-21.24%
142,Santiment Net...,SAN,"$59,020,681",$0.941914,"62,660,371","$1,020,690",-0.44%,5.29%,-5.42%
143,Dynamic Tradi...,DTR,"$58,871,947",$0.049504,"1,189,228,953","$13,647",0.10%,7.17%,-14.77%
144,BitcoinDark,BTCD,"$58,401,697",$45.31,"1,288,862","$203,701",1.01%,-0.96%,-13.58%
145,Ignis,IGNIS,"$57,578,028",$0.075647,"761,143,950","$564,784",-0.24%,4.16%,-0.13%
146,Ubiq,UBQ,"$56,228,517",$1.40,"40,306,025","$98,624",-1.55%,10.55%,5.13%
147,DeepBrain Chain,DBC,"$55,951,800",$0.037301,"1,500,000,000","$2,328,100",-0.81%,7.90%,-1.64%
148,NavCoin,NAV,"$52,896,021",$0.843942,"62,677,317","$510,289",-1.16%,4.54%,-4.48%
149,Arcblock,ABT,"$52,674,386",$0.565900,"93,080,732","$16,306,800",-0.36%,11.23%,-2.37%
150,THEKEY,TKY,"$52,673,037",$0.014492,"3,634,728,910","$407,555",0.44%,7.82%,-2.20%
151,DEW,DEW,"$52,445,239",$0.507971,"103,244,553","$184,529",0.56%,3.94%,-10.44%
152,PayPie,PPP,"$51,671,648",$0.626323,"82,500,000","$50,656",-0.87%,5.93%,-7.66%
153,Loom Network,LOOM,"$50,412,793",$0.103749,"485,911,123","$1,176,250",-4.91%,29.14%,0.34%
154,DigitalNote,XDN,"$49,526,151",$0.007179,"6,898,638,155","$2,083,480",-0.47%,6.08%,6.19%
155,Bluzelle,BLZ,"$48,007,080",$0.290952,"165,000,000","$4,730,080",-1.71%,12.89%,-7.06%
156,CyberMiles,CMT,"$47,841,569",$0.075474,"633,879,774","$10,709,200",-0.50%,5.67%,-10.07%
157,Envion,EVN,"$47,615,184",$0.442964,"107,492,220","$61,100",0.12%,5.41%,-1.69%
158,Gifto,GTO,"$47,547,689",$0.170518,"278,842,639","$3,322,820",-0.65%,9.05%,-9.43%
159,ION,ION,"$47,407,071",$2.30,"20,583,937","$2,727,980",-0.03%,13.88%,9.08%
160,Pillar,PLR,"$47,057,512",$0.206951,"227,384,800","$57,948",0.35%,3.48%,-38.04%
161,Paypex,PAYX,"$46,986,333",$0.686647,"68,428,658","$4,830",-0.82%,7.76%,31.57%
162,Bibox Token,BIX,"$45,932,323",$0.433659,"105,918,066","$267,035",0.17%,7.77%,-8.59%
163,BridgeCoin,BCO,"$45,721,530",$1.69,"27,000,000","$43,694",-0.31%,4.76%,10.51%
164,BLOCKv,VEE,"$45,694,772",$0.029838,"1,531,433,921","$128,941",-1.64%,1.92%,0.23%
165,SaluS,SLS,"$45,689,210",$45.22,"1,010,354","$17,693,400",-0.78%,11.71%,11.01%
166,Groestlcoin,GRS,"$45,683,151",$0.654627,"69,785,009","$9,779,740",-0.25%,-1.46%,121.79%
167,XTRABYTES,XBY,"$45,526,680",$0.105876,"430,000,000","$63,032",1.90%,14.12%,6.93%
168,Pura,PURA,"$45,199,273",$0.260722,"173,361,944","$4,080,920",0.36%,11.63%,8.65%
169,Eidoo,EDO,"$45,035,730",$1.54,"29,261,461","$5,264,540",-0.63%,2.81%,-3.87%
170,SmartMesh,SMT,"$44,841,821",$0.031719,"1,413,716,694","$4,622,430",-2.52%,3.81%,-3.52%
171,ETHLend,LEND,"$44,612,908",$0.041075,"1,086,132,884","$816,664",0.43%,5.68%,-8.61%
172,IoT Chain,ITC,"$44,508,758",$0.915764,"48,602,869","$6,924,470",-1.43%,17.98%,9.80%
173,MediBloc,MED,"$44,498,135",$0.015001,"2,966,384,100","$415,995",-0.19%,6.75%,-6.24%
174,Telcoin,TEL,"$43,752,863",$0.001536,"28,480,672,380","$173,553",-1.56%,3.33%,-13.11%
175,Asch,XAS,"$43,230,707",$0.463077,"93,355,331","$737,223",-0.28%,-0.86%,-8.31%
176,Ruff,RUFF,"$42,711,017",$0.051348,"831,800,000","$6,158,440",-2.25%,5.03%,-4.48%
177,Ripio Credit ...,RCN,"$42,628,374",$0.087169,"489,033,040","$8,131,620",0.12%,9.50%,3.38%
178,DATA,DTA,"$42,484,477",$0.009207,"4,614,477,298","$8,453,840",-2.48%,13.50%,2.57%
179,Quantum Resis...,QRL,"$42,131,336",$0.810218,"52,000,000","$233,777",-0.90%,1.05%,-5.62%
180,AdEx,ADX,"$42,126,679",$0.573693,"73,430,701","$6,585,980",-0.90%,5.79%,-9.44%
181,Edgeless,EDG,"$42,092,048",$0.513028,"82,046,297","$842,538",0.01%,2.40%,1.38%
182,OST,OST,"$41,897,757",$0.137213,"305,348,308","$2,204,140",-1.03%,5.68%,0.43%
183,Scry.info,DDD,"$40,981,179",$0.136578,"300,056,960","$193,933",-0.05%,1.04%,-7.68%
184,SONM,SNM,"$40,901,983",$0.113743,"359,600,000","$5,516,440",-1.38%,6.44%,7.70%
185,Ambrosus,AMB,"$40,617,774",$0.280915,"144,590,975","$539,526",3.49%,10.86%,12.24%
186,CRYPTO20,C20,"$40,381,392",$1.02,"39,598,141","$928,925",-0.56%,4.75%,-2.52%
187,SophiaTX,SPHTX,"$39,515,482",$0.206050,"191,776,181","$120,916",0.18%,7.04%,-4.35%
188,BitBay,BAY,"$38,438,514",$0.038013,"1,011,193,906","$765,399",0.55%,13.93%,1.68%
189,Peercoin,PPC,"$38,073,296",$1.54,"24,697,901","$227,760",-0.82%,4.27%,-2.28%
190,AirSwap,AST,"$37,622,700",$0.250818,"150,000,000","$1,643,260",2.47%,11.25%,6.74%
191,Feathercoin,FTC,"$37,520,278",$0.190445,"197,013,720","$107,675",-0.45%,3.28%,-2.27%
192,SpankChain,SPANK,"$37,178,076",$0.123909,"300,043,386","$16,104",0.96%,8.07%,8.57%
193,Einsteinium,EMC2,"$36,480,850",$0.168311,"216,746,678","$2,139,670",-0.03%,5.19%,5.85%
194,Crypterium,CRPT,"$36,343,538",$0.465456,"78,081,577","$180,888",1.03%,5.71%,-5.76%
195,MediShares,MDS,"$36,092,468",$0.074647,"483,511,857","$7,721,360",-5.38%,7.03%,-17.30%
196,Streamr DATAcoin,DATA,"$36,080,079",$0.053282,"677,154,514","$49,058",-1.20%,0.76%,4.75%
197,Red Pulse,RPX,"$35,803,297",$0.065894,"543,348,500","$1,389,110",0.19%,9.71%,-8.74%
198,Experience Po...,XP,"$34,703,181",$0.000156,"222,962,238,246","$135,554",-15.92%,-8.39%,-16.13%
199,UTRUST,UTK,"$33,853,228",$0.118005,"286,879,609","$1,819,220",0.41%,5.41%,-14.86%
200,Wings,WINGS,"$33,852,247",$0.377359,"89,708,333","$1,149,230",-0.98%,3.74%,1.00%
201,Bitcoin Atom,BCA,"$33,641,708",$1.88,"17,936,600","$11,167",-0.14%,20.56%,244.45%
202,WePower,WPR,"$33,486,318",$0.083179,"402,580,425","$8,059,550",-2.01%,3.42%,-9.43%
203,MobileGo,MGO,"$33,301,586",$0.339712,"98,028,877","$1,761,820",-0.57%,8.41%,8.87%
204,SingularDTV,SNGLS,"$33,050,220",$0.055084,"600,000,000","$435,147",-0.58%,4.99%,-0.74%
205,Gulden,NLG,"$33,033,483",$0.083585,"395,207,800","$65,101",-0.88%,4.11%,-0.01%
206,CasinoCoin,CSC,"$32,820,152",$0.000912,"35,973,085,511","$58,790",6.24%,-0.70%,-10.50%
207,NAGA,NGC,"$32,563,302",$0.564626,"57,672,338","$225,054",-0.47%,6.83%,-2.45%
208,INS Ecosystem,INS,"$32,507,431",$1.07,"30,300,918","$2,135,470",-0.49%,5.41%,-2.60%
209,Pundi X,NPXS,"$32,448,837",$0.000772,"42,038,924,515","$258,255",-0.95%,4.51%,-13.14%
210,district0x,DNT,"$32,425,260",$0.054042,"600,000,000","$6,129,200",-1.13%,11.80%,-14.95%
211,Ravencoin,RVN,"$32,392,991",$0.040717,"795,570,155","$226,259",0.09%,6.76%,-8.50%
212,AppCoins,APPC,"$31,971,555",$0.319542,"100,054,312","$1,491,870",-0.87%,8.22%,-7.47%
213,Modum,MOD,"$31,934,432",$1.75,"18,266,200","$5,812,440",-1.01%,4.16%,-2.99%
214,VIBE,VIBE,"$31,561,608",$0.157876,"199,913,907","$450,329",0.11%,6.01%,-7.32%
215,Ormeus Coin,ORME,"$31,155,654",$1.83,"17,029,321","$2,519,140",-0.50%,-4.82%,-3.34%
216,Counterparty,XCP,"$31,065,613",$11.87,"2,616,647","$202,211",-0.02%,6.39%,12.53%
217,Bread,BRD,"$30,969,899",$0.416327,"74,388,400","$735,789",-1.37%,6.25%,0.77%
218,TaaS,TAAS,"$30,878,882",$3.79,"8,146,001","$105,599",-0.40%,7.93%,-6.43%
219,Presearch,PRE,"$30,466,025",$0.196555,"155,000,000","$27,216",1.12%,14.81%,17.28%
220,Tierion,TNT,"$29,862,488",$0.069694,"428,481,269","$4,938,050",-1.25%,6.27%,-11.21%
221,Ink,INK,"$29,655,202",$0.063924,"463,910,527","$2,755,750",0.37%,13.01%,9.86%
222,OriginTrail,TRAC,"$29,530,263",$0.116029,"254,507,606","$227,307",-0.19%,5.96%,3.44%
223,Viacoin,VIA,"$29,449,222",$1.28,"23,011,879","$466,945",-0.81%,4.34%,2.22%
224,Universa,UTNP,"$29,427,922",$0.017200,"1,710,945,603","$27,482",-2.20%,10.92%,3.24%
225,Soarcoin,SOAR,"$29,327,269",$0.027123,"1,081,269,353","$18,613",-0.29%,6.55%,2.06%
226,QLINK,QLC,"$29,179,440",$0.121581,"240,000,000","$6,060,290",-0.57%,6.44%,-14.58%
227,Rock,RKT,"$28,848,507",$0.104408,"276,305,520","$56,771",2.10%,0.58%,-12.77%
228,LBRY Credits,LBC,"$28,662,111",$0.180511,"158,783,182","$126,609",0.39%,6.59%,8.72%
229,Trinity Netwo...,TNC,"$28,497,633",$0.085493,"333,333,333","$528,854",0.66%,7.83%,-7.35%
230,WaBi,WABI,"$28,494,360",$0.629737,"45,248,033","$501,648",-1.02%,7.48%,-1.44%
231,Mooncoin,MOON,"$27,449,284",$0.000123,"223,896,666,901","$32,871",0.48%,39.83%,43.70%
232,HTMLCOIN,HTML,"$27,434,395",$0.000417,"65,844,549,995","$36,276",13.00%,16.95%,-2.50%
233,Burst,BURST,"$27,307,074",$0.014192,"1,924,158,037","$119,442",0.51%,6.27%,1.90%
234,Wagerr,WGR,"$26,839,695",$0.146665,"183,000,000","$16,350",-0.28%,8.01%,-5.04%
235,Bottos,BTO,"$26,827,600",$0.075482,"355,419,546","$96,344",-0.73%,3.80%,-7.98%
236,bitCNY,BITCNY,"$26,711,883",$0.171952,"155,345,000","$18,372,300",-0.08%,-0.50%,0.95%
237,Jibrel Network,JNT,"$26,659,200",$0.177728,"150,000,000","$195,635",-0.46%,6.70%,-13.83%
238,CloakCoin,CLOAK,"$26,628,622",$5.21,"5,115,606","$359,326",0.27%,6.86%,-0.65%
239,KickCoin,KICK,"$26,339,333",$0.057798,"455,712,781","$3,985,240",-1.11%,21.24%,10.68%
240,IHT Real Esta...,IHT,"$25,966,968",$0.077182,"336,436,821","$4,546,630",2.09%,5.21%,-11.74%
241,Unobtanium,UNO,"$25,956,743",$130.79,"198,461","$34,097",-0.30%,3.33%,-6.76%
242,Melon,MLN,"$25,863,810",$43.15,"599,400","$242,342",-0.38%,4.86%,-15.28%
243,Etherparty,FUEL,"$25,843,655",$0.053212,"485,669,793","$466,927",-2.03%,5.03%,-13.70%
244,Delphy,DPY,"$25,785,881",$0.665442,"38,750,005","$836,973",-0.31%,4.36%,-11.89%
245,BlockMason Cr...,BCPT,"$25,259,126",$0.358964,"70,366,737","$2,454,680",-1.17%,5.05%,-4.43%
246,LEOcoin,LEO,"$25,150,140",$0.249762,"100,696,421","$3,790",1.26%,7.26%,2.76%
247,Game.com,GTC,"$25,141,477",$0.044311,"567,393,203","$2,836,010",-0.70%,2.35%,-3.92%
248,Aeon,AEON,"$24,074,248",$1.53,"15,689,478","$24,031",0.18%,7.14%,6.75%
249,Metaverse ETP,ETP,"$23,804,134",$0.624641,"38,108,505","$1,127,430",-1.89%,2.29%,-9.95%
