,coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
10,bytom,20-Jun-17,20-Jul-17,30,323,3,4,5.0,22554000.0,34566584.30097836,,0.05,16916.23900268034,1.0,17937.0,0.5840531301291946,1.256,7543670.0,0.18,0.05,0.77,0.77,-0.085,-1.893,0.013000000000000001
11,golem,13-Nov-16,13-Nov-16,0,572,5,4,15.0,8000000.0,8000000.0,1.0,0.01,593.0,1.0,140331.0,0.4921636783561435,70.057,30652400.0,-0.26,-2.07,-4.14,-4.14,0.65,2.532,-0.003
12,wanchain,01-Oct-17,01-Nov-17,31,219,3,7,42.0,35990000.0,35990000.0,1.0,0.34,47045.0,1.0,105550.0,0.54,11.382,189439000.0,0.18,0.06,0.96,1.14,-0.574,-5.681,0.003
13,augur,17-Aug-15,01-Oct-15,45,981,1,4,13.0,5000000.0,6250000.0,0.8,0.6,7348.945986307265,1.0,436.0,0.4921636783561435,1.45,728.0,0.09,0.14,2.18,2.42,0.026000000000000002,-0.489,0.009000000000000001
14,populous,24-Jul-17,24-Jul-17,0,319,4,2,5.0,10220400.0,1022040000.0,0.01,0.25,7348.945986307265,1.0,23313.0,0.82,12.32,2704070.0,0.2,0.11,1.69,1.78,-0.059000000000000004,-5.34,0.012
15,digixdao,29-Mar-16,30-Mar-16,1,800,7,4,12.900139161615929,55000004.0,45931858.05932918,,4.2,18986.10291817741,1.0,15489.0,0.6818056323781315,6.542999999999999,1900.0,-0.05,-0.01,-0.14,-0.03,0.033,-0.9570000000000001,0.006
16,status,20-Jun-17,20-Jun-17,0,353,6,4,12.0,10000000.0,18035526.83829695,,0.04,7348.945986307265,3.0,102631.0,0.4921636783561435,0.40399999999999997,13747700.0,-0.21,0.04,0.66,0.75,0.157,-0.9570000000000001,0.008
17,aion,24-Nov-17,24-Dec-17,30,166,12,7,8.0,13881450.0,34566584.30097836,,1.0,11387.0,0.0,66020.0,0.4587431997303549,-0.374,20958.0,0.12,0.22,3.46,3.52,-0.133,-5.468,0.017
18,nebulas,08-Dec-17,16-Dec-17,8,174,1,4,19.0,60000000.0,60000000.0,1.0,2.0,12023.0,1.0,22937.0,0.76,1.17,995797.0,-0.17,0.17,2.64,2.6,-0.138,-2.244,0.011000000000000001
19,loopring,01-Aug-17,16-Aug-17,15,296,3,4,3.0,45000000.0,45000000.0,1.0,0.06,18986.10291817741,1.0,42882.0,0.6,0.747,200829.0,-0.05,0.12,1.93,2.02,-0.147,-0.213,0.013999999999999999
20,komodo,15-Oct-16,16-Nov-16,32,569,12,4,12.100648412515675,1983781.0,15412846.790607298,,0.38,5395.366926923923,1.0,90376.0,0.4554367842398232,-0.708,22487.0,0.02,0.12,1.88,1.9,-0.004,-3.404,0.021
21,ark,05-Nov-16,09-Dec-16,34,546,12,0,14.814468785436812,22000000.0,34566584.30097836,,0.1,44.0,1.0,15078.901689143211,0.5840531301291946,-0.657,133793.0,0.32,0.26,4.19,4.29,-0.16699999999999998,-2.319,0.017
22,elastos,01-Jan-18,22-Jan-18,21,137,3,7,58.0,94073200.0,94073200.0,1.0,18.09,17224.0,2.0,22911.0,0.62,1.2590000000000001,33745700.0,0.19,-0.02,-0.34,-0.19,-0.44299999999999995,1.83,0.004
23,bancor,12-Jun-17,12-Jun-17,0,361,12,4,6.0,15300000.0,34566584.30097836,,3.92,6673.0,10.0,839.0,0.5124599738064687,4.0969999999999995,16871.0,-0.16,-0.07,-1.04,-0.94,-0.004,-1.83,0.001
24,cybermiles,21-Nov-17,21-Dec-17,30,169,1,4,9.0,30881582.0,30881582.0,1.0,0.1,68841.0,5.0,242455.0,0.62,0.8059999999999999,12580000.0,-0.09,0.01,0.22,0.31,-0.015,-4.277,0.006
25,cryptonex,01-Sep-17,30-Sep-17,29,251,12,7,11.78575519762246,13881450.0,34566584.30097836,,0.9121706080373091,2292.0,0.0,15791.638211498579,0.4587431997303549,0.0,79554.0,-0.03,0.12,1.88,1.98,-0.222,1.17,0.009000000000000001
26,dentacoin,01-Oct-17,01-Nov-17,31,219,5,3,19.0,1923507.0,27478671.0,0.07,0.0,1462.0,6.0,110.0,0.6,0.0,228296.0,0.04,0.06,0.94,1.01,-0.19,-0.638,0.024
27,kyber-network,15-Sep-17,17-Sep-17,2,264,7,7,7.0,13881450.0,34566584.30097836,,0.9121706080373091,7348.945986307265,1.3894606962523557,15791.638211498579,0.4587431997303549,0.0,16343900.0,-0.15,-0.08,-1.21,-0.99,-0.128,-2.553,0.004
28,fusion,01-Feb-18,10-Feb-18,9,118,7,2,20.0,42185216.0,42185216.0,1.0,2.06,10891.0,4.0,8042.0,0.4,0.5920000000000001,1440790.0,-0.04,0.12,1.87,2.03,-0.207,-4.574,0.01
29,veritaseum,25-Apr-17,26-May-17,31,378,1,0,2.0,6480882.0,18035526.83829695,,12.0,1819.0,1.0,23382.0,0.4921636783561435,3.0469999999999997,450758.0,0.22,0.13,2.02,2.02,-259.652,-0.46799999999999997,189.928
30,substratum,14-Aug-17,14-Sep-17,31,267,1,0,6.0,13800000.0,44516129.0,0.31,0.07,12628.0,2.0,1159.0,0.4,-0.33299999999999996,41819.0,0.29,0.28,4.47,4.57,-0.24600000000000002,-5.106,0.017
31,theta-token,07-Jan-18,07-Jan-18,0,152,12,0,13.474824209645888,20000000.0,20000000.0,1.0,0.12,13416.0,2.2946645354714295,15078.901689143211,0.6,0.527,10023000.0,0.05,0.06,0.99,1.11,-0.11900000000000001,8.894,0.009000000000000001
32,electroneum,14-Sep-17,20-Oct-17,36,231,4,0,15.0,39934610.0,39934610.0,1.0,0.01,49486.0,1.0,125454.0,0.44,6.736000000000001,2464330.0,-0.13,0.08,1.26,1.34,0.092,-1.66,0.001
33,dragonchain,02-Oct-17,02-Nov-17,31,218,1,4,8.0,13700000.0,16707317.0,0.82,0.07,7348.945986307265,8.0,75624.0,0.3,2.853,1142060.0,0.37,0.26,4.08,4.17,0.107,-3.298,0.012
34,dropil,07-Feb-18,07-Mar-18,28,93,1,2,6.0,60000000.0,45931858.05932918,,2.5079329541193998,729.0,1.0,6860.0,0.6818056323781315,0.0,78904.0,-0.05,0.06,0.99,1.15,0.036000000000000004,2.298,0.006
35,holo,29-Mar-18,28-Apr-18,30,41,7,5,8.0,20388500.0,20388500.0,1.0,0.0002,8041.0,4.0,5201.0,0.5747200992762,2.84,5764530.0,0.26,2.05,4.1,4.21,0.588,-5.17,0.017
36,kin,12-Sep-17,26-Sep-17,14,255,1,4,7.0,48594816.0,74761255.0,0.65,0.0,18986.10291817741,1.0,24994.0,0.58,0.0,372049.0,-0.08,-0.01,-0.17,-0.02,-0.14300000000000002,-1.298,0.012
37,storm,07-Nov-17,07-Dec-17,30,183,1,2,8.0,30716420.0,30716420.0,1.0,0.0113,9923.0,1.0,27350.0,0.5749858098677566,0.43,330757.0,0.68,0.15,2.39,2.47,-0.24,-2.574,0.017
38,bnktothefuture,16-Feb-18,16-Mar-18,28,84,12,2,10.0,33000000.0,42227032.326398775,,0.1,17669.3941368154,4.0,29101.84997741159,0.58,-0.22,40890.0,0.31,0.2,3.11,3.25,0.01,1.489,0.018000000000000002
39,power-ledger,08-Sep-17,06-Oct-17,28,245,9,10,17.0,13232290.0,34566584.30097836,,0.09,16476.0,3.0,937.0,0.4,-0.381,1017460.0,0.51,0.32,5.09,5.16,0.055,-2.532,0.016
40,deepbrain-chain,15-Dec-17,15-Dec-17,0,175,7,7,12.100648412515675,11755200.0,11755200.0,1.0,0.0158,12806.0,2.249808359844698,15791.638211498579,0.4921636783561435,4.813,18387700.0,0.29,0.09,1.36,1.45,-0.28600000000000003,-0.66,0.008
41,gifto,14-Dec-17,14-Dec-17,0,176,3,1,13.0,10000000.0,10000000.0,1.0,0.1,55411.0,4.0,17116.0,0.48,2.489,44959800.0,0.32,0.12,1.93,2.01,-0.07400000000000001,-2.681,0.006999999999999999
42,iexec-rlc,17-Apr-17,10-May-17,23,394,12,7,8.0,12000000.0,34566584.30097836,,0.17800000000000002,7348.945986307265,2.249808359844698,15791.638211498579,0.4921636783561435,0.0,,,,,,,,
43,salt,01-Aug-17,15-Aug-17,14,297,12,2,14.880105980735289,48500000.0,48500000.0,1.0,0.89,801.0,3.039308979752699,24188.36461509275,0.6043889604030265,3.8760000000000003,4174650.0,-0.17,0.0,0.08,0.2,-0.083,-3.8089999999999997,0.0
44,decentraland,08-Aug-17,08-Aug-17,0,304,10,1,13.0,24137000.0,24137000.0,1.0,0.02,16916.23900268034,1.0,3.0,0.7,0.237,688849.0,-0.21,-0.01,-0.19,-0.08,-0.12,-0.489,0.015
45,monaco,18-May-17,18-Jun-17,31,355,6,2,4.0,26700000.0,267000000.0,0.1,2.88,7401.0,4.0,65303.0,0.78,-0.142,1549870.0,-0.1,0.2,3.1,3.15,0.048,-1.5959999999999999,0.013999999999999999
46,storj,19-May-17,25-May-17,6,379,1,4,15.0,30000000.0,30000000.0,1.0,0.5,16916.23900268034,1.0,83838.0,0.5749858098677566,0.09699999999999999,211542.0,0.08,0.11,1.71,1.78,-0.015,0.0,0.009000000000000001
47,civic,21-Jun-17,22-Jun-17,1,351,1,4,2.0,33000000.0,33000000.0,1.0,0.1,8904.0,6.0,87681.0,0.5749858098677566,0.767,9750800.0,0.18,0.14,2.26,2.36,-0.244,-1.426,0.009000000000000001
48,neblio,06-Aug-17,20-Aug-17,14,292,1,2,2.0,14834923.0,211927471.0,0.07,0.2,7721.3237065145195,1.0,15791.638211498579,0.44,2.146,257746.0,0.2,0.24,3.77,3.86,-0.11,1.319,0.022000000000000002
49,tenx,24-Jun-17,24-Jun-17,0,349,7,2,10.0,80000000.0,62120448.854534075,,0.87,116.0,3.0,1728.0,0.74,53.943000000000005,303595.0,0.05,0.16,2.47,2.53,-0.136,-0.5529999999999999,0.006999999999999999
50,nexo,17-Mar-18,15-Apr-18,29,54,6,2,18.0,52500000.0,52500000.0,1.0,0.1,63447.0,1.0,24188.36461509275,0.7,0.85,3226150.0,0.04,0.34,0.68,0.8,-0.703,-4.17,0.0
51,quantstamp,17-Nov-17,16-Dec-17,29,174,1,2,10.0,31320000.0,31320000.0,1.0,0.07,24013.0,1.0,45698.569753531,0.56,0.304,28481900.0,0.18,0.23,3.59,3.67,-0.326,-5.021,0.012
52,dent,12-Jul-17,26-Jul-17,14,317,3,5,8.0,1923507.0,27478671.0,0.07,0.0,1462.0,1.0,36484.0,0.4554367842398232,0.0,71565.0,0.16,0.1,1.65,1.71,-0.163,-2.447,0.03
53,revain,21-Aug-17,04-Sep-17,14,277,2,4,11.0,12513346.0,12513346.0,1.0,0.05,2352.0,1.0,6488.0,0.46,0.5579999999999999,107140.0,0.26,0.38,6.0,6.12,0.08900000000000001,0.447,0.013999999999999999
54,iconomi,25-Aug-16,29-Sep-16,35,617,5,4,26.0,10000000.0,11764706.0,0.85,0.11,7348.945986307265,2.0,923.0,0.4921636783561435,1.433,14652.0,0.13,0.1,1.6,1.67,-0.096,-0.596,0.01
55,singularitynet,19-Dec-17,19-Dec-17,0,171,6,4,9.0,32847814.0,32847814.0,1.0,0.1,15776.0,2.0,17182.0,0.5749858098677566,14.2,17465100.0,0.09,0.0,0.08,0.14,-0.146,-11.085,0.002
56,time-new-bank,18-Nov-17,23-Nov-17,5,197,7,4,10.0,14360000.0,14360000.0,1.0,0.02,27057.0,0.0,15791.638211498579,0.47542595835104456,0.7609999999999999,10625600.0,0.34,0.2,3.17,3.25,-0.149,-1.128,0.009000000000000001
57,request-network,13-Oct-17,17-Oct-17,4,234,5,2,7.0,33600000.0,33600000.0,1.0,0.06,13848.0,1.0,770.0,0.36,0.013000000000000001,5914220.0,0.13,0.27,4.23,4.35,-0.18899999999999997,-2.957,0.01
58,cindicator,12-Sep-17,12-Oct-17,30,239,2,0,12.0,15000000.0,15000000.0,1.0,0.01,7942.0,5.0,39409.0,0.68,1.258,971989.0,-0.44,0.06,0.89,1.02,-0.14300000000000002,-2.298,0.013999999999999999
59,lympo,17-Feb-18,28-Feb-18,11,100,5,1,11.0,16857899.0,16857899.0,1.0,0.0217,13220.0,3.0,6848.0,0.5124599738064687,-0.258,176692.0,0.26,0.21,3.41,3.53,-0.122,-0.085,0.026000000000000002
60,arcblock,03-Feb-18,03-Feb-18,0,125,1,0,4.0,45000000.0,45000000.0,1.0,0.5,38122.0,5.0,33939.0,0.72,1.54,94865600.0,-0.38,0.07,1.09,1.29,-0.076,-1.4040000000000001,0.0
61,aragon,17-May-17,17-May-17,0,387,5,4,2.0,25000000.0,39878621.08177208,,0.74,16916.23900268034,1.0,6858.0,0.5749858098677566,1.054,2745280.0,0.28,0.09,1.43,1.55,0.01,0.23399999999999999,0.006
62,enjin-coin,03-Oct-17,31-Oct-17,28,220,7,1,8.0,22959609.0,24956097.0,0.92,0.03,13153.0,1.0,15078.901689143211,0.5840531301291946,-0.332,742008.0,0.02,0.28,4.4,4.5,-0.146,-0.085,0.015
63,bluzelle,18-Jan-18,02-Feb-18,15,126,7,4,10.0,19500000.0,19500000.0,1.0,0.12,23125.0,4.0,33274.0,0.96,4.648,41214300.0,0.11,0.0,-0.02,0.12,-0.643,-5.043,0.005
64,gnosis,24-Apr-17,24-Apr-17,0,410,5,4,10.0,12500000.0,12500000.0,1.0,29.85,7348.945986307265,2.0,69037.0,0.4921636783561435,-1.0,22984.0,-0.01,-0.02,-0.32,-0.27,0.414,7.064,0.005
65,poa-network,17-Nov-17,17-Nov-17,0,203,1,4,19.0,12500000.0,12500000.0,1.0,0.07,10771.0,1.0,306.0,0.4921636783561435,8.064,79376200.0,-0.34,0.06,0.99,1.12,-0.353,-0.149,-0.001
66,particl,16-Mar-17,12-Apr-17,27,422,12,7,7.02733916083916,750000.0,11582610.615360258,,1.0,5395.366926923923,1.0,11644.179146630078,0.40649005597826066,5.95,983921.0,-0.06,0.08,1.26,1.41,-0.21100000000000002,-1.681,0.006999999999999999
67,smartmesh,29-Nov-17,28-Dec-17,29,162,7,4,9.0,15691200.0,16872258.0,0.93,0.02,21538.0,1.0,3798.0,0.5124599738064687,0.56,1131310.0,0.39,0.15,2.32,2.4,0.046,1.426,0.012
68,bottos,31-Dec-17,30-Jan-18,30,129,12,7,11.78575519762246,13881450.0,34566584.30097836,,0.1,7348.945986307265,1.0,15791.638211498579,0.42,2.296,18592600.0,-0.1,-0.12,-1.97,-1.83,-0.16699999999999998,-3.489,0.001
69,metal,09-Jun-17,09-Jun-17,0,364,1,0,7.0,13881450.0,34566584.30097836,1.0,0.18,204.0,0.0,33088.0,0.4587431997303549,8.277999999999999,2843520.0,0.35,0.3,4.71,4.81,-0.237,0.064,0.01
70,storiqa,28-Nov-17,29-Jan-18,62,130,3,4,11.0,25000000.0,25000000.0,1.0,0.0,34981.0,1.0,12924.0,0.2,0.0,271889.0,-0.09,0.11,1.8,1.96,-0.03,15.085,0.019
71,thekey,15-Jan-18,15-Jan-18,0,144,3,7,15.0,22000000.0,22000000.0,1.0,0.0352,73963.0,2.0,30153.0,0.7,-0.18600000000000003,9008350.0,0.0,-0.07,-1.09,-0.91,-0.282,-3.0,-0.001
72,ignis,05-Aug-17,14-Oct-17,70,237,5,7,3.0,15000000.0,21739130.0,0.69,1.05,8288.672452034232,2.0,27292.0,0.52,1.2,18762.0,0.26,0.07,1.16,1.19,-1.217,-3.298,0.006999999999999999
73,sophiatx,07-Dec-17,17-Dec-17,10,173,6,4,21.0,23470356.0,80932262.0,0.29,0.46,5484.0,2.0,16002.0,0.72,-0.01,2148170.0,0.35,0.08,1.19,1.3,-0.12300000000000001,-0.9570000000000001,0.004
74,sonm,15-Jun-17,19-Jun-17,4,354,2,4,13.0,42000000.0,45931858.05932918,,0.59,7985.0,9.0,273.0,0.5749858098677566,-0.11599999999999999,86186.0,-0.56,-0.1,-1.66,-1.55,-0.081,-3.1489999999999996,0.005
75,pillar,15-Jul-17,17-Jul-17,2,326,4,4,30.0,20000000.0,34566584.30097836,,0.1,761.0,1.0,12757.0,0.5647434462427986,-0.256,101274.0,0.24,0.07,1.03,1.16,-0.151,0.426,0.011000000000000001
76,blockv,19-Oct-17,25-Oct-17,6,226,1,4,18.0,21599100.0,39998333.0,0.54,0.42,3724.0,1.0,6528.0,0.6,-0.948,492028.0,0.34,0.23,3.6,3.69,-0.021,-3.34,0.01
77,credits,15-Feb-18,28-Feb-18,13,100,7,4,9.0,22570394.0,22570394.0,1.0,0.17,27946.0,6.0,19793.0,0.88,1.4,3014620.0,0.28,0.17,2.64,2.64,0.027000000000000003,-4.0,0.01
78,crypterium,31-Oct-17,14-Jan-18,75,145,5,2,15.0,51656963.0,51656963.0,1.0,1.5,33884.0,10.0,16520.0,0.82,0.54,183715.0,-0.38,-0.05,-0.75,-0.75,-0.298,-11.0,-0.003
79,genesis-vision,15-Oct-17,15-Nov-17,31,205,2,2,10.0,2836732.0,23639433.0,0.12,1.0,8103.0,8.0,19526.0,0.5,1.68,683667.0,0.39,0.27,4.32,4.32,-0.042,-6.5,0.019
80,ambrosus,22-Sep-17,22-Oct-17,30,229,6,3,20.0,32507330.0,98507061.0,0.33,0.29,4235.0,5.0,17165.0,0.82,-0.45,35697.0,0.1,0.12,1.92,1.88,0.213,0.885,0.011000000000000001
81,boscoin,09-May-17,10-May-17,1,394,12,0,17.0,17920000.0,34566584.30097836,,0.044000000000000004,14851.802682820096,5.0,15078.901689143211,0.5401628840974978,18.93,27934.0,0.19,0.19,3.05,3.05,-0.052000000000000005,-6.0,0.002
82,origintrail,15-Jan-18,17-Jan-18,2,142,5,4,11.0,21513600.0,21513600.0,1.0,0.1,10077.0,5.0,552.0,0.42,1.364,3901170.0,0.19,0.06,0.93,0.93,-0.18899999999999997,-3.5,0.009000000000000001
83,crypto20,16-Oct-17,30-Nov-17,45,190,1,2,6.0,37698373.0,75396746.0,0.5,1.1,18986.10291817741,1.0,9643.0,0.6,2.373,5672340.0,-0.21,-0.19,-3.06,-3.15,-0.105,-0.862,-0.005
84,docademic,29-Jan-18,15-Apr-18,76,54,10,3,13.0,1100000.0,11582610.615360258,,0.8279986571179905,7324.0,1.0,20560.0,0.26,0.0,716822.0,0.42,3.36,6.72,6.72,2.8280000000000003,23.5,0.122
85,apex,01-Jan-18,28-Jan-18,27,131,12,0,14.19262060061833,25000000.0,25000000.0,1.0,0.16,15768.0,1.0,96000.26118449858,0.4,0.055,9262900.0,0.4,3.21,6.42,6.42,-0.423,-7.5,-0.002
86,tokenpay,07-Dec-17,17-Jan-18,41,142,7,0,10.0,40948500.0,40948500.0,1.0,6.0,17600.0,1.0,24188.36461509275,0.5749858098677566,-0.66,1515520.0,0.43,0.16,2.5,2.5,-0.376,-8.5,0.028999999999999998
87,jibrel-network,27-Nov-17,01-Jan-18,35,158,6,0,9.0,30000000.0,30000000.0,1.0,0.25,2165.0,5.0,6531.0,0.68,0.6890000000000001,10089800.0,0.06,-0.1,-1.64,-1.64,-0.509,-4.5,0.002
88,cube,16-Feb-18,15-Mar-18,27,85,4,4,12.0,13881450.0,34566584.30097836,,0.9121706080373091,1620.0,0.0,5999.0,0.26,0.0,6757530.0,-0.13,0.0,0.04,0.04,-0.136,-3.5,-0.005
89,eximchain,01-Feb-18,13-Feb-18,12,115,12,0,16.0,20000000.0,20000000.0,1.0,0.33,10982.0,2.2946645354714295,15078.901689143211,0.34,1.01,185434.0,0.8,1.39,2.79,2.79,-0.135,-5.0,0.015
90,bread,16-Dec-17,24-Dec-17,8,166,6,0,6.0,20021300.0,20021300.0,1.0,0.78,46002.0,2.0,54623.0,0.6,1.423,56455400.0,0.23,-0.03,-0.47,-0.47,-0.066,-5.5,-0.002
91,ethlend,25-Nov-17,30-Nov-17,5,190,5,0,25.0,17860000.0,17860000.0,1.0,0.02,18962.0,4.0,46751.0,0.5,-0.069,728686.0,0.43,0.26,4.09,4.09,-0.299,-7.5,0.013999999999999999
92,telcoin,11-Dec-17,30-Dec-17,19,160,8,0,19.0,25000000.0,25000000.0,1.0,0.001,20972.0,2.0,25566.0,0.4,5.031000000000001,842193.0,0.04,-0.05,-0.81,-0.81,-0.29100000000000004,-8.0,-0.002
93,tokenomy,15-Jan-18,05-Feb-18,21,123,12,0,17.0,22869000.0,34566584.30097836,,0.8604840901386183,2352.0,1.0,46.0,0.64,0.0,2372070.0,-0.57,-0.12,-1.94,-1.94,-0.02,-10.0,-0.002
94,red-pulse,08-Oct-17,08-Oct-17,0,243,3,2,11.0,14508923.0,14508923.0,1.0,0.03,6373.0,2.0,33199.0,0.4959173562005068,0.8490000000000001,5395350.0,-0.05,0.23,3.57,3.57,-0.242,-8.5,0.011000000000000001
95,wagerr,01-Jun-17,25-Jun-17,24,348,10,4,6.0,10000000.0,18035526.83829695,,0.06,7348.945986307265,1.0,17116.0,0.4921636783561435,0.141,120805.0,0.14,0.12,1.87,1.87,-0.233,-1.0,0.011000000000000001
96,eidoo,04-Oct-17,16-Oct-17,12,235,6,4,5.0,27676992.0,51253689.0,0.54,2.3,5431.0,3.0,25857.0,0.5749858098677566,0.035,39128.0,-0.02,0.15,2.37,2.37,-0.16399999999999998,-7.5,0.004
97,edgeless,28-Feb-17,21-Mar-17,21,444,12,4,12.100648412515675,2000000.0,15412846.790607298,,0.04,1283.0,1.0,40104.0,0.5039115044430998,-0.23,18692.0,0.26,0.18,2.87,2.87,0.03,-5.0,0.013999999999999999
98,adex,30-Jun-17,30-Jun-17,0,343,2,2,16.0,10000000.0,10000000.0,1.0,0.24,4554.0,2.0,56645.0,0.4921636783561435,3.089,18016700.0,-0.27,-2.15,-4.3,-4.3,-0.042,-6.0,-0.013000000000000001
99,babb,06-Feb-18,06-Mar-18,28,94,4,2,13.0,20000000.0,20000000.0,1.0,0.0,14279.0,2.0,10643.0,0.66,0.0,286765.0,-0.01,0.23,3.64,3.64,-0.377,-3.5,0.023
100,paypie,15-Oct-17,16-Oct-17,1,235,1,4,11.0,26000000.0,26000000.0,1.0,0.37,4221.0,1.0,7818.0,0.5749858098677566,-0.02,256062.0,0.06,0.15,2.35,2.35,0.008,-25.0,0.013000000000000001
101,bitrent,01-Dec-17,31-Mar-18,120,69,4,4,19.0,14627210.0,34566584.30097836,,0.06,12849.0,1.0,6635.0,0.74,-0.336,156399.0,0.27,0.05,0.75,0.75,-0.12,-1.0,0.006999999999999999
102,tokencard,02-May-17,02-May-17,0,402,4,2,8.0,12782000.0,12782000.0,1.0,0.54,3.0,1.0,18986.0,0.4921636783561435,0.9259999999999999,416619.0,0.06,0.01,0.19,0.19,-0.105,-9.0,0.008
103,airswap,10-Oct-17,10-Nov-17,31,210,1,2,4.0,12600000.0,12600000.0,1.0,0.3,4371.0,3.0,15791.638211498579,0.4921636783561435,0.345,3654270.0,-0.15,0.06,0.95,0.95,-0.067,-7.0,0.005
104,singulardtv,02-Oct-16,02-Oct-16,0,614,1,4,12.100648412515675,7500000.0,18035526.83829695,,0.02,330.0,1.0,37387.0,0.4921636783561435,-0.067,165271.0,-0.14,-0.11,-1.72,-1.72,-0.098,-7.0,0.009000000000000001
105,zebi,05-Mar-18,31-Mar-18,26,69,7,2,17.0,8561100.0,8561100.0,1.0,0.0333,15105.0,2.0,16850.0,0.46,2.483,5412550.0,0.14,1.11,2.22,2.22,-0.505,-7.5,-0.006
106,wings,18-Nov-16,06-Jan-17,49,518,6,4,14.0,1706156.0,2274875.0,0.75,0.03,5395.366926923923,1.0,634.0,0.43663006961152584,-0.287,1601.0,0.34,0.21,3.4,3.4,-0.02,-6.0,0.013999999999999999
107,district0x,18-Jul-17,01-Aug-17,14,311,1,4,8.0,9000000.0,18035526.83829695,,0.02,7348.945986307265,1.0,59503.0,0.4921636783561435,-0.22,30593.0,0.46,0.16,2.56,2.56,-0.163,-8.0,0.015
108,legolas-exchange,01-Feb-18,15-Feb-18,14,113,5,0,9.0,18856000.0,34566584.30097836,,0.8604840901386183,14851.802682820096,2.0,11902.0,0.5861878906872431,0.0,682912.0,-0.21,-0.02,-0.3,-0.3,-0.23399999999999999,-3.0,0.003
109,ins-ecosystem,04-Dec-17,25-Dec-17,21,165,2,7,11.0,41500000.0,41500000.0,1.0,2.54,17576.0,3.039308979752699,24188.36461509275,0.86,1.685,373749.0,-0.06,-0.1,-1.55,-1.55,-0.264,-4.5,-0.006
110,medibloc,27-Nov-17,15-Dec-17,18,175,7,4,17.0,21271251.0,29959508.0,0.71,0.02,5616.0,2.0,10934.0,0.6,-0.006,645796.0,0.53,0.13,1.99,1.99,-0.389,-5.5,0.006999999999999999
111,havven,28-Feb-18,07-Mar-18,7,93,9,0,27.0,30000000.0,30000000.0,1.0,0.5,64726.0,8.0,11062.0,0.26,-0.039,1203240.0,-0.09,0.12,1.92,1.92,-0.124,-9.0,0.006
112,utrust,02-Nov-17,20-Nov-17,18,200,6,4,26.0,21000000.0,21000000.0,1.0,0.07,13054.0,9.0,28536.0,0.92,1.993,3956620.0,0.34,0.08,1.25,1.25,-0.547,-5.5,0.001
